$	ps	a sign of doller
હાઈકોર્ટ	suprema corte	high court
હાઈડ્રોજન	hidrógeno	hydrgen
હાઉસ	casa	house
હાકલ	llamada	to make a crusade
હાજર	presente	present
હાજરી	asistencia	presence
હાજરીમાં	en asistencia	in presence of
હાથ	manos	hand, hands
હાથથી	manualmente	from hand
હાથની	de la mano	by hand, hand's
હાથમાં	en la mano	in hands
હાથમાંથી	fuera de alcance	from the hand
હાથી	elefante	elephant
હાથે	manualmente	by hand
હાર	derrota	defeat
હારમાળા	cuerda	series
હારી	perdió	defeated,
હાર્ટ	corazón	heart
હાર્ડ	difícil	hard
હાર્ડવેર	hardware	hardware
હાર્ડિ	resistente	hardy
હાર્દ	corazón	core
હાર્બર	puerto	harbor
હાર્વર્ડ	harvard	harvard
હાલ	actualmente	at present
હાલત	condición	look
હાલના	existente	mordern - current time
હાલનાં	actual	current
હાલની	existente	current / present
હાલનું	actual	now
હાલમાં	actualmente	at present
હાસિલ	logrado	obteined [hindi word]
હાસ્ય	la risa	humor
હિંદ	posterior	hind
હિંદી	hindi	hindi
હિંદુ	hindú	hindu
હિંદુઓ	hindúes	hindus
હિંદૂ	hindú	hindu
હિંમત	valor	courage
હિંસક	violento	wild
હિંસા	violencia	violence
હિંસાને	violencia	violence
હિજરી	hijri	hijri
હિટ	golpear	hit
હિટલર	hitler	hitler
હિટલરે	hitler	hitlar
હિત	interesar	hita
હિતો	intereses	interests
હિન્દ	posterior	hind
હિન્દી	hindi	hindi
હિન્દીમાં	en hindú	in hindi
હિન્દુ	hindú	hindu
હિન્દુઓ	hindúes	hindus
હિન્દુમુસ્લિમ	hindúmuslim	hindu-muslim
હિન્દુસ્તાન	indostán	hindustan
હિબ્રુ	hebreo	hebrew
હિમાચલ	himachal	himachal (state of india)
હિમાલય	himalaya	himalaya
હિમાલયની	de los himalayas	of himalaya
હિરણ	ciervo	hiran
હિલચાલ	movimiento	mechanism
હિલ્સ	colinas	hills
હિસ્ટરી	historia	history
હિસ્ટોરિકલ	histórico	historical
હિસ્ટ્રી	historia	hestory
હિસ્પેનિક	hispano	hispanic
હિસ્સા	estacas	parts
હિસ્સો	estacas	share
હી	ji	also [hindi - urdu word]
હીરા	diamantes	diomonds
હીરો	héroe	hero / diamond
હીસ્ટ્રી	historia	history
હું	yo	i
હુઆ	hua	occurred
હુએ	matiz	happened [hindi language word written in gujarati script]
હુકમ	orden	order / command
હુકુમત	gobierno	rule / order
હુમલા	los ataques	attacks
હુમલાઓ	los ataques	attacks
હુમલાને	ataque	attack
હુમલો	ataque	attack
હુસૈન	hussein	husain
હૃદય	corazón	heart
હે	oye	oh!
હેઠળ	debajo	beneath
હેઠળના	debajo	bellow, underneath
હેડ	cabeza	hedd
હેતુ	propósito	intention
હેતુઓ	propósitos	purposes
હેતુથી	a propósito	the purpose of
હેનરી	enrique	henry
હેન્રી	enrique	henry
હેમચંદ્ર	hemchandra	hem chander
હેમચંદ્રના	de hemachandra	hem chander
હેરફેર	tráfico	interchange
હેરી	harry	harry
હેરીના	harry	harry's
હેરીની	harry&#39;s	of harry,
હેરીને	harry	to harry
હેલોવ	hola	hallows
હેલોવીન	víspera de todos los santos	name of festival celibrated on 31st october, halloween
હેલોવીનની	víspera de todos los santos	halloween's
હેલ્થ	salud	health
હેલ્થકેર	cuidado de la salud	healthcare
હૈ	hola	is,
હૈં	si	was
હૈં૤	si	is [hindi]
હૈદરાબાદ	hyderabad	hyderabad
હૈદ્રાબાદ	hyderabad	hyderabad
હૈ૤	hola	is there [hindi word in gujarati script]
હૉકી	hockey	hockey
હો	si	happen
હોઇ	ser - estar	be
હોઈ	ser - estar	could
હોકી	hockey	hockey
હોગવર્ટ્સ	hogwarts	hogwarts
હોટલ	hotel	hotel
હોટસ્પોટ	punto de acceso	hotspot
હોટેલ	hotel	hotel
હોત	haría	was
હોતી	tendría	to be
હોતું	tendría	does
હોતે	tendría	to be
હોતો	tendría	is
હોદ્દા	posiciones	positions
હોને	piedra de afilar	happen
હોમ	hogar	home
હોય	tener	can be
હોલ	salón	hall
હોળી	holi	holi, festival of colours
હોળીનાં	holi	holi's, of holi [a festival]
હોવા	siendo	to be
હોવાથી	ya que	being
હોવાના	de ser	of being
હોવાની	ser - estar	to have
હોવાનું	ser - estar	of being
હોવાને	ser - estar	being
હોવાનો	ser - estar	to be
હોવી	ser - estar	being
હોવું	ser - estar	to be
હોવો	ser	to be
હોસ્ટ	anfitrión	host
હોસ્પિટલ	hospital	hospital
હોસ્પિટલમાં	en el hospital	in the hospital
હ્રદય	corazón	heart
૦	0 0	0
૦૨	06	02
૦૯	06	09
૧	1	1
૧બી	1b	1b
૧૦	10	10
૧૦૦	100	100
૧૦૦૦	1000	one thousand
૧૦૦૦૦	10,000	10000
૧૧	11	11
૧૧૦	110	one hundred  and ten
૧૨	13	12
૧૨મી	15 m	12th
૧૨૩	13	123
૧૨૪૧	131	1241
૧૩	13	13
૧૩મી	15 m	13th
૧૩૦	120	one hundred thirty
૧૩૫	13	135
૧૪	13	fourteen
૧૪મી	15 m	forteenth
૧૫	13	15
૧૫મી	15 m	15th
૧૫૦	120	one hundrad fifty / 150
૧૫૦૦	1500	fifteen hundred
૧૬	13	sixteen / 16
૧૬મી	15 m	sixteenth
૧૭	13	seventeen
૧૭મી	15 m	17th
૧૮	13	18
૧૮મી	15 m	18th
૧૮૫૭	13	1857
૧૮૫૭ના	15 no	eighteen fifty seven
૧૮૫૮	13	1858
૧૮૬૨	13	1852
૧૮૬૫	13	1865
૧૮૬૯	13	1869
૧૮૭૦	120	1870
૧૮૮૭માં	en 18	in 1887
૧૮૮૯	13	1889
૧૮૯૩	13	1893
૧૮૯૪	13	1894
૧૮૯૭	13	1897
૧૯	13	19
૧૯મી	15 m	19th
૧૯૦૦માં	en 1800	in 1900
૧૯૦૩	1904	nineteen three
૧૯૦૪	1904	1904
૧૯૦૬માં	en 1908	in 1906
૧૯૦૭	1904	1907
૧૯૦૮	1905	1908
૧૯૦૯	1904	1909
૧૯૦૯માં	en 1908	nineteen nine
૧૯૧૦	1910	1910
૧૯૧૧	1911	1911
૧૯૧૨	1914	1912
૧૯૧૪	1914	1914
૧૯૧૫	1914	1915
૧૯૧૬	1914	1916, number
૧૯૧૭	1914	1917
૧૯૧૮	1914	1918
૧૯૧૯	1914	1919
૧૯૨૦	120	1920
૧૯૨૧	131	1921
૧૯૨૨	13	1922 number
૧૯૨૨માં	en 18	in 1922
૧૯૨૩	13	1923 number
૧૯૨૪	13	1924, number
૧૯૨૪માં	en 18	in 1924
૧૯૨૫	13	1925
૧૯૨૫માં	en 18	in the year 1925
૧૯૨૬	13	ninteen twenty six
૧૯૨૭	13	1927
૧૯૨૭માં	en 18	in 1927
૧૯૨૮	13	1928
૧૯૨૮માં	en 18	in 1928
૧૯૨૯	13	1929
૧૯૩૦	120	1930
૧૯૩૦ના	120 no	of 1930
૧૯૩૦માં	en 150	in the 1930
૧૯૩૧	131	1931
૧૯૩૨	13	1932
૧૯૩૨માં	en 18	in 1932
૧૯૩૩	13	1933
૧૯૩૪	13	ninteen thirty four
૧૯૩૪માં	en 18	in year of 1934
૧૯૩૫	13	1935
૧૯૩૬	13	1936
૧૯૩૬માં	en 18	in 1936
૧૯૩૭	13	1937, number
૧૯૩૮	13	1938
૧૯૩૯	13	1939
૧૯૪૦	120	1940
૧૯૪૧	131	1941
૧૯૪૨	13	1942
૧૯૪૨માં	en 18	in 1942
૧૯૪૩	13	1943
૧૯૪૪	13	1944
૧૯૪૫	13	nineteen forty five
૧૯૪૬	13	1946
૧૯૪૬માં	en 18	in 1946
૧૯૪૭	13	1947
૧૯૪૭માં	en 18	in 1947
૧૯૪૮	13	1948 year
૧૯૪૮માં	en 18	in 1948
૧૯૪૯	13	1949
૧૯૪૯માં	en 18	in 1949
૧૯૫૦	120	1950
૧૯૫૦માં	en 150	in 1950
૧૯૫૧	131	1951
૧૯૫૨	13	1952 number
૧૯૫૩	13	1953
૧૯૫૪	13	1954
૧૯૫૫	13	1955
૧૯૫૫માં	en 18	in 1955
૧૯૫૬	13	1956
૧૯૫૭	13	1957
૧૯૫૮	13	1958
૧૯૫૯	13	nineteen fifty nine
૧૯૬૦	120	1960
૧૯૬૦માં	en 150	in 1960
૧૯૬૧	131	1961
૧૯૬૨	13	1962
૧૯૬૩	13	nineteen sixty three
૧૯૬૪	13	1964
૧૯૬૫	13	1965
૧૯૬૬	13	1966
૧૯૬૭	13	nineteen sixty seven
૧૯૬૮	13	nineteen sixty eight
૧૯૬૯	13	ninteen sixty nine
૧૯૭૦	120	1970
૧૯૭૦માં	en 150	in nineteen seventy
૧૯૭૧	131	1971
૧૯૭૨	13	1972
૧૯૭૩	13	1973
૧૯૭૪	13	1974
૧૯૭૫	13	1975
૧૯૭૫માં	en 18	in 1975
૧૯૭૬	13	1976
૧૯૭૭	13	1977
૧૯૭૮	13	1978
૧૯૭૯	13	1979
૧૯૮૦	120	1980
૧૯૮૦ના	120 no	in 1980 year
૧૯૮૧	131	ninety eightyone
૧૯૮૨	13	1982
૧૯૮૩	13	1983
૧૯૮૪	13	1984
૧૯૮૫	13	1985
૧૯૮૬	13	1986
૧૯૮૭	13	1987
૧૯૮૭માં	en 18	in 1987
૧૯૮૮	13	1988
૧૯૮૯	13	ninety eighty-nine
૧૯૯૦	120	nineteen ninty
૧૯૯૧	131	1991
૧૯૯૧માં	en 181	in 1991
૧૯૯૨	13	1992
૧૯૯૩	13	1993
૧૯૯૪	13	1994
૧૯૯૫	13	1995
૧૯૯૬	13	1996
૧૯૯૭	13	1997
૧૯૯૮	13	1998
૧૯૯૯	13	1999
૨	2	2
૨૦	20	20
૨૦મી	30 m	20th
૨૦૦	200	200
૨૦૦૦	2000	2000
૨૦૦૦માં	en 2000	in 2002
૨૦૦૧	2001	2001
૨૦૦૧ના	2001	in 2001
૨૦૦૧ની	2001	in 2001
૨૦૦૧માં	en 2001	in 2001
૨૦૦૨	2006	2002
૨૦૦૨માં	en 2007	in 2002
૨૦૦૩	2006	2003
૨૦૦૩માં	en 2007	2003
૨૦૦૪	2006	2004
૨૦૦૪માં	en 2007	in 2004
૨૦૦૫	2006	2005
૨૦૦૫માં	en 2007	in year 2005
૨૦૦૬	2006	2006
૨૦૦૬માં	en 2007	in 2006
૨૦૦૭	2006	2007
૨૦૦૭માં	en 2007	in 2007
૨૦૦૮	2006	2008
૨૦૦૮ના	2009	in 2008
૨૦૦૮માં	en 2007	in 2008
૨૦૦૯	2006	2009
૨૦૦૯ના	2009	twothousandnine's
૨૦૧૦	2010	2010
૨૦૧૧	2011	2011
૨૧	21	21
૨૧મી	21 m	21st
૨૨	22	tweenty two
૨૨૦૦	200	2200
૨૩	23	23 number
૨૪	24	24
૨૫	25	25
૨૫૦	20	250
૨૬	26	26
૨૭	27	27
૨૮	28	twenty eight - 28
