$	usd	(dollar sign)
tournoi	turnīrs	tournament
tournois	turnīri	tournaments
tourné	pagriezās	turned
tournée	tūre	tour
tournées	ekskursijas	tours
tournés	pagriezās	shot
tours	torņi	towers
tous	visiem	all
toussaint	toussaint	all saint's day
tout	visiem	all
toute	visiem	all
toutefois	tomēr	nevertheless
toutes	visiem	all
toux	klepus	cough
tower	tornis	tower
townshend	pilsētnieks	guitarist pete townshend
toxiques	toksisks	toxic
trace	izsekot	trace
traces	pēdas	track
traction	vilces	traction
tracé	izsekot	route
trad	trad	trad
trade	tirdzniecība	trade
tradition	tradīcijas	tradition
traditionnel	tradicionāls	traditional
traditionnelle	tradicionāls	traditional
traditionnellement	tradicionāli	traditionally
traditionnelles	tradicionāls	traditional
traditionnels	tradicionāls	traditional
traditions	tradīcijas	traditions
traduction	tulkošana	translation
traductions	tulkojumi	translations
traduire	tulkot	translation
traduit	tulkots	translated
traduits	tulkots	translated
trafic	satiksme	traffic
tragique	traģiski	tragical
tragédie	traģēdija	tragedy
tragédies	traģēdijas	tragedies
trahison	nodevība	betrayal
train	vilciens	en train de = in the process of
trains	vilcieni	trains
trait	iezīme	feature, stroke, characteristic
traitant	darīšana	dealing
traite	līgums	deals
traitement	ārstēšana	treatment
traitements	procedūras	treatments
traitent	process	treat  (as ill treat in that context)
traiter	ārstēt	to accord
traits	iespējas	features
traité	līgums	treaty
traités	līgumi	treaties
trame	audi	weft
tramway	tramvajs	streetcar
tranche	šķēle	slice
transcription	transkripcija	transcription
transept	transept	transept
transfert	nodošana	transfer
transferts	pārskaitījumi	transfer
transformation	transformācija	transformation
transformations	pārvērtības	transformations
transforme	pārveidojas	transforms
transformer	pārveidot	convert
transformé	pārveidots	transformed
transformée	pārveidots	converted
transféré	nodots	transfered
transit	tranzīts	transit
transition	pāreja	transition
transmet	pārraida	transmit
transmettre	padot	transmit
transmis	pārraidīts	transmitted
transmise	pārraidīts	transmitted
transmission	pārnešana	transmission
transport	transports	transportation
transporter	nēsāt	convey
transports	transports	transport
transylvanie	transilvānija	transylvania
travail	darbs	work
travaillait	strādāja	worked
travaillant	strādā	working
travaille	darbs	work
travaillent	strādā	work
travailler	strādāt	work
travailleurs	strādnieki	workers
travaillé	darbs	worked
travaux	darbojas	works
travers	cauri	through
traverse	krustu	crosses
traversent	krustu	cross
traverser	šķērsot	cross
traversé	šķērsoja	crossing
traversée	šķērsojot	crossed
treize	trīspadsmit	thirteen
tremblement	trīc	earthquake
tremblements	trīce	tremors
trentaine	trīsdesmitie gadi	30
trente	trīsdesmit	thirty
tri	šķirošana	sorting
triangle	trīsstūris	triangle
triangles	trīsstūri	triangles
tribu	cilts	tribe
tribunal	tiesa	court
tribunaux	likuma tiesas	tribuneship
tribune	tribīne	platform
tribus	ciltis	tribes
tricolore	trīskrāsains	tricolor
trigonométriques	trigonometriskais	trigonometric
trilogie	triloģija	trilogy
trio	trio	threesome
triomphe	triumfs	triumph (arch of triumph)
triple	trīskāršs	triple
troie	trojas zirgs	trojan
trois	trīs	three
troisième	trešais	third
trompette	trompete	trumpet
trop	pārāk daudz	too many
trophée	trofeja	trophy
trophées	trofejas	trophie
tropical	tropisks	tropical
trou	caurums	hole
trouble	nepatikšanas	trouble
troubles	nepatikšanas	illnesses
troupe	karaspēks	troop
troupes	karaspēks	troops
trouvaient	atrasts	found
trouvait	atrasts	found
trouvant	atrašana	finding
trouve	atrast	is
trouvent	atrast	found
trouver	atrast	find out
trouvera	atradīs	will find
trouvé	atrast	found
trouvée	atrasts	found
true	taisnība	vrai
très	ļoti	very
trésor	dārgums	trasure
trêve	pamiers	truce
trône	tronis	throne
tsunami	cunami	tsunami
tsunamis	cunami	tsunami
tu	tu	you
tube	caurule	tube
tubercules	bumbuļi	tubercle
tubes	caurules	barrel (first occurrence); hits (second occurrence)
tue	nogalināt	kill
tuer	nogalināt	kill
tueur	slepkava	killer
tuileries	smalkmaizītes	tile
tumeur	audzējs	tumor
tunis	tunis	tunis
tunisie	tunisija	tunisia
tunisien	tunisietis	tunisian
tunisienne	tunisietis	tunisian
tunnel	tunelis	tunnel
tupac	tupac	tupac
turc	turku	turk
turcs	turki	turks
turin	turīn	turin
turner	virpotājs	turner
turque	turku	turk
turquie	turcija	turkey
tutelle	aizbildnība	guardianship (for 1st) supervision( for2nd) guardianship(for the 3rd)
tué	nogalināt	killed
tués	tu esi	killed
tv	tv	tv
tva	pvn	tva
twilight	krēsla	twilight
twitter	twitter	twitter
two	divi	two
tyler	drēbnieks	tyler
type	tips	type
types	veidi	kinds
typique	tipisks	typical
typiquement	parasti	typicaly
typiques	tipisks	typical
tâche	uzdevums	task
tâches	uzdevumi	tasks
télé	tv	tv
téléchargement	lejupielādēt	download
télécommunications	telekomunikācijas	telecommunications
téléfilm	tv filma	telefilm
télémaque	telemachus	télémaque
téléphone	tālrunis	phone
téléphones	telefoni	phones
téléphonie	telefonija	telephony
téléphonique	telefons	telephone
téléspectateurs	skatītājiem	audience
télévision	televīzija	television
télévisé	televīzijā	television
télévisée	televīzijā	broadcast
télévisées	televīzijā	tv
télévisés	televīzijā	on television
témoignage	liecība	account
témoignages	atsauksmes	testimonials
témoigne	apliecina	reveals
témoignent	liecināt	testify
témoin	liecinieks	witness
témoins	liecinieki	witnesses
tête	galva	head
têtes	galvas	heads
tôt	agri	soon
tōkyō	tokija	tokyo
u	u	u
ue	eu	eu
uefa	uefa	(acronym for an organization)
uk	uk	uk
ukraine	ukraina	ukraine
ulrich	ulrihs	ulrich
ultimate	galīgais	ultimate
ultime	galīgais	ultimate
ultérieurement	vēlāk	subsequently
ulysse	ulysses	ulysses
ump	vienreizējs	union for a popular movement
un	a	a
und	und	und
une	a	a
unes	daži	one
unforgiven	nepiedodams	unforgiven
unies	vienoti	united
uniforme	formas tērps	uniform
union	savienība	union
unique	unikāls	unique
uniquement	tikai	uniquely
unis	vienoti	united
unitaire	vienota	unitary
united	vienoti	united
unité	vienība	unit
unités	vienības	units
univers	visums	universe
universal	universāls	universal
universe	visums	universe
universel	universāls	universal
universelle	universāls	universal
universitaire	universitāte	university
universitaires	akadēmiķi	academics
university	universitāte	university
université	universitāte	university
universités	universitātes	universities
uns	daži	ones
urbain	pilsētas	urban
urbaine	pilsētas	urban
urbaines	pilsētas	urban
urbains	pilsētas	urban
urss	psrs	ussr
us	mums	us
usa	asv	usa
usage	izmantot	use
usages	izmanto	usages
usine	rūpnīca	factory
usines	rūpnīcas	factories
utc+	utc +	utc +
utile	noderīga	useful
utiles	noderīga	useful
utilisaient	lietojām	used
utilisait	izmanto	useddifficulté
utilisant	izmantojot	using
utilisateur	lietotājs	user
utilisateurs	lietotājiem	users
utilisation	izmantot	usage
utilise	izmantot	use
utilisent	izmantot	use
utiliser	izmantot	use
utilisé	izmanto	uses'
utilisée	izmanto	used
utilisées	izmanto	used
utilisés	izmanto	used
v	v	vs
va	iet	will
vacances	atvaļinājums	holiday
vaccin	vakcīna	vaccine
vaccination	vakcinācija	vaccination
vaccins	vakcīnas	vaccines
vagin	maksts	vagina
vague	vilnis	wave
vagues	viļņi	waves
vain	veltīgi	vain
vaincre	pārvarēt	win over
vaincu	sakāva	beaten
vainqueur	uzvarētājs	winner
vainqueurs	uzvarētāji	winners
vaisseau	kuģis	vessel
vaisseaux	kuģi	fleets
valable	derīgs	valid
valeur	vērtību	value
valeurs	vērtības	values
valide	derīgs	valide
valjean	valjean	valjean
valley	ieleja	valley
vallée	ieleja	valley
vallées	ielejas	valley
valoir	būt vērtam	value
valois	valois	valois
valu	vērts	cost
valéry	valērijs	valéry
vampire	vampīrs	vampire
vampires	vampīri	vampires
vampirisme	vampīrisms	vampirism
van	van	van
vanessa	vanesa	vanessa
vapeur	tvaiks	vapor
variable	mainīgs	variable
variables	mainīgie	variable
variante	variants	variant
variantes	varianti	variantions
variation	variācija	variation
variations	variācijas	variations
varie	daudzveidīgs	changes
varient	mainīties	fluctuate
varier	mainīties	vary
varié	daudzveidīgs	diversified
variées	dažādi	various
variégation	šķirne	discolouration
variés	dažādi	various
variété	šķirne	diversity
variétés	šķirnes	varieties
varsovie	varšava	warsaw
vaste	plašs	large
vastes	plašs	large
vatican	vatikāns	vatican
vaut	vērts	worth
vecteur	vektors	vector
vedette	zvaigzne	star
vegas	vegasā	vegas
veille	ieva	previous day / or day before
veine	vēnu	vein
venait	nāca	just had
venant	no plkst	coming
vend	pārdod	sell
vendre	pārdot	sell
vendredi	piektdiena	friday
vendu	pārdots	best-selling
vendue	pārdots	sold
vendus	pārdots	sold
venezuela	venecuēla	venezuela
vengeance	atriebība	vengeance
venger	atriebība	revenge
venir	nāc	come
venise	venēcija	venise
vent	vējš	wind
vente	pārdošana	sale
ventes	pārdošanas apjomi	sales
ventricule	kambara	ventricle
vents	vēji	winds
venu	atnāca	come
venue	nāc	came
venues	atnāk	from
venus	venera	venus
verlaine	verlaine	verlaine
verne	verne	verne
verra	redzēsim	will see
verre	stikls	glass
vers	virzienā	verses
versailles	versaļa	versailles
versets	vārsmas	verses
version	versija	version
versions	versijas	versions
vert	zaļš	green
verte	zaļš	green
vertical	vertikāli	vertical
verts	zaļš	green
vertu	tikums	righteousness
vertus	tikumi	virtues
vertébrés	mugurkaulnieki	vertebrates
vestiges	paliek	remains
veulent	gribu	want to
veut	grib	wants
veuve	atraitne	widow
vf	vf	vf
vhs	vhs	vhs
vi	vi	6th
via	caur	via
vian	vian	vian
viande	gaļa	meat
viceprésident	viceprezidents	vice-president
vichy	gingham	vichy
victime	upuris	victim
victimes	upuri	casualties
victoire	uzvara	victorie
victoires	uzvaras	victories
victor	uzvarētājs	victor
victoria	viktorija	victoria
victorienne	viktoriāņu	victorian
vide	tukšs	void
video	video	video
vidéo	video	video
vidéos	video	videos
vie	dzīvi	life
vieil	vecs	old
vieille	vecs	old
vienne	nāc	vienne
viennent	nāk	come
vient	nāc	come
vierge	jaunava	virgin
vies	dzīvo	lifes
vietnam	vjetnama	vietnam
vieux	vecs	old
vif	dzīva	real life situation (for the 1st) intense (for the 2nd) profond(for the 3rd)
vigueur	spēks	vigor
vih	hiv	hiv
vii	vii	7th
viii	viii	8 (roman numbers)
vikings	vikings	vikings
villa	villa	villa
village	pilsēta	village
villages	ciemi	villages
ville	pilsēta	city
villes	pilsētas	towns
vin	vīns	wine
vince	vince	vince
vincent	vincents	vincent
vinci	vinci	vinci
vingt	divdesmit	twenty
vingtaine	ap divdesmit	twenty
vingtcinq	divdesmit pieci	twenty-five
vingtquatre	divdesmit četri	twenty four
vins	vīni	wines
viol	izvarošana	rape
violemment	vardarbīgi	violently
violence	vardarbība	violence
violences	vardarbība	violences
violent	vardarbīgs	violent
violente	vardarbīgs	violent
violentes	vardarbīgs	violent
violents	vardarbīgs	violent
violletleduc	vijoleleducis	viollet-le-duc
violon	vijole	violin
violoniste	vijolniece	violinist
virale	vīrusu	viral
virus	vīruss	virus
vis	skrūve	screw
visa	visa	visa
visage	seja	face
visant	mērķis	to
vise	mērķi	aim
visent	mērķis	aim
visible	redzams	visible
visibles	redzams	visible
vision	redze	vision
visions	vīzijas	visions
visite	apmeklējums	visit
visiter	apciemot	visit
visites	vizītes	visits
visiteur	apmeklētājs	visitor
visiteurs	apmeklētāji	visitors
visité	apmeklējums	visited
visuel	vizuālais	visual
visuelle	vizuālais	visual
visuels	vizuāli	visual
vit	dzīvo	live
vital	vitāli svarīgs	vital
vitamine	vitamīns	vitamin
vite	ātri	quick
vitesse	ātrums	speed
viva	viva	viva
vivait	dzīvoja	lived
vivaldi	vivaldi	vivaldi
vivant	dzīvo	lifetime
vivantes	dzīvs	live
vivants	dzīvo	alive
vive	ilgi dzīvo	strong
vivement	stingri	deeply
vivent	tiešraide	live
vives	spilgti	fierce
vivre	tiešraide	savoir-vive, live
viêt	viet	viet
vlad	vlads	vlad
vladimir	vladimirs	vladimir
vocabulaire	vārdu krājums	vocabulary
vocal	vokāls	voice
vocation	aicinājums	vocation
vogue	moderns	popular
voici	šeit ir	here are
voie	trase	way
voient	redzēt	see
voies	dziesmas	ways
voile	bura	sail
voir	redzēt	see
voire	redzēt	even
voisin	kaimiņš	neighboring
voisine	kaimiņš	neighbour
voisines	kaimiņi	neighbour
voisins	kaimiņi	neighbors
voit	redzēt	seen
voiture	auto	car
voitures	automašīnas	cars
voix	balss	voice
vol	lidojums	flight, volume
volcan	vulkāns	volcano
volcanique	vulkānisks	volcanic
volcaniques	vulkānisks	volcanic
volcanisme	vulkānisms	volcanism
volcans	vulkāni	volcanos
voldemort	nāves lidojums	voldemort
volet	slēģis	section
volleyball	volejbols	volleyball
volontaire	brīvprātīgi	volunteer
volontairement	labprātīgi	voluntarily
volontaires	brīvprātīgie	volunteers
volontiers	priecīgi	willingly
volonté	būs	will
vols	lidojumi	flights
voltaire	voltaire	voltaire
volume	apjoma	volume
volumes	apjomi	volumes
volumique	apjoma	volume
von	fon	von
vont	iet	will
vos	tavs	your
vote	balso	vote
voter	balso	vote
votre	tavs	your
voté	balso	vote
voudrait	vēlētos	wants
voulait	gribēja	wanted
voulant	gribot	wanting
vouloir	gribu	to want
voulu	vēlamais	desired
vous	tu	you
voyage	ceļojums	travel
voyager	ceļot	travel
voyages	ceļojumi	travels
voyageur	ceļotājs	traveler
voyageurs	ceļotāji	travelers  (trafic voyageurs=tourist traffic)
voyait	ieraudzīja	saw
voyant	redzot	seeing
voûte	velvēts	vault
vrai	taisnība	true
vraie	taisnība	true
vraiment	tiešām	really
vrais	taisnība	real
vraisemblablement	domājams	probably
vs	vs.	vs
vu	redzēts	seen
vue	skats	to
vues	skati	views
vulve	vulva	vulva
vécu	dzīvoja	lived
végétation	veģetācija	vegetation
végétaux	augi	vegetable
véhicule	transporta līdzeklis	vehicle
véhicules	transporta līdzekļiem	vehicles
vélo	velosipēds	bike
vénus	venera	venus
vérifier	pārbaudīt	verify
véritable	taisnība	genuine
véritablement	patiesi	truly
véritables	īsts	true
vérité	patiesība	truth
vêtements	apģērbs	clothing
w	w	w
wade	brist	wade
walk	staigāt	walk
wall	sienas	wall
wallace	wallace	wallace
walt	valsis	walt
walter	valters	walter
war	karš	war
warhol	vorhols	warhol
warner	brīdinātājs	warner
washington	vašingtona	washington
waters	ūdeņi	water
watson	watson	watson
way	veids	way
wayne	wayne	wayne
wcw	wcw	wcw
we	mēs	we
weasley	weasley	weasly
web	tīmeklis	web
weber	vēbers	weber
weekend	nedēļas nogalē	week-end
wehrmacht	wehrmacht	wehrmacht
wells	akas	wells
west	uz rietumiem	west
western	rietumu	western
westminster	westminster	westminster
what	kas	what
white	balts	blanc
who	pvo	who
width	platums	width
wifi	bezvadu	wifi
wikipédia	wikipedia	wikipedia
wilde	wilde	wilde
wilhelm	vilhelms	wilhelm
will	būs	(also man's name)
williams	williams	williams
willis	willis	willis
wilson	vilsons	wilson
wimbledon	vimbldona	wimbledon
