$	dollar təşkil edib	dollarsign
verfilming	filmə uyğunlaşma	filming
vergadering	görüş	meeting
vergaderingen	görüşlər	meetings
vergeleken	müqayisə etdi	compared
vergelijk	müqayisə et	compare
vergelijkbaar	müqayisə edilə bilər	comparable
vergelijkbare	müqayisə edilə bilər	comparable
vergelijken	müqayisə et	compare
vergelijking	müqayisə	(in) comparison
vergelijkingen	müqayisələr	equations
vergeten	unutmaq	forget
vergezeld	müşayiət etdi	accompanied
vergilius	bakirə	virgil
vergroot	artır	increase
vergroten	böyütmək	to expand
verhaal	hekayə	story
verhaallijn	hekayə xətti	storyline
verhaallijnen	hekayələr	storylines
verhalen	hekayələr	story
verhemelte	damaq	canopy
verheven	ucaldı	exalted
verhogen	artırmaq	increase
verhoging	yüksəliş	increase
verhoogd	artdı	increased
verhoogde	artdı	increased
verhoogt	artır	put up
verhouding	nisbət	ratio
verhoudingen	münasibətlər	relationships
verhuisde	köçürülüb	moved
verhuizen	uzaqlaşmaq	to move
verjaardag	ad günü	birthday
verkeer	trafik	traffic
verkeerd	səhv	wrong
verkeerde	səhv	wrong
verkiezing	seçki	election
verkiezingen	seçkilər	elections
verklaard	elan etdi	declared
verklaarde	ifadə etdi	declared
verklaart	izah edir	explains
verklaren	elan etmək	explain
verklaring	ifadəsi	statement
verklaringen	izahatlar	statements
verkocht	satilir	sold
verkochte	satilir	sold
verkoop	satış	sales
verkoopcijfers	satış rəqəmləri	salenumbers
verkopen	satmaq	sell
verkopende	satmaq	selling
verkoper	satıcı	salesman
verkozen	seçilmiş	chosen
verkrachting	zorlama	rape
verkreeg	əldə edilmişdir	obtained
verkregen	əldə edilmişdir	obtained
verkrijgbaar	mövcuddur	available
verkrijgen	əldə etmək	obtain
verlaat	yarpaqlar	leaves
verlangen	istək	desire
verlaten	buraxmaq	to leave
verleden	keçmiş	past
verleend	verilmişdir	granted
verleende	verilmişdir	granted
verlenen	qrant	to grant
verlengd	uzadıldı	prolonged
verlengde	uzadıldı	continuation (1st sentence), extended (4th sentence)
verlicht	işıqlandı	enlighten
verlichting	işıqlandırma	enlightment
verliefd	aşiq	fell in love
verliep	getdi	went
verlies	zərər	loss
verliest	itirmək	loses
verliet	qalıb	left
verlieten	qalıb	left
verliezen	itirmək	losses
verloop	kurs	course
verloopt	başa çatır	expires
verloor	itirdi	lost
verlopen	müddəti bitmişdir	run (5th sentence), are (8th sentence), ran (9th sentence)
verloren	itirdi	lost
verlossing	qurtuluş	salvation
verluidt	bildirildi	reportedly
vermeden	qarşısı alındı	avoided
vermeende	iddia olunur	alleged
vermeer	artırmaq	multiply
vermeld	qeyd etmək	mentioned
vermelden	qeyd etmək	mention
vermelding	qeyd etmək	mention
vermeldt	qeyd edir	mentions
vermenigvuldigen	çoxaltmaq	multiply
vermijden	çəkinin	avoid
verminderd	azaldı	decreased
verminderde	azaldı	decreased
verminderen	azaldın	decrease
vermindering	azalma	reduction
vermindert	azalır	reduces
vermoed	şübhəli	suspected
vermoedelijk	ehtimal ki	probably
vermoeden	şübhəli	suspicion
vermoedt	şübhəli	suspects
vermoeidheid	yorğunluq	fatigue
vermogen	güc	ability
vermoord	qətlə yetirildi	murdered
vermoorden	qətl	murder
vernietigd	məhv edildi	destroyed
vernietiging	məhv	destruction
vernietigingskamp	məhv düşərgəsi	extermination camp
vernietigingskampen	məhv düşərgələri	extermination camps
vernieuwende	yenilikçi	renewed
vernieuwing	yenilənmə	renewal
vernoemd	adlı	named
verona	verona	verona
verondersteld	ehtimal olunur	assumed
veronderstelde	ehtimal olunur	assumed
veronderstelling	fərziyyə	assumption
veronica	veronika	veronica
veroordeeld	məhkum	convicted
veroordeelde	məhkum	convicted
veroordeling	məhkumluq	condemnation
veroorzaakt	səbəb olur	caused
veroorzaakte	səbəb oldu	caused
veroorzaken	səbəb	cause
verouderde	köhnəlmiş	outdated
veroverd	fəth etdi	conquered
veroverde	fəth etdi	conquered
veroverden	fəth etdi	conquered
veroveren	fəth etmək	conquer
verovering	fəth	conquest
veroveringen	fəthlər	conquers
verpakking	qablaşdırma	packaging
verplaatsen	hərəkət etmək	move
verplaatst	köçürülüb	moved
verplicht	borcludur	required
verplichte	məcburidir	mandatory
verplichting	bağlılıq	obligation
verplichtingen	öhdəliklər	obligations
verrassend	təəccüblü	surprisingly
verrast	təəccübləndi	surprised
verre	uzaqda	far
verregaande	uzaqgörəndir	profound
verreweg	qədər	by far
verricht	aparılıb	conduct
verrichten	ifa etmək	perform
vers	təzə	fresh
versailles	versailles	versailles
verschaffen	təmin etmək	provide
verscheen	açıldı	appeared
verscheidene	bir neçə	different
verscheidenheid	müxtəliflik	variety
verschenen	ortaya çıxdı	appeared
verschijnen	görünür	appear
verschijning	görünüşü	appearance
verschijningsdatum	nəşr tarixi	release date
verschijnsel	fenomen	phenomenon
verschijnselen	hadisələr	appearances
verschijnt	görünür	appears
verschil	fərqlilik	difference
verschillen	fərqlər	differs
verschillend	fərqli	different
verschillende	müxtəlif	different
verschilt	fərqlənir	differs
verschoof	sürüşdü	shifted
verse	təzə	fresh
versie	versiya	version
versierd	bəzədilib	decorated
versies	versiyaları	versions
verslaan	məğlub etmək	defeat
verslag	hesabat	report
verslagen	məğlub oldu	beat
verslaving	asılılıq	addiction
verslechterde	pisləşdi	deteriorated
versloeg	məğlub oldu	beats
versneld	sürətləndi	accelerated
versnelde	sürətləndi	accelerated
verspreid	səpələnmiş	spread
verspreidde	yayılma	spread
verspreiden	yayılmaq	spread
verspreiding	yayılma	spread
verstaan	başa düşmək	catch
verstand	ağıl	insight
verstandelijke	zehni	mental
verstandig	həssas	with sense
verstedelijking	urbanizasiya	urbanisation
versterken	gücləndirmək	strengthen
versterkt	gücləndirir	strengthened
versterkte	gücləndirilmişdir	enhanced
verstoord	narahat	disturbed
verstopt	qəbizdir	hidden
verstoren	narahat etmək	disturb
verstoring	pozğunluq	disturbance
verstrekt	təmin olunur	provided
versus	qarşı	versus
vertaald	tərcümə olunub	translated
vertaalde	tərcümə olunub	translated
vertaling	tərcümə	translation
vertalingen	tərcümələr	translations
vertegenwoordigd	təmsil olunan	represented
vertegenwoordigen	təqdim etmək	represent
vertegenwoordiger	nümayəndəsi	representative
vertegenwoordigers	nümayəndələri	representators
vertegenwoordiging	nümayəndəliyi	representation
vertegenwoordigt	təmsil edir	represents
verteld	izah etdi	told
vertelde	izah etdi	told
vertellen	danışmaq	tell
vertelt	deyir	tells
verticale	şaquli	vertical
vertolkt	təfsir etdi	interpret
vertonen	sərgi	show
vertoond	göstərilib	shown
vertoonde	göstərilir	showed
vertoont	göstərir	shows
vertraging	gecikmə	delay
vertrek	gediş	leave
vertrekken	buraxmaq	leave
vertrekt	yarpaqlar	leaves
vertrok	qalıb	left
vertrokken	qalıb	left
vertrouwde	etibarlıdır	trusted
vertrouwen	güvənmək	trust
veruit	qədər	by far
vervaardigd	istehsal olunur	manufactured
vervaardigde	istehsal olunur	manufactured
verval	çürümə	decay
vervallen	ləğv edildi	expire
vervangen	əvəz etmək	replaced
vervanger	əvəzedici	replacer
vervanging	yerdəyişmə	replacement
vervelling	molt	moult
verving	əvəzləndi	replaced
vervoer	nəqliyyat	transportation
vervoerd	nəql olunur	transported
vervoeren	nəqliyyat	transport
vervolg	davamı	continuation
vervolgd	davam etdi	continued
vervolgde	davam etdi	pursued
vervolgen	davam edin	follow ups
vervolgens	bundan sonra	next
vervolging	ittiham	prosecution
vervreemding	yadlaşma	alienation
vervuiling	çirklənmə	pollution
vervullen	yerinə yetirmək	fulfill
vervult	yerinə yetirir	fulfills
verwacht	gözlənilir	expects
verwachte	gözlənilir	expected
verwachten	gözləmək	expected
verwachting	gözləmə	expectation
verwachtingen	gözləntilər	expectations
verwachtte	gözlənilir	expected
verwant	bağlıdır	related to
verwante	bağlıdır	related
verwantschap	münasibətlər	affiliation
verward	qarışıq	confused
verwarren	qarışdırmaq	confuse
verwarring	qarışıqlıq	confusion
verwekkers	patogenlər	pathogens
verwerken	emal	process
verwerking	emal	processing
verwerkt	işlənmişdir	processes
verwerpen	rədd et	reject
verwerven	əldə etmek	to obtain
verwezen	istinad olunur	refered
verwierf	əldə	acquired
verwijderd	silindi	removed
verwijderen	çıxarın	remove
verwijdering	çıxarılması	widening
verwijst	aiddir	refers
verwijzen	istinad edin	refer
verwijzing	arayış	reference
verwijzingen	istinadlar	references
verwoert	qənimət	verwoert - proper noun - surname
verwoest	məhv edildi	destroyed
verwondingen	xəsarətlər	injuries
verworpen	rədd edildi	rejected
verworven	əldə	acquired
verzamelalbum	tərtib albomu	compilation album
verzameld	toplanmış	collected
verzamelde	toplanmış	collected
verzamelen	toplamaq	collect
verzameling	kolleksiya	collection
verzamelnaam	kollektiv adı	collectional name
verzet	müqavimət	resistance
verzetten	müqavimət göstərin	resist
verzocht	istəndi	requested
verzoek	istək	request
verzoening	barışıq	reconciliation
verzonnen	uydurma	made up
verzorgd	yeməkli	provided
verzorgde	qayğı göstərdi	took care for
verzorgen	qayğısına qalmaq	provide
verzorging	qayğı	care
verzorgt	qayğısına qalır	takes care for
verzwakt	dəyərsizləşmiş	weakened
vestigde	məskunlaşmışdır	settled down
vestigden	məskunlaşmışdır	settling down
vestigen	həll etmək	to establish
vestiging	müəssisə	establishment
vestigingen	filiallar	offices
vet	yağ	bold
veteranen	qazilər	veterans
vetten	yağlar	fats
vetzuren	yağ turşuları	fatty acid
via	vasitəsilə	through
viaduct	viadük	fly-over
vicepresident	vitse prezident	vice president
victor	viktor	victor
victoria	viktoriya	victoria
video	video	video
videoclip	video klip	videoclip
videoclips	videoçarxlar	music video
videos	videolar	videos
viel	düşdü	fell
vielen	düşdü	fell
vier	dörd	four
vierde	dördüncü	fourth
vieren	qeyd etmək	to celebrate
viering	qeyd etmək	celebration
vierkant	kvadrat	square
vierkante	kvadrat	square
vietnam	vyetnam	vietnam
vietnamese	vyetnam	vietnamese
vietnamoorlog	vyetnam müharibəsi	vietnamwar
vii	vii	vii
vijand	düşmən	enemy
vijanden	düşmənləri	enemies
vijandige	düşmən	hostile
vijf	beş	five
vijfde	beşinci	fifth
vijftien	on beş	fifteen
vijftiende	on beşinci	fifteenth
vijftig	əlli	fifty
vikingen	vikinqlər	vikings
villa	villa	villa
vincent	vincent	vincent
vinci	vinci	vinci
vind	tapmaq	find
vinden	tapmaq	found
vindt	tapır	finds
vinger	barmaq	finger
vingers	barmaqlar	fingers
virale	viral	viral
virginia	virciniya	virginia
virtual	virtual	virtual
virus	virus	virus
virussen	viruslar	viruses
vis	balıq	fish
visie	görmə	vision
vissen	balıqçılıq	fishes
visserij	balıqçılıq	fishery
visuele	əyani	visual
vita	vita	vita
vitamine	vitamin	vitamin
vlaams	flamand	flemish
vlaamse	flamand	flemish
vlaanderen	flandriya	flanders
vladimir	vladimir	vladimir
vlag	bayraq	flag
vlaggen	bayraqlar	flags
vlak	düz	flat
vlakbij	yaxınlıqda	right by
vlakken	təyyarələr	levels
vlakte	düzənlik	leveled
vlaktes	düzənliklər	plains
vlamingen	flamandlar	flemings
vleermuizen	yarasalar	bats
vlees	ət	meat
vlek	ləkə	stain
vlekken	ləkələr	stains
vleugel	qanad	wing
vleugels	qanadlar	wings
vliegen	uçmaq	fly
vliegende	uçan	flying
vliegramp	hava qəzası	plane crash
vliegt	uçur	flies
vliegtuig	təyyarə	airplane
vliegtuigen	təyyarələr	aircraft
vliegveld	hava limanı	airport
vliegvelden	hava limanları	airports
vliezen	membranlar	webs
vlinder	kəpənək	butterfly
vlinders	kəpənəklər	butterflies
vlissingen	vlissingen	vlissingen
vloeibaar	maye	liquid
vloeibare	maye	liquid
vloeistof	maye	liquids
vloek	lənət	curse
vloer	mərtəbə	floor
vloog	uçdu	flew
vloot	donanma	fleet
vlucht	uçuş	flight
vluchtelingen	qaçqınlar	fugitives
vluchten	qaçmaq	flights
vluchtte	qaçdı	fled
vluchtten	qaçdı	fled
vlugt	uçur	flight
vn	un	vn
voc	vok	voc
vocht	nəm	fought
vochten	vuruşdu	fought
vochtig	nəm	moist
vochtige	nəm	damp
voeding	qidalanma	food - 1st sentence, fed - 2nd sentence
voedingsmiddelen	qidalar	foods
voedingsstoffen	qida maddələri	nutrients
voedsel	yemək	food
voegde	əlavə etdi	added
voegen	əlavə edin	adding
voelde	hiss etdim	felt
voelden	hiss etdim	felt
voelen	hiss etmək	to feel
voelt	hiss edir	feels
voer	girmək	feed
voerde	mübahisə etdi	conducted
voerden	aparılıb	conducted
voeren	yem	carry
voert	ifa edir	carries/ conduct
voertuig	vasitə	transport
voertuigen	nəqliyyat vasitələri	vehicles
voet	ayaq	foot
voetbal	futbol	soccer
voetbalclub	futbol klubu	football
voetbalclubs	futbol klubları	soccer clubs
voetbalelftal	milli futbol komandası	football team
voetballer	futbolçu	soccerplayer
voetballers	futbolçular	soccer players
voeten	ayaqları	feet
voetnoten	qeydlər	footnote
vogel	quş	bird
vogels	quşlar	birds
vol	dolu	full
voldaan	məmnun	satisfy
voldeed	görüşdü	required
voldemort	tam havan	voldemort
voldoen	görüşmək	satisfy
voldoende	yetər	sufficient
voldoet	təmin edir	satifies
volgde	izlə	followed
volgden	izlədi	followed
volgelingen	ardıcılları	followers
volgen	izləmək	follow
volgend	sonrakı	following
volgende	növbəti	following
volgens	görə	according to
volgorde	sifariş	order
volgt	izləyir	follows
volk	xalq	people
volken	millətlər	peoples / nations
volkenbond	millətlər liqası	league of nations
volkeren	xalqlar	peoples
volkomen	tamamilə	completely
volksgezondheid	xalq sağlamlığı	public health
volkskrant	volkskrant	volkskrant
volkslied	himni	anthem
volksmond	dilbər	popularly
volksrepubliek	xalq respublikası	peoples republic
volkstelling	siyahıyaalma	census
volksvertegenwoordiging	məclis	representation
volle	dolu	full
volledig	tam	completely
volledige	dolu	full
volleybal	voleybol topu	volleybal
voltooid	tamamlandı	finished
volume	həcmi	volume
volwaardige	tam hüquqlu	full
volwassen	böyüklər	adult
volwassene	böyüklər	grown up
volwassenen	böyüklər	adults
von	von	von
vond	tapdı	was
vonden	xoşuma gəldi	found
vondst	tapmaq	find / discovery
vondsten	tapır	findings
voor	qarşısında	for
vooraanstaande	görkəmli	leading
vooraf	əvvəl	beforehand
voorafgaand	əvvəl	prior
voorafgaande	əvvəlki	prior
vooral	əsasən	especially
vooralsnog	hal hazirda	yet
voorbeeld	nümunə	example
voorbeelden	misallar	examples
voorbehouden	qorunur	reserved
voorbereid	hazırlanmışdır	prepared
voorbereiding	hazırlıq	preparation
voorbereidingen	hazırlıqlar	preparations
voorbij	üzərində	beyond
voordat	əvvəl	before
voordeel	fayda	advantage
voordelen	faydaları	advantages
voordien	əvvəl	before then
voordoen	baş verir	occur
voorgaande	əvvəlki	forgoing
voorganger	sələfi	predecessor
voorgangers	sələfləri	clergymen
voorgeschiedenis	tarixi	previous history
voorgeschreven	təyin olunmuşdur	prescribed
voorgesteld	təklif etdi	introduced
voorgoed	əbədi	forever
voorgrond	ön planda	front
voorhanden	mövcuddur	available
voorheen	əvvəl	before
voorjaar	bahar	spring
voorkant	ön	front
voorkeur	üstünlük	preference
voorkomen	görünüşü	prevent
voorkomend	baş verən	common
voorkomende	ümumi	common
voorkomt	qarşısını alır	for cometh
voorkwam	meydana gəldi	prevented
voorkwamen	meydana gəldi	occured
voorlichting	məlumat	enlightenment
voorloper	qabaqcadan	precursor
voorlopig	hal hazirda	for now
voormalig	keçmiş	former
voormalige	keçmiş	former
voornaam	ad	first name
voornaamste	ana	main
voornamelijk	əsasən	mainly
voorouders	atalar	ancestors
voorprogramma	dəstəkləyici akt	support act
voorraad	fond	supply
voorronde	ilkin tur	qualifying round
voorschriften	qaydalar	regulations
voorsprong	baş start	advance
voorstander	vəkil	is in favour
voorstanders	vəkillər	proponents
voorste	ön	forward
voorsteden	şəhərətrafı ərazilər	suburbs
voorstel	təklif	proposal
voorstellen	tanıtmaq	propose
voorstelling	performans	interpretation
voorstellingen	tamaşalar	performances
voort	yandır	on
voortaan	indidən	from now on
voortbestaan	yaşamaq	survival
voortdurend	daim	continuously
voortdurende	davamlı	ongoing
voortgebracht	yumurtladı	produced
voortgekomen	çıxmaq	originated
voortgezet	davam etdi	resumed
voortplanten	yetişdirmək	propagate
voortplanting	çoxalma	procreate
voorts	bundan əlavə	furthermore
