$	ps	dollars
хомеопатия	homeopatía	homeopathy
хомеопатията	homeopatía	homophobia
хомосексуални	homosexual	homosexual
хомосексуалните	homosexuales	homosexual
хомосексуалността	homosexualidad	homosexuality
хонконг	hong kong	hong kong
хор	coro	choir
хора	personas	people
хората	personas	people
хораций	coro	horatius
хореография	coreografía	choreography
хоризонта	horizonte	horizon
хормони	hormonas	hormones
хотел	hotel	hotel
хотели	hoteles	hotels
хофман	hoffman	hoffmann
храброст	valor	bravery
храм	el templo	temple
храма	el templo	temple
храмове	templos	temples
храмът	el templo	temple
храна	comida	food
храната	los alimentos	food
хранене	nutrición	nutrition
храни	comida	food
хранителната	comida	food
хранителни	comida	food
хранителните	comida	nutritious
хранителновкусова	sabor de la comida	food
хранителновкусовата	sabor de la comida	food
храносмилателната	digestivo	the digestive
хранят	alimentar	feed
храсти	arbustos	oak
христа	de cristo	christ
християни	cristianos	christians
християнин	cristiano	christian
християните	cristianos	the christians
християнска	cristiano	christian
християнската	el cristiano	christian
християнски	cristiano	christian
християнските	cristiano	christian
християнския	el cristiano	christian
християнско	cristiano	christianity
християнското	el cristiano	the christian
християнство	cristiandad	christianity
християнството	cristiandad	christianity
христо	cristo	hristo
христов	de cristo	true
христово	cristo	christ
христос	cristo	christ
христофор	christopher	christopher
хромозома	cromosoma	chromosome
хроника	crónica	chronicle
хроники	crónicas	chronicles
хроничен	crónico	chronic
хронологична	cronológico	chronological
хронология	cronología	chronology
хуан	huan	juan
художествена	artístico	art
художествената	lo artístico	art
художествени	artístico	art
художник	pintor	an artist
художници	artistas	artists
хумор	humor	humor
хунан	hunan	hunan (area)
хуните	los hunos	huns
хх	xx	twenty
хъдсън	hudson	hudson (name)
хъкълбери	arándano	huckleberry (name)
хълм	colina	hill
хълма	la colina	hill
хълмове	colinas	hills
хълмовете	las colinas	hills
хънт	cazar	hunt
хърбърт	herbert	herbert
хървати	croatas	croats
хърватия	croacia	croatia
хърватски	croata	croatian
хюсеин	hussein	hussein
хюстън	houston	houston
цанко	цанко	tsanko
цанков	цанков	tsankov
цар	zar	tsar
царе	reyes	kings
царевец	el príncipe	tsarevets
царевица	maíz	corn
царете	los reyes	kings
цариград	constantinopla	istanbul
цариградската	la constantinopla	constantinople
царица	reina	queen
царската	el real	king
царски	real	royal
царското	el real	royal
царства	reino	kingdoms
царство	reino	kingdom
царството	el reino	kingdom
царуването	reinado	the reign / the tzardom
царя	el rey	king
царят	el rey	king
цвета	colores	color
цветан	flor	tzvetan
цветни	de colores	floral
цветове	colores	colors
цветовете	los colores	colors
цветът	el color	color
цветя	flores	flowers
цвят	color	color
цдна	цдна	cdna (football club)
цезар	césar	caesar
цел	propósito	end
цели	metas	objectives
целите	metas	goals
целия	el conjunto	all
целият	el conjunto	the whole
целогодишно	todo el año	yearly
целта	la meta	finish
целулоза	celulosa	cellulose
цена	precio	price
цената	el precio	price
цени	precios	prices
цените	precios	prices
ценни	valioso	securities
ценности	valores	treasures
