$	ps	your
wasaarihiisa	su ministro	wasaarihiisa
wasakheeyey	contaminado	he made dirty
wasaq	contaminación	wasaq
wasarada	ministros	wasarada
wasi	letra	wasi
wasiir	ministro	deputy minister
wasiirada	ministros	the ministers
wasiirka	ministro	the minister
wasiirkii	ministro	minister of justice
wasiiro	ministros	ministers
wata	otro	with
watay	presente	he carried
watch	reloj	watch
wato	es decir	leads
watto	temprano	watto
waw	waw	even
wax	alguna cosa	wax
waxa	qué	the
waxaa	eso	the
waxaad	tú	you
waxaan	nosotros	i
waxaana	y nosotros	and
waxaanan	y nosotros	and i
waxaanay	y ellos	and they shall have
waxaanu	nosotros	we
waxaanuu	él	we
waxaas	esa cosa	this
waxaasa	es decir	waxaasa
waxaase	es	but
waxaay	eso	will screen
waxad	tú	you
waxaliilka	adopción	waxaliilka
waxan	esta cosa	i
waxana	y	and
waxanaa	esto es	waxanaa
waxannu	tenemos	waxannu
waxanu	esta	baby
waxar	niño	kid
waxay	ellos	they
waxayna	ellos	and they
waxaynu	nosotros	we
waxba	nada	nothing
waxbarashada	educación	education
waxbarashadiisa	su educación	waxbarashdiisa
waxbarashadiisii	su educación	you do your best without leaving his particular education
waxbarasho	educación	education
waxee	qué	make
waxeena	nuestra cosa	our
waxeey	ellos	may
waxey	ellos	they
waxeyna	y ellos	and
waxgaradka	comprensión	the intellectuals
waxii	lo que sea	what
waxka	cosa	jan.
waxna	nada	and
waxoo	alguna cosa	is it altogether
waxoona	alguna cosa	waxoona
waxoow	algunos	waxoow
waxow	cosas	waxow
waxse	nada	if so
waxsiin	proporcionar	waxsiin
waxsoo	algunos	importation is
waxsoosaarka	producción	each district after an assessment
waxuu	él	he
waxuuna	lo hace	he
waxyaabaha	cosas	things
waxyaabihii	cosas	things
waxyaabo	cosas	things
waxyaalaha	cosas	things
waxyar	un poco	little bit
waxyoonay	inspirado	we revealed to
way	camino	hey
wayaaye	olvido	wayaaye
wayday	no pude	could not
waydiin	no preguntes	question
waydiisato	usted pregunta	waydiisato
waydiiyay	le preguntó	asked
waydinkii	pedir	waydinkii
wayga	mira	wayga
wayl	camino	wayl
wayn	excelente	great
wayna	ellos van a	and they
waynaa	excelente	great
waynaha	grandeza	people
waynayd	fue grandioso	distress
waynayn	grande	glory
wayne	excelente	major
waynwaxa	excelente	waynwaxa
ways	formas	ways
waysadii	los caminos	waysadii
wayska	los caminos	wayska
waysu	no haga	waysu
waziirkii	el ministro	waziirkii
web	web	web
webi	el río	river
webiga	el río	the river
website	sitio web	website
websitka	sitio web	websitka
wee	y	wee
weeba	cincha	weeba
weecdaa	se aleja	weecdaa
weel	envase	deposit
weelashiina	y luego tu	weelashiina
ween	ween	ween
weeninkeeda	su grandeza	weeninkeeda
weer	expresión	slogan
weerar	ataque	attack
weeraradaas	esos ataques	from
weeraray	atacado	he attacked
weerarka	ataque	the attack
weerarkii	el ataque	attack
weeraro	ataques	attack
weerta	hierba	the pithy phrase
weey	mierda	may
weeyaane	lo es	neither
weeye	es decir	it is
weeyn	excelente	major
wegenxile	wegenxile	somali nickname
wehel	junto con	company
weheliye	compañero	wehliye
wehliye	compañero	weheliye
wejiga	la cara	the face
wejigeeda	su cara	her face
weli	todavía	still
weliba	además	even
weligayo	siempre	"""we have never been"
weligeed	nunca	never
weligood	nunca	they will never
well	bien	well
wels	wels	wels
wenlake	wenlake	wenlake
wenniger	wenniger	wenniger
were	utilizar	should be noted
werin	transmitir	werin
werinaayo	reporte	werinaayo
werinta	informes	to sing
werintii	las noticias	werintii
weriyey	reportero	he asked
west	oeste	"english word ""direction"""
wexey	él dijo	there was
wey	excelente	she
weyddiiyey	le preguntó	ask
weydiinta	preguntando	; should
weydiisanayaa	pregunto	requires
weydiiso	pedir	ask for
weydiiyey	le preguntó	he asked
weyn	excelente	big
weyna	excelente	and she
weynaa	excelente	he was great
weynaadeen	crecieron	they
weynaado	se bueno	usually
weyne	excelente	weyne
weyneyd	excelente	the big
weyneyn	excelente	magnification
weyneynta	aumento	the enlarging
weyni	excelente	self importance
weyninka	grandeza	weyninka
weynta	grandeza	the heavy artillery
when	cuando	when
where	dónde	where
which	cual	which
whose	cuyo	whose
wiil	chico	will
wiilal	hijos	boys
wiilasha	niños	boys
wiilashooda	sus hijos	wiiashooda
wiilka	el chico	son
wiilkan	este chico	boy
wiilkii	el chico	wiikii
wiilkiina	el chico	wiikiina
wiilkiisa	su hijo	wiikiisa
wiilkiisii	su hijo	his son
wiilkuu	su hijo	son and tells him everything
wiilwaal	niños	wiilwaal
wiki	wiki	wiki
wikipedia	wikipedia	wikipedia
wikipediaha	wikipediaha	wikipediaha
wikiteknoolojida	tecnología	wikiteknoolojida
wikiwiki	wikiwiki	wikiwiki
will	será	will
windows	ventanas	windows
wireless	inalámbrico	wireless
with	con	with
wixii	lo que sea	what
woo	cortejar	woo
woowga	guau	woowga
woqooyi	al norte	north
woqooyibari	noroeste	woqooyibari
woqooyiga	al norte	the north
woqooyigalbeeda	en el noroeste	woqooyigalbeeda
world	mundo	world
wow	guau	w
woxoo	qué	woods
woxoona	de todas formas	woxoona
wsaare	locutor	wsaare
wuqooyi	norte	wuqooyi
wuu	él	he
wuuna	y el	and he
wuuxuna	lo hará	wuuxuna
wuxaa	es	independent from
wuxu	él	the thing
wuxuna	es malo	this one
wuxuu	él	he
wuxuuna	él	he
wuxuuo	heo	wuxuuo
ww	ww	ww
wwii	segunda guerra mundial	wwii
wxa	barra lateral	wxa
wxaa	es decir	also includes failure to ensure
x	x	d
xaad	cabello	body hair
xaadirka	el presente	at present
xaafad	barrio	quarter
xaafada	en el vecindario	zip code
xaafadaha	en los barrios	the neighborhoods
xaafadda	en el vecindario	the neighborhood
xaafadii	el vecindario	he was born
xaafadood	afueras	neighborhoods occupied by western employees
xaafidiin	tu vecindario	xaafidiin
xaafiiska	oficina	appeals office
xaaji	seguid así	haji
xaal	condición	affair
xaalada	la situación	the situation
xaaladaha	condiciones	situations
xaaladda	situación	the situation
xaaladdu	la situación	the situation depends on them
xaaladihii	circunstancias	community
xaaraam	ilegítimo	xaaraam
xaarith	haarith	xaarith
xaas	esposa	wife
xaashi	sábana	hashi
xaaskii	esposa	the wife
xaaskiisii	su esposa	his wife
xaasuubka	la magia	xaasuubka
xaasuubkiisa	su esposa	xaasuubkiisa
xaawo	sudor	eve
xaayow	botón de play	hayow
xabaal	una tumba	grave
xabad	cofre	cease
xabasha	pegamento	ethiopia
xabashida	enterrar	habasha
xabsi	en prisión	prison
xabsiga	en prisión	prison
xabsigii	la prisión	jail
xad	límite	limit
xadaarad	civilización	civilization
xadaaradahii	los gatos	xadaaradahii
xaddaaradda	en el jardín	the civilization
xaddiiska	la cantidad	tradition
xadgudbay	abusado	he crossed
xadhig	cuerda	rope
xadiiska	hadiz	the sayings of the prophet mohammed
xadiiskan	este hadiz	xadiiskan
xadka	el límite	the border
xaduud	frontera	xaduud
xafidka	guardia	xafidka
xafiis	oficina	, officex
xafiiska	oficina	the office
xafiisyada	oficinas	offices
xafiisyadii	oficinas	xafiisyadii
xafiisyo	oficinas	offices
xafladan	en esta ceremonia	ceremony were male
xag	ángulo	side
xaga	hacia	genetic testing
xagaa	verano	summer
xagaagii	en el verano	frederick
xagaas	ahí	xagaas
xagga	de	from
xaggaaga	para ti	you
xaggee	dónde	where
xaggeeda	a ella	it
xajarulaswadka	fuegos artificiales	xajaruswadka
xaji	mantenga	"hajji or haji ""name"""
xajin	apretón	keep
xajineyso	mantenga	xajineyso
xajka	para los peregrinos	the pilgrimage to mecca
xajkii	el peregrino	xajkii
xakiim	sabio	hakim
xakumi	decisión	xakumi
xal	solución	solution
xalaasha	legal	lawful and good
xalane	halala	xalane
xali	resolver	xali
xaliimo	suyo	halima
xalin	resolver	solve
xalliyaan	resuélvelo	solve
xamar	xamar	hamar
xamardaye	alfombras	xamardaye
xamare	paloma	xamare
xamarjajab	xperiencia	xamarjajab
xamarka	la goma	the tamarind
xamarweyne	en hamarweyne	xamarweyne
xamsa	picadillo	hamsah
xamuud	carga	xamuud
xamuulka	carga	the cargo
xan	chisme	gossip
xanaanada	jardín de infancia	care
xanaaneeyo	cuídalos	care for
xanaaqay	enojado	he was angry
xanafiga	gástrico	xanafiga
xanbaarsan	que lleva	carry
xanta	chisme	the gossip
xanuun	dolor	pain
xanuunsaday	sufrió	he was sick
xanuunsan	enfermo	sick
xaq	derecha	the right
xaqa	la verdad	the right
xaqiijinteeda	para confirmarlo	realization
xaqiiqa	hecho	fact-finding
xaqiiqada	hecho	facts
xaqiiqda	hecho	the reality
xaqiiqo	hecho	fact
xaradh	enviar	sculpture
xaradheere	botón de play	harardheere.
xaraf	letra	letter
xarafka	alfabeto	the letter
xarafkiisa	su carta	xarafkiisa
xarafle	letra	xarafle
xarafluhuna	las cartas	xarafluhuna
xarafyada	letras	set out in clauses (
xarakada	actividad	xarakada
xarakadu	ocupaciones	xarakadu
xaramkii	la pasión	xaramkii
xarardheere	cierre	harardheere
xarfaha	letras	the letters
xarfahan	estas cartas	which defined
xariiqay	dibujado	underlined that
xariir	seda	silk
xarrago	elegante	elegance
xarumaha	centros	centers
xarumo	instalaciones	centers
xarun	centrar	center
xarunta	el centro	the facility
xaruntii	el centro	headquarters
xaruunta	el centro	center
xasan	la idea	hassan
xasar	el país	xasar
xasilooni	estabilidad	stability
xasiloonida	estabilidad	stability
xassan	tranquilo	hassan
xasuuq	masacre	massacre
xasuuqa	genocidio	massacre
xasuuqan	esta masacre	this incident frightened
xasuuqay	masacre	he exterminated
xasuuqday	masacrado	killed
xasuus	memoria	recollect
xasuusan	recuerda	remember
xasuustaa	tu recuerdas	remember one
xasuustaan	recuerda	what mistakes were broadcasted
xasuustiisana	recuérdalo	xasuustiisana
xasuusto	recuerda	his vendetta
xataa	incluso	even
xawaadle	acelerador	hawadle
xawaaladaha	remesas	cleared
xawaannada	a velocidades	xawaannada
xawda	velocidad	the jugular vein
xayaawaanaadka	animales	xayaawaanaadka
xayawaan	animal	animal
xayawaanaadka	animales	xayawaanaadka
xayle	grasa	hayle
xds	xds	xds
xeeb	playa	coast
xeebaha	playas	coasts
xeebeed	costa	coastal plain
xeebta	la playa	the coast
xeel	tacto	strategy
xeeldheer	intacto	expert
xeeldheeri	táctica	expertise
xeelliga	en el contexto	xeelliga
xeer	una regla	law
xeeran	alrededor	surrounding
xeerar	reglas	rules
xeerarka	reglas	the laws
xeerarkeeda	sus reglas	xeerarkeeda
xeerka	la regla	the law
xeraale	camper	xeraale
xerada	acampar	camp
xero	acampar	camp
xh	xh	xh
xhks	xhks	somali socialist revolutionary party
xidh	apagar	tie
xidha	apagar	connect
xidhaayey	apagando	xidhaayey
xidhay	apagar	he closed
xidhiidh	contacto	relationship
xidhiidha	relacionado	relating to
xidhiidhka	comunicación	the relationship
xidhiidhkaasi	esa relacion	xidhiidhkaasi
xidhiidhno	contactos	xidhiidhno
xidhiidho	contactos	contact
xidhka	vestir	the accounts
xidhkii	el	xidhkii
xidhnaan	cállate	depend on
xidhnaantii	cállate	xidhnaantii
xidho	póntelo	put on clothes
xidid	raíz	root
xifdin	mantener	xifdin
xiga	siguiente	the next
xigaa	siguiente	next bus to ?
xigaan	el siguiente	at
xigay	siguiente	he was next
xigeen	vicio	deputy
xigeenka	vicio	the deputy
xigeenkii	teniente	persons including
xigmadda	sabiduría	wisdom
xigo	siguiente	obtain
xigta	siguiente	next
xigtaa	el siguiente	on
xigtay	siguiente	he got for himself
xigto	parientes	relative
xiiirto	afeitado	xiiirto
xiiray	afeitado	he cut off completely
xiiseyneysid	interesado	xiiseyneysid
xiiso	interesante	fascination
xijaaz	xijaaz	xijaaz
xijrootay	frunció el ceño	xijrootay
xikmad	sabiduría	wisdom
xil	responsabilidad	responsibility
xilagan	esta vez	xilagan
xilal	responsabilidades	modesties
xildhibaan	mp	xidhibaan
xilgii	el tiempo	xilgii
xili	período	recent
xiliga	la temporada	leaving
xiligaa	en ese tiempo	status was deteriorating after
xiligaas	en ese tiempo	in
xiligaasi	en ese tiempo	attacked
xiligaasoo	en ese tiempo	xiligaasoo
xiligan	en este momento	discuss
xiligii	a tiempo	xiigii
xiligiimuraadkii	en los tiempos	xiligiimuraadkii
xiliyada	las estaciones	in difficult times
xiliyadii	las estaciones	xiliyadii
xiliyo	veces	xiliyo
xilka	responsabilidad	responsibility
xilkaas	en esa posición	this office on
xilkeeda	en su posición	incapacity which makes it impossible for him
xilli	temporada	season
xilligaa	en ese tiempo	his colonies
xilligaas	en ese tiempo	at that time
xilligaasi	en ese tiempo	this period
xilligan	en este momento	at this time
xilligii	la temporada	the
xilliyo	estaciones	periodic
ximyar	niño	ximyar
xingalool	hormigueo	xingalool
xir	apagar	close
xiran	cerrado	closed
xiray	apagar	closed
xiraye	conector	xiraye
xirfad	habilidad	skill
xirfada	profesión	career
xiri	apagar	connect
xiriir	contacto	about calculations for those cases
xiriira	relacionado	related to
xiriiraan	comunicar	xiriiaan
xiriiri	contacto	contact
xiriiriyaha	el contacto	the operator
xiriirka	relaciones	the relationship
xiriirto	contacto	contact
xirnaa	cerrado	it was closed
xirneen	cállate	xirneen
xirnimo	cierre	xirnimo
xirsi	suyo	hersi
xirta	apagar	that connects
xirtaa	cállate	xirtaa
xirtaan	póntelo	so-called boundary
xisaab	matemáticas	account
xisaabaadka	cuentas	the accounting
xisaabin	calcular	rekon
xisaabta	matemáticas	the bill
xisaabtan	responsabilidad	calculate
xisbi	partido	party
xisbiga	la fiesta	party
xisbigii	la fiesta	party
xisbigiisa	su fiesta	his party
xisbiyada	fiestas	parties
xisbiyo	fiestas	votes
xishoon	vergüenza	ashamed
xitaa	incluso	even
xkhayre	jinete	an all-encompassing
xog	información	secret
xoghaya	secretario	the secretary
xoghayaha	secretario	the secretary
xogo	información	xogo
xoog	fuerza	power
xooga	atención	with harshness
xoogaa	algunos	some
xoogag	efectivo	forces
xoogan	fuerte	tough
xoogana	fuerte	xoogana
xoogaysteen	fuerte	. their weakness was turned
xoogga	fuerza	the power
xoojinta	consolidación	the strengthening
xoola	rebaños	cattle
xoolaha	ganado	livestock
xoolaheeda	sus animales	xoolaheeda
xoolaley	pastores	livestock keepers
xoolihii	los animales	livestock
xoolo	ganado	wealth
xooluhuna	el ganado	the animal
xoosh	picar	light-colored hair
xor	gratis	free
xorayday	atrapado	xorayday
xorayneed	para liberarla	xorayneed
xoraynta	liberación	the liberation
xoreeyay	liberado	xoreeyay
xoreynta	liberación	liberation
xoriyad	libertad	freedom
xoriyada	libertad	private enterprise
xornimada	independencia	independence
xornimadda	independencia	xornimadda
xornimadii	independencia	independence had benefited
xornimadiisa	independencia	through national
xornimadooda	su independencia	infighting as each
xornimadoodii	su independencia	xornimadoodii
xornimo	independencia	freedom
xoroobeen	liberar	xoroobeen
xoroowday	gratis	xoroowday
xorriyaadka	libertad	freedoms
xorta	gratis	the free
xubin	miembro	member
xubnaha	miembros	the members of the
xubnihii	miembros	the members
xudur	cable	hudur
xuduud	una frontera	border
xuduuda	la frontera	border
xuduudaha	fronteras	borders
xuduudka	la frontera	police
xuduudo	fronteras	xuduudo
xujeyda	mi argumento	pilgrims of last
xukumada	autoridades	regime
xukumay	juzgado	he condemned
xukumayay	juzgar	xukumayay
xukumayey	juzgar	xukumayey
xukumi	juez	judge
xukumina	no me juzgue	stop judging others, and
xukumo	juicios	judge
xukun	juicio	sentence
xukunka	juicio	the kingdom
xukunkii	juicio	rule
xukunto	juez	-ordered
xukuumad	gobierno	government
xukuumada	gobierno	government
xukuumadda	gobierno	the government
xukuumaddii	gobierno	ousting of
xukuumaddiisii	su gobierno	xukuumaddiisii
xukuumaddu	gobierno	the government
xukuumadihii	gobiernos	from
xukuumadii	gobierno	somalia: masleh mohamed said
xulafaddii	aliados	xulafaddi
xulafadiisii	sus aliados	xulafadiisii
xulka	el escuadrón	team
xulufo	aliados	allies
xumaa	malo	bad
xumaaday	lo siento	became worse
xumaan	mal	evil
xumaanta	mal	the evil
xumi	malo	bad
xumo	malo	bad
xumuy	malo	xumuy
xun	malo	bad
xuquuq	derechos	geeloxuquuq
xuquuqda	derechos	rights
xuquuqdii	derechos	rights
xuquuqdooda	sus derechos	their rights
xuquuqul	derechos	human rights
xurnima	libertad	xurnima
xuruufta	letras	the letters of the alphabet
xusan	mencionado	set out in
xusay	célebre	he mentioned
xusayna	menciona	xusayna
xusaysaa	conmemora	history would tell
xuseen	célebre	hussein
xuseenow	recuerdalo	xuseenow
xusen	mencionado	hussein
xusi	recuerda	remember
xusid	mencionar	its worth mentioning
xuska	remembranza	the remembrance
xuskooda	su memoria	xuskooda
xusnay	mencionado	these categories
xuso	mencionar	mention
xusseen	célebre	hussein
xusuus	memoria	memory
y	y	y
ya	eso	y
yaa	oms	who
yaab	sorpresa	wonder
yaabaa	tal vez	may be
yaabaha	maravillas	materials
yaabay	preguntado	he was surprised
yaabeen	asombrado	they were amazed
yaabo	probablemente	may be
yaaceen	apresuraron	tops
yaal	situado	it is there
