$	ps	dollarsign
volkslied	himno	anthem
volksmond	coloquialmente	popularly
volksrepubliek	república popular	peoples republic
volkstelling	censo	census
volksvertegenwoordiging	parlamento	representation
volle	completo	full
volledig	completamente	completely
volledige	completo	full
volleybal	vóleibol	volleybal
voltooid	terminado	finished
volume	volumen	volume
volwaardige	completamente desarrollado o establecido	full
volwassen	adulto	adult
volwassene	adulto	grown up
volwassenen	adultos	adults
von	von	von
vond	encontró	was
vonden	gustó	found
vondst	encontrar	find / discovery
vondsten	encuentra	findings
voor	en frente de	for
vooraanstaande	prominente	leading
vooraf	antes de	beforehand
voorafgaand	anterior	prior
voorafgaande	anterior	prior
vooral	principalmente	especially
vooralsnog	siendo por el momento	yet
voorbeeld	ejemplo	example
voorbeelden	ejemplos	examples
voorbehouden	reservado	reserved
voorbereid	preparado	prepared
voorbereiding	preparación	preparation
voorbereidingen	preparativos	preparations
voorbij	encima	beyond
voordat	antes de	before
voordeel	beneficio	advantage
voordelen	beneficios	advantages
voordien	antes de	before then
voordoen	ocurrir	occur
voorgaande	anterior	forgoing
voorganger	predecesor	predecessor
voorgangers	antecesores	clergymen
voorgeschiedenis	historia	previous history
voorgeschreven	prescrito	prescribed
voorgesteld	sugirió	introduced
voorgoed	siempre	forever
voorgrond	primer plano	front
voorhanden	disponible	available
voorheen	antes de	before
voorjaar	primavera	spring
voorkant	frente	front
voorkeur	preferencia	preference
voorkomen	apariencia	prevent
voorkomend	ocurriendo	common
voorkomende	común	common
voorkomt	evita	for cometh
voorkwam	ocurrió	prevented
voorkwamen	ocurrió	occured
voorlichting	información	enlightenment
voorloper	precursor	precursor
voorlopig	siendo por el momento	for now
voormalig	ex	former
voormalige	ex	former
voornaam	nombre de pila	first name
voornaamste	principal	main
voornamelijk	principalmente	mainly
voorouders	antepasados	ancestors
voorprogramma	acto de apoyo	support act
voorraad	valores	supply
voorronde	ronda preliminar	qualifying round
voorschriften	regulaciones	regulations
voorsprong	inicio	advance
voorstander	abogado	is in favour
voorstanders	defensores	proponents
voorste	frente	forward
voorsteden	afueras	suburbs
voorstel	propuesta	proposal
voorstellen	introducir	propose
voorstelling	actuación	interpretation
voorstellingen	actuaciones	performances
voort	en	on
voortaan	de ahora en adelante	from now on
voortbestaan	supervivencia	survival
voortdurend	constantemente	continuously
voortdurende	continuo	ongoing
voortgebracht	generado	produced
voortgekomen	ven adelante	originated
voortgezet	continuado	resumed
voortplanten	procrear	propagate
voortplanting	reproducción	procreate
voorts	además	furthermore
voortzetting	continuación	continuation
vooruit	adelante	forward
vooruitgang	progreso	progress
voorwaarde	requisito previo	condition
voorwaarden	condiciones	conditions
voorwerp	objeto	object
voorwerpen	objetos	objects
voorzag	previsto	forsaw
voorzichtig	cuidado	carefully
voorzien	para proveer	provide
voorzieningen	servicios	facilities
voorziet	proporciona	provides
voorzijde	frente	front side
voorzitter	presidente	president
voren	adelante	front
vorige	anterior	previous
vorm	formar	form
vormde	formado	formed
vormden	formado	formed
vormen	formar	to form
vormgeving	diseño	design
vorming	formación	formation
vormt	formas	forms
vorst	escarcha	monarch
vorsten	príncipes	monarchs
vorstendom	principado	principality
vorstendommen	principados	principalities
vos	zorro	vos
voyager	viajero	voyager
vraag	pedir	question
vraagstukken	cuestiones	problems
vraagt	pregunta	asks
vragen	pedir	ask
vrede	paz	peace
vreemd	extraño	strange
vreemde	desconocido	strange
vrees	miedo	fear
vreesde	temido	feared
vreugde	alegría	joy
vriend	amigo	friend
vrienden	amigos	friends
vriendin	novia	girlfriend
vriendschap	amistad	friendship
vries	congelar	vries
vrij	gratis	free
vrijdag	viernes	friday
vrije	gratis	free
vrijen	besándose	making love
vrijgelaten	publicado	released
vrijheden	libertades	liberties
vrijheid	libertad	freedom
vrijheidsbeeld	estatua de la libertad	statue of liberty
vrijmetselaar	masón	free mason
vrijmetselaars	masónico	freemasons
vrijmetselarij	masonería	freemasonry
vrijwel	casi	nearly
vrijwillig	voluntariamente	voluntarily
vrijwillige	voluntario	voluntary
vrijwilligers	voluntarios	volunteers
vroeg	preguntó	early
vroege	temprano	early
vroegen	preguntó	ask
vroeger	tiempo atrás	erstwhile
vroegere	más temprano	former
vroegste	más temprano	earliest
vrouw	mujer	woman
vrouwelijk	hembra	feminine
vrouwelijke	hembra	feminine
vrouwen	mujer	women
vrouwtje	hembra	female
vrouwtjes	hembras	females
vrucht	fruta	fruit
vruchtbaar	fértil	fertile
vruchtbaarheid	fertilidad	fertility
vruchtbare	fértil	fertile
vruchten	frutas	fruit
vs	vs	united states
vulkaan	volcán	volcano
vulkanen	volcanes	volcanoes
vulkanische	volcánico	vulcanic
vulkanisme	vulcanismo	volcanism
vullen	llenar	to fill
vuur	fuego	fire
vuurwerk	fuegos artificiales	fireworks
vvd	vvd	vvd
vóór	en frente de	before
w	w	w.
waal	waal	waal
waals	valón	walloon
waalse	valón	walloon
waar	cierto	where
waaraan	a la que	which
waarbij	en el cual	whereby
waard	valor	worth
waarde	valor	value
waarden	valores	values
waardering	apreciación	appreciation
waardevolle	valioso	valuable
waardoor	causando	whereby
waargenomen	percibido	observed
waarheid	verdad	truth
waarin	en el cual	which are
waarmee	por el cual	with which
waarna	después de lo cual	whereafter
waarneembaar	perceptible	visibly
waarnemen	percibir	to sense
waarnemer	observador	observer
waarneming	percepción	observation
waarnemingen	observaciones	observations
waarom	por qué	why
waaronder	dentro de los cuales	including
waarop	sobre el cual	on which
waarover	acerca de	about
waarschijnlijk	probablemente	probably
waarschijnlijkheid	probabilidad	likelihood
waarschuwen	advertir	warn
waarschuwing	advertencia	warning
waartoe	a qué	where to
waaruit	a partir del cual	from which
waarvan	de qué	where of
waarvoor	para qué	which
wacht	espere	wait
wachten	esperar	to wait
waffenss	waffen ss	waffenss
wagen	coche	dare / wagon
wageningen	wageningen	wageningen
wagner	wagner	wagner
wakker	despierto	awake
wal	apuntalar	wal
wales	gales	wales
walker	caminante	walker
wallace	wallace	wallace
wallonië	valonia	wallonia
walt	walt	walt
walter	walter	walter
walvissen	ballenas	whales
wand	pared	wall
wanna	quiero	wanna
wanneer	cuando	when
want	porque	want (wil)
wantrouwen	desconfianza	distrust
wapen	arma	symbol
wapens	armas	weapons
wapenspreuk	hechizo de arma	motto
wapenstilstand	tregua	ceasefire
war	confuso	confused
warcraft	warcraft	warcraft
ware	cierto	true
waren	bienes	were
warhol	warhol	warhol
warhols	warhols	warhols
warm	calentar	warm
warme	calentar	hot
warmer	más cálido	warmer
warmte	calor	warmth
warner	warner	warner
wars	guerras	wars
warschau	varsovia	warschau
was	solía ser	was
washington	washington	washington
wat	qué	what
water	agua	water
wateren	aguas	waters
watergentiaanfamilie	familia genciana de agua	family of fringed-water lilies
waterloo	waterloo	waterloo
waters	aguas	waters
waterstof	hidrógeno	hydrogen
watervallen	cascadas	waterfalls
watson	watson	watson
wave	ola	wave
way	camino	way
wayne	wayne	wayne
web	web	web
weblog	weblog	weblog
weblogs	weblogs	weblogs
website	sitio web	website
websites	sitios web	websites
wed	mie	bet
wedergeboorte	renacimiento	rebirth
wederom	de nuevo	again
wederopbouw	reconstrucción	reconstruction
wederzijdse	mutuo	mutual
wedstrijd	concurso	contest
wedstrijden	partidos	competitions
weduwe	viuda	widow
weefsel	tejido	tissue
weefsels	tejidos	tissues
week	semana	week
weekblad	semanal	weekly
weekend	fin de semana	weekend
weense	viena	viennese
weer	de nuevo	again
weergave	monitor	rendering
weergegeven	desplegado	display
weergeven	ver	again geren
weerstaan	resistir	resist
weerstand	resistencia	resistance
weerszijden	cualquier lado	both sides
wees	huérfano	"is from the word ""afwijzen"", to reject, can not divide the word in english"
weet	saber	know
weeën	contracciones	contractions
weg	lejos	away
wegdek	superficie de la carretera	pavement
wegen	pesar	roads
wegennet	red de carreteras	road network
wegens	debido a	due
weggelegd	poner a un lado	play
wegverkeer	tráfico en la carretera	roadtraffic
wehrmacht	wehrmacht	wehrmacht
weigerde	rechazado	refused
weigerden	rechazado	refuse
weigert	se niega	refuses
weinig	pequeño	few
weinige	pocos	few
weinigen	pocos	few
wekelijks	semanal	weekly
weken	semanas	weeks
wekken	despierta	to arouse
wel	bien	well
weliswaar	cierto es que	admittedly
welk	cual	which
welke	cual	which
welkom	bienvenidos	welcome
wellicht	quizás	perhaps
wells	pozos	wells
welsh	galés	<english word> welsh
welvaart	bienestar	prosperity
welvarende	próspero	prosperous
welzijn	bienestar	welfare
wemel	weasley	weasley
wenen	viena	vienna
wens	deseo	desire
wenselijk	deseable	desirable
wensen	desear	wish
wenst	deseos	grants
wenste	deseado	wished
werd	convirtió	was
werden	fueron	became & were
were	fueron	we are
wereld	mundo	world
wereldbeeld	cosmovisión	view of the world
wereldberoemd	mundialmente famoso	world-famous
wereldberoemde	mundialmente famoso	world famous
werelddeel	continente	continent
werelderfgoed	herencia mundial	world heritage
werelderfgoedlijst	lista del patrimonio mundial	world inheritance
wereldgezondheidsorganisatie	organización mundial de la salud	world health organization
wereldkampioen	campeón mundial	world champion
wereldkampioenschap	campeonato mundial	world championship
wereldlijke	secular	secular
wereldoorlog	guerra mundial	world war
werelds	mundano	world
wereldwijd	en todo el mundo	worldwide
wereldwijde	global	worldwide
werk	trabajo	work
werkelijk	de verdad	really
werkelijke	real	actual
werkelijkheid	realidad	reality
werken	trabajar	work
werkende	trabajando	functioning
werkgelegenheid	oportunidades de empleo	employment
werking	operación	process
werkloosheid	desempleo	unemployment
werknemers	empleados	employees
werkt	trabajos	works
werkte	trabajó	operated
werkten	trabajó	worked
werkwoord	verbo	verb
werkzaam	activo	employed
werkzaamheden	ocupaciones	activities
werkzame	activo	active
werner	werner	werner
werpen	lanzar	throw
wesley	wesley	wesley
wespen	avispas	wasps
west	oeste	west
westberlijn	berlín occidental	west berlin
westduitsland	alemania occidental	west germany
westelijke	occidental	western
westen	oeste	west
westerbork	westerbork	westerbork
western	occidental	western
westers	occidental	western
westerse	occidental	western
westeuropa	europa oriental	western europe
westeuropese	europeo occidental	west-european
westkust	costa oeste	west coast
westminster	westminster	westminster
westromeinse	romana occidental	western roman
westvlaanderen	flandes occidental	west-flanders
wet	ley	law
weten	saber	namely
wetenschap	ciencias	science
wetenschappelijk	científico	scientific
wetenschappelijke	científico	scientific
wetenschappen	ciencias	sciences
wetenschappers	científicos	scientists
wetgevende	legislativo	legislative
wetgeving	legislación	legislation
wethouder	concejal	alderman
wethouders	concejales	regents
wettelijk	legal	legal
wettelijke	legal	legal
wetten	leyes	laws
wezen	siendo	essentially
wezens	criaturas	creatures
when	cuando	when
whiskey	whisky	whiskey
whisky	whisky	whiskey
white	blanco	white
who	oms	who
wic	wic	wic
widthin	ancho	widthin
wie	oms	who
wiel	rueda	wheel
wielen	ruedas	wheels
wielrenner	ciclista	cyclist
wien	viena	whom
wiener	salchicha	wiener
wiens	cuyo	whose
wier	cuyo	whose
wiet	hierba	wiet
wifi	wifi	wifi
wii	wii	wii - proper noun - brand name
wijk	barrio	neigbourhood
wijken	ceder el paso	district
wijkt	da paso	differs
wijn	vino	wine
wijsheid	sabiduría	wisdom
wijst	puntos	points
wijten	debido	blame
wijze	conducta	way
wijzen	punto	to point
wijzigen	modificar	change
wijziging	cambio	conversion
wijzigingen	enmiendas	changes
wikipedia	wikipedia	wikipedia
wil	querer	will
wild	salvaje	savage
wilde	quería	wild
wilden	salvajes	wanted
wilders	constructores	wilders
wilhelm	wilhelm	wilhelm
wilhelmina	wilhelmina	wilhelmina
wilhelmus	wilhelmus	wilhelmus
will	será	will
willekeurig	aleatorio	arbitrarily
willekeurige	aleatorio	random
willem	willem	willem
willemalexander	willem alexander	willem-alexander
willemstad	willemstad	willemstad
willen	querer	want to
william	guillermo	william
williams	williams	williams
willie	willie	willie
willy	colita	willy
wilson	wilson	wilson
wilt	querer	want
wim	wim	wim
wimbledon	wimbledon	wilmbledon
wind	viento	wind
windows	ventanas	windows
winkel	tienda	shop
winkelcentra	centros comerciales	shoppingcentres
winkelcentrum	centro comercial	mall
winkelen	tienda	to shop
winkels	historias	shops
winkelstraten	calles comerciales	shopping streets
winnaar	ganador	winner
winnaars	ganadores	winners
winnen	para ganar	win
winning	extracción	extraction
winst	lucro	profit
winsten	ganancias	profits
winston	winston	winston
wint	gana	wins
winter	invierno	winter
winters	inviernos	winter
wiskunde	matemáticas	mathematics
wiskundige	matemático	mathematician
wisselen	cambiar	change
wisselend	variable	variable
wisselende	variar	changing
wist	sabia	did
wisten	sabia	did
wit	blanco	white
with	con	with
without	sin	without
witrusland	bielorrusia	white russia
witt	ropa blanca	witt
witte	blanco	white
wk	wk	wk
woede	enfado	anger
woensdag	miércoles	wednesday
woestijn	desierto	desert
woestijnen	desiertos	deserts
wol	lana	wool
wolf	lobo	wolf
wolfgang	wolfgang	wolfgang
wolken	nubes	clouds
wolkenkrabbers	rascacielos	skyscrapers
wolven	lobos	wolves
woman	mujer	woman
won	won	won
wonder	preguntarse	wonder
wonen	en vivo	live
woning	casa	home
woningen	casas	houses
wonnen	won	won
wood	madera	wood
woonachtig	residente	resident
woonde	vivió	lived
woonden	vivió	lived
woonplaats	residencia	place of residence
woont	vive	live
woord	palabra	word
woorden	palabras	words
word	volverse	become
worden	convertirse en	become
wordende	convirtiéndose	becomming
wordt	va a ser	is
work	trabajo	work
world	mundo	world
worlds	mundos	worlds
world||||||||||	mundo ||||||||||	world
wortels	raíces	roots
wouter	wouter	wouter
wraak	venganza	revenge
wright	wright	wright
wyatt	wyatt	wyatt
wél	bien	well
x	x	x
xbox	xbox	xbox
xi	xi	eleven
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	14th
xv	xv	15
xvi	xvi	xvi
xy	xy	xy
y	y	y
yasmine	yasmine	yasmine
years	años	jaren
yellow	amarillo	yellow
yoko	yoko	yoko
