$	dollar təşkil edib	dollars
نفسها	özü	itself
نفسي	özüm	emotional
نفسية	psixoloji	psychological
نفط	yağ	petrol
نفوذه	onun təsiri	his influence
نفوذها	təsiri	influence
نفوس	ruhlar	psyches
نفي	yıxıldı	denial
نقاط	sol	points
نقد	tənqid	critique
نقص	çatışmazlıq	critique
نقطة	nöqtə	point
نقل	daşın	transmitting
نقله	daşın	his moving
نقول	deyirik	we say
نماذج	modellər	examples
نمت	yetişdirilmişdir	grew
نمر	bir pələng	nemir
نمط	naxış	style
نمو	artım	development
نموذج	model	model
نهائي	final	final
نهائيات	final	final
نهاية	sonu	end
نهج	yanaşma	path
نهر	bir çay	river
نهضة	yenidən doğuş	renaissance
نهيان	nəhyan	nahyan
نواب	deputatlar	delegates
نواة	nüvə	kernel
نواس	sarkac	abu-nuwas
نوبل	soylu	nobel
نوح	nuh	noah
نور	qidalandırın	noor
نورة	noura	nora
نوستراداموس	nostradamus	nostradamus
نوع	xeyirli	kind
نوعا	bir növ	kind
نوعان	i̇ki növ	two types
نوعه	onun növü	its kind
نوعها	onun növü	its kind
نوعية	keyfiyyətlidir	the type of
نوعين	i̇ki növ	two kinds
نوفمبر	noyabr	november
نووي	nüvə	nuclear
نووية	nüvə	nuclear
نيتشه	nitsşe	nietzsche
نيجيريا	nigeriya	nigeria
نيوتن	nyuton	newton
نيوزيلندا	yeni zelandiya	new zealand
نيويورك	nyu-york	new york
هؤلاء	bunlar	them
هائل	möhtəşəmdir	great
هائلة	möhtəşəmdir	huge
هاتين	bu ikisi	these
هاجر	həcər	migrated
هاجروا	köçdülər	migrated
هاجم	hücum etdi	attacked
هاجمت	hücum etdi	attacked
هارفارد	harvard	harvard
هارون	harun	haroon
هاري	harri	harry
هاشم	haşim	hashem
هام	əhəmiyyətlidir	important
هاما	vacibdir	important
هاماً	əhəmiyyətlidir	important
هامة	əhəmiyyətlidir	important
هاواي	havay	hawaii
هايدا	haida	hida
هتلر	hitler	hitler
هجرة	drenaj edin	emigration
هجمات	hücumlar	attacks
هجوم	hücum	attack
هدف	məqsəd	aim
هدفه	məqsədidir	his goal
هدم	yıxıldı	demolition
هدنة	silah	cease-fire
هدى	xoda	houda
هذا	bu	this
هذان	bu ikisi	these
هذة	bu bir	this
هذه	bu	this
هذين	bu ikisi	these
هرب	qaçdı	escape
هرقل	herakllar	hercules
هرقليطس	heraklit	herletes
هرم	bir piramida	pyramid
هريرة	doğmaq	harira
هزم	məğlub oldu	defeat
هزيمة	məğlubiyyət	defeat
هشام	hişam	hisham
هضبة	yaylaq	hill
هطول	yağış	raining
هـ	e	hegire
هـم	hm	bc
هكتور	hektor	hekwer
هكذا	bu kimi	and like this
هل	edir	do
هلال	hilal	cresent
هم	bunlar	them
هما	bunlar	are
هنا	burada	here
هناك	orada	over there
هنالك	var	over there
هند	hindistan	hend
هندسة	mühəndislik	engineering
هنري	henri	henry
هو	o	him
هواء	hava	air
هوراس	horace	horass
هولاكو	hulagu	hulagu khan
هولندا	hollandiya	netherlands
هوية	şəxsiyyət	identity
هي	o	is
هيئة	bədən	organization
هيا	gəl	haya
هياكل	quruluşlar	frame
هيدروجين	hidrogen	hydrogen
هيفاء	hayfa	haifa
هيكل	quruluşu	structure
هيلين	helen	helene
هيم	hem	heme
هينايانا	hinayana	hinaiana
هُوَ	odur	it is
و	və	and
وآخر	və başqa	other
وآخرون	və başqaları	and others
وآسيا	asiya	and asia
وآله	ailəsi də	his family
وأبرز	ən çox vurğulanmışdır	and the most obvious
وأبرزها	ən diqqətəlayiqdir	and the most obvious
وأبو	əbu	and sphinx
وأبي	atam da	and abi
وأتباعه	və onun davamçıları	and his followers
وأثناء	və zamanı	during
وأجزاء	və hissələri	and parts
وأجهزة	və servo	and devices
وأحد	bir də	and a
وأحمد	əhməd də	and ahmed
وأحيانا	və bəzən	and sometimes
وأخذ	və götürdü	took
وأخذت	və götürdü	it begins to
وأخرى	və başqa	and others
وأخيرا	və nəhayət	and finally
وأخيراً	nəhayət	finally
وأخيرًا	və nəhayət	finally
وأدت	və rəhbərlik etdi	caused
وأدى	və rəhbərlik etdi	led to
وأذربيجان	və azərbaycan	and abidjan
وأربعين	və qırx	and forty
وأرسل	göndərdi	and he sent
وأساليب	və üsulları	and methods
وأسباب	və səbəbləri	causes
وأستراليا	və avstraliya	australia
وأسس	və təməllər	founded
وأشار	təyin etdi	and pointed
وأشهر	ən məşhur	and the more famous
وأصبح	və oldu	and becomes
وأصبحت	mən də oldum	and became
وأصحاب	və sahibləri	owners
وأصحابه	və yoldaşları	and his friends
وأضاف	əlavə etdi	and added
وأطلق	atıldı	given
وأعضاء	və üzvlər	and members
وأعلن	elan etdi	and declared
وأعلنت	bu elan edildi	announced
وأغلب	və çoxu	and most
وأفريقيا	və afrika	and africa
وأفغانستان	və əfqanıstan	afganistan
وأقاليم	və ərazilər	regions
وأقام	qaldı	established
وأقدم	və daha yaşlı	and oldest
وأقل	və daha az	and less
وأكبر	və daha böyük	greater
وأكثر	və daha çox	and more
وأكثرها	və əksəriyyəti	and the most of them
وأكد	təsdiqləndi	and confirmed
وألمانيا	və almaniya	germany
وأما	və kimi	and either
وأمر	sifariş verdi	and ordered
وأمريكا	və amerika	america
وأمه	anası da	and his mother
وأن	və bu	and to
وأنا	mən də	and i
وأنشأ	və quruldu	established
وأنه	və belədir	and that
وأنها	və o	and it is
وأنواع	və növləri	and types
وأهل	və insanlar	and the people
وأهم	və ən vacib	and most important
وأهمها	ən vacibdir	and most important
وأوائل	və erkən	early
وأوروبا	və avropa	europe
وأول	birincisi	and first
وأي	və hər hansı	and which
وأيضا	həm də	and also
وأيضاً	həm də	and also
وأيضًا	həm də	and also
وإدارة	və idarəetmə	management
وإذا	və əgər	and if
وإسبانيا	və i̇spaniya	and spain
وإسرائيل	və i̇srail	israel
وإعادة	və yenidən	rebuild
وإعلان	və bir elan	and declaring
وإقامة	və qurmaq	and establishing
وإلا	əks halda	unless
وإلى	və	to
وإن	hərçənd	and that
وإنتاج	və istehsal	and producing
وإنشاء	və yaradın	and writing
وإنما	ancaq əksinə	however
وإيران	və i̇ran	and iran
وإيطاليا	və i̇taliya	and italy
وائل	wael	wael
وابن	və oğul	and the son
وابنه	və oğlu	and hihttp://mturk.jhu.edu/static/images/ar/word/0003757970.pngs son
واجب	vəzifə	duty
واجه	qarşılaşdı	faced
واجهة	i̇nterfeys	interface
واجهت	qarşılaşdı	faced
واحد	biri	one
واحدا	biri	one
واحداً	biri	one
واحدة	biri	one of
واحدًا	biri	once
وادي	vadisi	and led
وارتفاع	və yüksək	increase
واستخدام	və istifadə edin	usage
واستخدم	və istifadə edin	utilized
واستطاعت	və bacardı	and was able
واستمر	və davam etdi	and continued
واستمرت	və davam etdi	and it continued
واسع	geniş	wide
واسعة	geniş	wide
واسم	və adı	and name
واسمه	və adı	and his name
واشنطن	vaşinqton	washington
واصل	davam edin	and continues
واضح	aydındır	clear
واضحة	aydındır	clear
واعتبر	nəzərdən keçirildi	considered
وافق	razılaşdı	agreed
وافقت	razılaşdım	agreed
واقع	reallıq	the fact
واقعة	bir fakt	placed
والآثار	və effektlər	and effects
والآخر	digəri isə	and the other
والآداب	və etiket	and arts
والآلات	və maşınlar	and the machines
والأحزاب	və partiyalar	and parties
والأخرى	digəri də	other
والأخلاق	və əxlaq	and morals
والأدب	və ədəbiyyat	literatures
والأراضي	və torpaqlar	lands
والأردن	və i̇ordaniya	and jordan
والأرض	və yer	and land
والأطفال	və uşaqlar	and the children
والأعمال	və iş	works
والأفكار	və fikirlər	and the ideas
والأكثر	və daha çox	the most
والأمراء	şahzadələr	and the princes
والأمن	və təhlükəsizlik	the security
والأمير	və şahzadə	and the prince
والأميرة	və şahzadə	and the princess
والأنصار	və tərəfdarları	ansar
والأنهار	və çaylar	and rivers
والإدارة	və idarəetmə	and administration
والإسلام	və i̇slam	and islam
والإسلامية	və i̇slam	islamic
والإعلام	və media	and the media
والإمارات	və əmirliklər	united arab emirates
والإمام	və i̇mam	and el-imam
والإمبراطورية	və imperiya	and the empire
والإنسان	və insan	and man
والإيمان	və iman	and believing
والاتحاد	həm də birlik	and the union
والاتصالات	və rabitə	and communications
والاجتماعي	və sosial	and the social
والاجتماعية	və sosial	and the social
والاقتصاد	və iqtisadiyyat	and economy
والاقتصادي	həm də iqtisadi	economic
والاقتصادية	və iqtisadi	economic
والباحثين	və tədqiqatçılar	and researchers
والبحر	dəniz də	sea
والبحرية	dəniz	and marine
والبحرين	bəhreyn	bahrain
والبعض	bəziləri də	some
والبنية	və quruluş	course
والبيئة	və mühit	environment
والتاريخ	və tarix	history
والتجارة	və ticarət	and commerce
والتحليل	və təhlil	and the analysis
والتخلص	və qurtarın	and get rid of
والتدريب	və təlim	and training
والتطور	və təkamül	development
والتطوير	və inkişaf	development
والتعاون	və əməkdaşlıq	and cooperation
والتعليم	və təhsil	education
والتقاليد	və adət-ənənələr	traditions
والتكنولوجيا	və texnologiya	technology
والتلفزيون	və tv	and television
والتنمية	və inkişaf	and developing
والتوزيع	və paylama	and the distribution
والتي	və bu	and that is
والثالث	üçüncüsü	and third
والثاني	və ikinci	and the second
والثانية	və ikinci	and the second
والثقافة	və mədəniyyət	culture
والجامعات	və universitetlər	and universities
والجدير	və dəyər	and worth
والجزء	və hissə	and the part
والجزائر	əlcəzair	and algeria
والجزر	və adalar	island
والجماعة	və qrup	and the group
والجمال	həm də gözəllik	and camels
والجنوب	və cənub	and the south
والجنوبية	və cənub	and southern
والجيش	və ordu	and the army
والحجاز	və hicaz	and hegaz
والحديث	və danışın	modern
والحديد	və dəmir	specifically
والحرب	və müharibə	war
والحركة	və hərəkət	and the movement
والحروب	və müharibələr	and the wars
والحرية	və azadlıq	freedom
والحزب	və tərəf	and the party
والحسن	həm də yaxşıdır	and el hassan
والحسين	və hüseyn	and el hussein
والحضارة	və sivilizasiya	and civilization
والحفاظ	və saxlamaq	and maintaining
والحكم	və hökm	rule
والحكومات	və hökumətlər	and the governments
والحكومة	və hökumət	and government
والحياة	və həyat	life
والحيوانات	və heyvanlar	animals
والخارجية	və xarici	and external
والخاصة	və xüsusi	and the private
والخدمات	və xidmətlər	and the services
والد	ata	father
والدة	ana	mother
والدته	anası	his mother
والدراسات	və tədqiqatlar	and studies
والدفاع	həm də müdafiə	defence
والدليل	sübut	and the proof
والده	atası	his father
والدها	atası	her father
والدول	və dövlətlər	and countries
والدولة	və dövlət	country
والدين	valideynlər	and religion
والدينية	dini	and religious
والذي	və kim	and which
والذين	və kim	and those who
والرئيس	və prezident	and the president
والرابع	dördüncüsü	and quarter
والرومان	romalılar	and the romans
والرومانية	rumıniyalı	and the roman
والرياح	və külək	wind
والرياضيات	riyaziyyat	and mathematics
والزبير	və zubair	zubeir
والزراعة	və kənd təsərrüfatı	and the agriculture
والزهرة	və çiçək	venus
والسادس	altıncısı da	sixth
والسبب	və səbəbi	reason
والسعودية	və səudiyyə ərəbistanı	and saudi
والسلام	həm də barışıq	and peace
والسنة	və il	and suna
والسودان	və sudan	sudan
والسويد	i̇sveç	and swedish
والسياسة	və siyasət	and politics
والسياسي	və siyasətçi	and the political
والسياسية	və siyasi	political
والسيطرة	və nəzarət	control
والشام	və levant	and levant
والشرق	şərq də	and the east
والشركات	və şirkətlər	and corporates
والشعر	və saç	and poetry
والشمال	şimal da	and the north
والشيخ	və şeyx	and the sheikh
والشيعة	şiələr	shia
والصفات	və atributları	and attributes
والصلاة	və dua	and prayers
والصناعات	və sənaye	and the industries
والصناعة	və sənaye	industry
والصين	və çin	china
والطاقة	və enerji	and energy
والطب	və dərman	and medicine
والطيور	və quşlar	and birds
والعالم	və dünya	world
والعديد	və daha çox	and many
والعراق	və i̇raq	iraq
والعرب	ərəblər də	and arab
والعربية	və ərəb	arabic
والعسكرية	və hərbi	and military
والعشرون	i̇yirmi	and twenty
والعشرين	i̇yirmi	and the twentith
والعطلات	və tətillər	vacancies
والعلاج	və müalicə	therapy
والعلاقات	və münasibətlər	and the relations
والعلم	elm də	flag
والعلماء	və alimlər	and scientists
والعلمية	və elmi	and scientific
والعلوم	elm də	and sciences
والعمارة	və memarlıq	and architecture
والعمل	və işləyin	and work
والعمليات	və əməliyyatlar	operations
والعناية	və qayğı	and the care
والغابات	və meşələr	forests
والغاز	və qaz	and the gas
والغرب	və qərb	and the west
والغربية	qərb	and the western
والغناء	və mahnı oxuyun	and singing
والفارسية	və fars	and the pertian
والفرات	fərat	and furat
والفرنسية	və fransız	and the french
والفضة	və gümüş	and silver
والفقه	hüquqşünaslıq	and the jurisprudence
والفلسفة	və fəlsəfə	and philosophy
والفلك	və astronomiya	astronomy
والفن	və sənət	and arts
والفنون	və sənət	arts
والفيزياء	həm də fizika	and physics
والقانون	və qanun	and the law
والقدرة	və bacarığı	and the ability
والقرآن	qur’an	and qur'an
والقضاء	və aradan qaldırılması	elimination
والقمر	və ay	and the moon
والقوات	və qüvvələr	and the forces
والقوانين	və qanunlar	and laws
والقوة	və güc	and power
والكتاب	və kitab	and the book
والكتابة	və yaz	writing
والكثير	və daha çox	and many
والكنيسة	və kilsə	and the church
والكواكب	və planetlər	and the planets
والكيمياء	və kimya	and chemistry
واللغات	və dillər	languages
واللغة	və dil	and the language
والله	allah	and god
والمؤسسات	və qurumlar	institutions
والماء	və su	water
والمحيط	və okean	and the pacific
والمدارس	və məktəblər	schools
والمدن	və şəhərlər	cities
والمدينة	və şəhər	city
والمرأة	və qadın	the woman
والمسجد	və məscid	and the mosque
والمسيحية	xristianlıq	the christian
والمسيحيين	və xristianlar	the christians
والمعادن	və minerallar	the metals
