$ tỉ	мільярд доларів	$ billion
youtube	youtube	youtube
ypres	іпрес	ypres
ytv	ytv	ytv
yu	ю	yu
yuan	юань	(proper noun) yuan, as in yuan mu
yucatán	юкатан	yucatan, as in the yucatan peninsula
yudhoyono	юдхойоно	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	югі	yugi
yukito	юкіто	yukito
yume	юме	(proper noun) yume
yunho	юньхо	yunho
yuri	юрій	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	юрта	yurt
yên	ієна	peace or stillness (n.)
yêu	кохати	love
yếm	комбінезони	tender
yến	пташине гніздо	a type of swallow (n.)
yết	лістинг	yet
yếu	слабкий	mainly
yểm	обкладинка	support
yển	єна	"is a name meaning, ""bird"""
yểu	чудовий	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	зак	zac
zambia	замбія	(proper noun) zambia, as in the nation
zealand	зеландія	(proper noun) zealand, as in new zealand
zedong	цзедун	mao zedong
zero	нуль	zero
zeus	зевс	zeus
zheng	чжен	zheng
zhukmse	жукмсе	zhuk-mse
zimbabwe	зимбабве	zimbabwe
zinedine	зинедин	(proper noun) zinedine
zing	зінг	zing, as in the website
zoe	зої	zoe
zurich	цюріх	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| плаває	"(term should be ""nổi"") to float (v.)"
|petya	| петя	(proper noun) petya
|tên	| найменування	"(should be ""tên"") name (n.)"
|việt	| в&#39;єтнамські	vietnam
 kg	кг	kg
 triệu	мільйон	million
 °c	° c	degrees celsius
°đến	° до	up to
°độ	° градусів	degree
×	×	x
ào	ого	rush
á	азіатські	asia
ác	зло	evil
ách	ярмо	yoke (n.)
ái	тяга	ai
ám	рендери	(with the word chi) to hint at
ánh	блиску	light
áo	сорочка	clothe
áohung	аохунг	"(term should be ""Áo-hung"") austria-hungary"
áp	тиск	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	аоі	eurasian
â	â	a vietnamese vowel sound
âm	мінус	vagina
ân	прихильність	deed
én	ластівки	swallow
ép	стиснути	press
êgê	его	aegean
êm	гладкий	smooth
ích	корисний	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	мало	less
île	île	Île, as in Île de la cité, france
îledefrance	ледефранція	ile-de-france
ðiều	стаття	article
ðài	ðài	taiwan
ðường	цукор	a road
ðảng	партія	party
ðức	німеччина	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	мозок	brain
óng	райдужні	"(term should be ""óng ả"") flexible"
ôi	ой	"vietnamese version of the exclamation ""oh"""
ôm	обійняти	hug
ôn	помірність	peaceful (on hoa)
ông	він	a man (n.)
ôtô	автомобіль	car
ôxi	кисень	oxygen
ôxy	кисень	the element oxygen (n.)
ôxít	оксид	oxide
ôzôn	озон	ozone
ùn	джеми	congest
úng	заболочений	flood
úp	обличчям вниз	upside
úy	лейтенант	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	італія	italian
ăn	їсти	eat
ăng	мураха	antenna
ăngten	антена	antenna
đa	мульти	majority
đai	гурт	"(term should be ""Đai khố"") name of a village"
đak	дак	(proper noun) Đak
đan	в&#39;язати	scandal
đau	біль	painful
đay	джут	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	дб	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	наковальня	threaten
đem	принести	to bring (v.)
đen	чорний	black
đentrắng	чорний і білий	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	знос	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	схід	dhong
đi	йти	go
điên	божевільний	crazy
điêu	річ	sculpture
điôxít	діоксид	dioxide
điạ	dạ	dia
điếc	глухий	heron
điếu	сигарета	funeral oration
điềm	знак	omen
điền	заливка	estate
điều	річ	control
điểm	бал	bearing point
điển	словник	"(term should be ""từ điển"") a dictionary"
điểu	ебать	thing
điệp	повідомлення	spy
điệu	тон	memorial
đo	міра	measure
đoa	доа	doa
đoan	групи	extreme
đom	світлячки	firefly
đoài	манго	the west
đoàn	групи	an organization or group (n.)
đoái	обмін	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	абзац	a stage or phase (n.)
đt	тел	training
đtđ	мобільний телефон	diabetes
đua	гонка	emulate
đui	сліпий	blind
đun	тепло	cook
đuôi	хвіст	tail
đuốc	факел	a torch
đuối	утоплення	drowning
đuống	стебло	(proper noun) Đuống, the name of a river
đuổi	погони	pursue
đài	радіо	statue
đàm	переговори	negotiation
đàn	стадо	musical instrument
đàng	так	side
đào	копати	train
đày	заслання	exile
đá	рок	to kick
đái	пі	pee
đám	групи	dam
đán	ден	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	варто	deserve
đáo	унікальний	unique
đáp	відповідь	response
đát	земля	"(term should be ""bi đát"") lamentable (adj.)"
đâm	колоти	pierce
đâu	де	anywhere
đây	тут	below
đã	вже	already
đãi	пригощати	"(should be ""bạc đãi"") to ill-treat"
đãng	розпусний	dissolute
đè	перекрити	to press on
đèn	лампа	light
đèo	пропуск	a mountain pass (n.)
đê	дамба	a dike (n.)
đêm	ніч	night
đênh	долар	lênh đênh= float to unknown
đích	пункт призначення	goal
đính	додається	attached (adj.)
đò	пором	a ferry (n.)
đòi	претензія	require
đòn	удар	welcome
đó	там	that or there (adv.)
đóa	ні	"(term should be ""đoá hoa"") a flower bloom"
đói	голодний	hungry
đón	забрати	welcome
đôi	подвійний	sometimes
đôla	доларів	dollar
đôn	постамент	london
đông	бронза	eastern
đôngbắc	північний схід	north-east
đôngnam	південний схід	south-east
đôngtây	схід захід	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	дораемон	(proper noun) Đôrêmi
đôrêmon	дораемон	doreamon
đùa	жарт	joke
đùi	стегновий	thigh
đúc	кастинг	"(term should be ""đúc kết"") to sum up (v.)"
đúng	це правильно	right
đúp	подвійний	double
đút	поставити	"(term should be ""đút lót"") to bribe"
đăk	дак	dak
đĩ	повія	whore/bitch
đĩa	тарілка	disk
đơ	пауза	stiff or rigid (adj.)
đưa	пропуск	girl
đường	вулиця	pathway
được	гаразд	is not
đạ	так	da
đại	чудово	eagle
đạm	білка	plain
đạn	куля	bullet
đạo	релігія	vagina
đạp	велосипед	to step on
đạt	охопити	reach
đả	бої	to hit
đảm	гарантовано	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	день народження	a group or flock (n.)
đảng	партія	party
đảo	острів	an island (n.)
đấm	вдарити	punch
đấng	боже	the
đất	земля	country
đấtmặt	земля	datmat
đấy	там	ignore
đầm	сукня	swamp
đần	німий	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	голова	start
đầy	повний	"(term should be ""đầy đủ"") adequate or enough"
đẩu	голова	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	натиснути	to push
đẫm	мокнув	wet
đậm	темний	dense
đậu	квасоля	to park (v.)
đậy	обкладинка	cover
đắc	виграш	effectively
đắm	розбито	sink
đắn	власність	proper (dung dan)
đắng	гіркий	bitter
đắp	вгору	"(term should be ""bù đắp"") to compensate (v.)"
đắt	дорого	expensive
đằng	над	back
đẳng	клас	equality
đặc	спеціальні	"(term should be ""đặc biệt"") special (adj.)"
đặn	регулярні	regularly
đẹp	досить	beautiful
đẽ	штрафу	beauty
đế	підошви	empire
đếm	рахувати	to count (v.)
đến	прийти	come
đề	нитки	promote
đền	храм	"(term should be ""đền thờ"") a religious shrine"
đều	є	all
để	до	for
đệm	подушка	middle name
đỉnh	верх	the summit or peak
địch	ворог	enemy
định	вказано	appointed
đọ	без косточок	compete
đọan	абзац	period
đọc	читати	read
đọng	застійний	deposit
đỏ	червоний	red (adj.)
đốc	губернатор	admiral
đối	для	face
đốm	пляма	spot
đốn	зрубати	"(term should be ""suy đốn:) to be worse off"
đống	ворс	line
đốt	горіння	burn
đồ	річ	thing
đồi	пагорб	hill
đồn	чутка	rumour
đồng	мідь	agreeable
đổ	налити	dump
đổi	змінити	to change (v.)
đổng	донг	"(term should be ""đồng bằng"") a delta"
đỗ	припаркований	pass
độ	ступінь	"term should actually be ""độ cao""; means ""height"""
độc	отрута	alone
độn	підкладка	chaos
động	динамічний	action
đột	раптом	"(term should be ""xung đột"") conflict (n.)"
đới	дзен	tropical
đời	час життя	generation
đỡ	підтримка	help
đợi	чекати	thigh
đợt	партія	fit
đục	непрозорий	turbid
đụn	дюни	dune
đụng	дотик	encounter
đủ	достатньо	enough
đứa	діти	child
đức	чеснота	virtue (n.)
đứng	стояти	to stand (v.)
đứt	зламаний	cut off
đừng	ні	not
đực	самець	male
đựng	містити	suffer
đựoc	добре	be
ĩ	ой	"(term should be ""ầm ĩ"") noisy"
ơ	ой	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	гей	"vietnamese equivalent of english ""oh"""
ơn	дякую	thank
ư	у	vowel sound found in the vietnamese alphabet (n.)
ưa	кращий	to like (v.)
ưng	о, так	to accept (v.)
ưu	плюси	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	апельсин	orangutan
ươm	розплідник	nursery
ương	центральний	central
ướp	мариновані	mummy
ướt	мокрий	wet
ạ	сер	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	поспішати	(with word o) to crowd
ải	ải	pass
ảnh	зображення	picture
ấm	теплий	warm
ấn	натиснути	press
ấnâu	друк	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	хутір	district
ấu	молодий	childhood
ấy	що	that
ẩm	теплий	humidity
ẩn	ховатися	hidden
ập	чуб	rush
ắt	звичайно	sure
ếch	жаба	frog
