$	usd	a sign of doller
સૌરાષ્ટ્રની	no saurashtra	saurashtra's
સૌરાષ્ટ્રનું	no saurashtra	saurashtra's
સૌરાષ્ટ્રમાં	saurashtra	in saurashtra
સ્કંધમાં	plecā	in the chapters
સ્કાઈ	debesis	sky
સ્કાય	debesis	sky
સ્કુલ	skola	school
સ્કૂલ	skola	school
સ્કૂલમાં	skolā	in school
સ્કેટર્ડ	izkaisīti	scattered
સ્કેનર	skeneris	scanner
સ્કેલ	mērogs	scale
સ્કોટલેન્ડ	skotija	skotland
સ્કોટલેન્ડની	no skotijas	scotland's
સ્કોટલેન્ડમાં	skotijā	in scotland
સ્કોટિશ	skotu	scottish
સ્કોટ્ટીશ	skotu	scottish
સ્કોટ્સ	skoti	scots
સ્કોર	rezultāts	score
સ્ક્રબર	skrubis	scrubber
સ્ક્રિન	ekrāns	screen
સ્ક્રીન	ekrāns	screen
સ્ટડીઝ	pētījumi	અભ્યાસક્રમ
સ્ટબ	stubs	stub
સ્ટાન્ડર્ડ	standarta	standard / unique
સ્ટાફ	personāls	staff
સ્ટાર	zvaigzne	star
સ્ટારડસ્ટ	stardust	stardust
સ્ટીફન	stefans	stephen
સ્ટીલ	tērauds	steel
સ્ટેટ	valsts	state
સ્ટેટના	no valsts	state's
સ્ટેટસ	statuss	states
સ્ટેટ્સ	štatos	status
સ્ટેટ્સના	štatos	states
સ્ટેટ્સની	štatos	of status
સ્ટેટ્સનું	štatos	[united] state's
સ્ટેટ્સનો	štatos	of the states
સ્ટેટ્સમાં	valstīs	in states
સ્ટેટ્સે	štatos	states
સ્ટેડિયમ	stadions	statdium
સ્ટેડીયમ	stadions	stadium
સ્ટેશન	stacija	station
સ્ટેશને	uz staciju	at station
સ્ટેશનો	stacijas	stations
સ્ટેશન્સ	stacijas	stations
સ્ટોક	krājums	stock,
સ્ટોન	akmens	stone
સ્ટોર	veikals	store
સ્ટોરી	stāsts	story
સ્ટોલન	nozagts	stolen
સ્ટ્રાઈકર	streikotājs	striker
સ્ટ્રીટ	iela	street
સ્તંભ	kolonna	column
સ્તર	līmenis	layer
સ્તરના	līmenis	of level
સ્તરની	līmenis	of level
સ્તરને	līmenis	of the layer, layer's
સ્તરમાં	līmenī	in layer
સ્તરે	līmenis	at the level of
સ્તરો	līmeņi	levels / stages
સ્તુતિ	slavē	remembrance
સ્ત્રી	sievietes	layer
સ્ત્રીઓ	sievietes	ladies
સ્ત્રીઓને	sievietēm	for ladies
સ્ત્રોત	avots	independent
સ્ત્રોતો	avoti	source
સ્થગિત	atlikts	postponed
સ્થપાયેલ	izveidota	established
સ્થપાયેલી	izveidota	established
સ્થલ	vieta	place
સ્થળ	vieta	place
સ્થળની	no vietas	place
સ્થળનું	no vietas	from a place, belonging to a place
સ્થળને	uz vietu	to thr place
સ્થળાંતર	migrācija	migration
સ્થળે	vietā	at he place, at the site
સ્થળો	vietas	spot / places / location / site
સ્થળોએ	vietās	places,
સ્થળોની	vietās	of places
સ્થળોમાં	vietās	at place
સ્થાન	atrašanās vieta	place
સ્થાનક	vietējie	center / station
સ્થાનકો	stacijas	religious spots
સ્થાનને	atrašanās vieta	place
સ્થાનિક	vietējie	local
સ્થાનીક	vietējie	topical
સ્થાનીય	vietējie	local
સ્થાને	vietā	position
સ્થાનો	vietas	places
સ્થાનોં	vietas	places [hindi word]
સ્થાપક	dibinātājs	founder
સ્થાપત્ય	arhitektūra	antique
સ્થાપત્યો	arhitektūra	established
સ્થાપન	uzstādīšana	establishment
સ્થાપના	izveidota	found
સ્થાપવા	lai nodibinātu	established
સ્થાપવામાં	izveidota	established
સ્થાપિત	instalēts	established
સ્થાપી	dibinātājs	established
સ્થાપ્યા	dibināta	established
સ્થાયી	stāv	permanent
સ્થિત	atrodas	located
સ્થિતિ	statuss	situation
સ્થિતિને	pozīcija	to the state
સ્થિતિમાં	stāvoklī	in state of
સ્થિતી	statuss	position
સ્થિર	fiksēts	static
સ્થિરતા	stabilitāte	static
સ્થીત	atrodas	located
સ્થૂળ	aptaukojusies	static
સ્નાતક	absolvents	graduate
સ્નાન	pirts	bathe
સ્પર્ધા	konkurence	compitition
સ્પર્ધાત્મક	konkurences	competitive
સ્પર્ધામાં	sacensībās	in the competition
સ્પર્શ	pieskarieties	touch
સ્પષ્ટ	skaidrs	clear
સ્પષ્ટતા	skaidrība	clear
સ્પષ્ટપણે	skaidrs	clearly
સ્પામ	spams	spam
સ્પિન	spin	spin
સ્પીડ	ātrums	speed
સ્પેન	spānija	spain
સ્પેનિશ	spāņu valoda	spanish
સ્પેલિંગ	pareizrakstība	spelling
સ્પેશિયલ	īpašais	special
સ્પેસ	kosmoss	space
સ્પૈન્ડ્રલ	spindrāls	spandrel
સ્પોર્ટ્સ	sports	sports
સ્પ્રે	izsmidzināt	spray
સ્ફોટક	sprādzienbīstams	explosion
સ્મારક	piemineklis	stone
સ્મારકો	pieminekļi	monument
સ્મિથ	smits	smith
સ્મૃતિ	atmiņas	memory
સ્રોત	avots	hymn
સ્રોતઃ	avots:	source
સ્રોતો	resursi	sources
સ્લોવાકિયા	slovākija	slovakia
સ્વ	vēlu	self
સ્વતંત્ર	neatkarīgs	independent
સ્વતંત્રતા	brīvība	independency
સ્વદેશી	pamatiedzīvotāji	something of one's own country
સ્વપ્ન	sapnis	dream
સ્વભાવ	temperaments	nature
સ્વયં	es pats	self
સ્વયંવરમાં	swayamvarā	svyanvar
સ્વયંસેવક	brīvprātīgais	self servant
સ્વયંસેવકો	brīvprātīgie	volunteers
સ્વર	tonis	voice
સ્વરાજ	swaraj	self government
સ્વરુપ	forma	form of
સ્વરુપમાં	formā	character / nature / complexion
સ્વરૂપ	forma	concept
સ્વરૂપની	no formas	type
સ્વરૂપને	veidot	character/nature/structure/complexion
સ્વરૂપમાં	formā	in form of
સ્વરૂપે	formā	in form of
સ્વરૂપો	veidlapas	forms
સ્વરો	patskaņi	pronunciations
સ્વર્ગ	debesis	heaven
સ્વર્ગની	no debesīm	of heaven
સ્વર્ગારોહણ	debesbraukšana	ride to heaven, forwarding to heaven
સ્વસ્થ	veselīgi	healthy
સ્વાગત	laipni lūdzam	welcome
સ્વાતંત્ર્ય	brīvība	freedom
સ્વાતંત્ર્યના	par brīvību	(of) freedom
સ્વાતંત્ર્યની	par brīvību	of independence
સ્વાધ્યાય	vingrinājums	exercise
સ્વામિ	svami	swami
સ્વામિનારાયણ	swaminarayan	swaminarayana
સ્વામિનારાયણે	swaminarayan	by swaminarayan
સ્વામી	svami	swami
સ્વામીએ	svami	swami
સ્વામીના	no kunga	of the swami, swami's
સ્વામીનારાયણ	swaminarayan	swaminarayan
સ્વામીની	svami	of master
સ્વામીને	kungam	to swami
સ્વાયત્ત	autonoma	independent
સ્વાસ્થ્ય	veselība	health
સ્વિકાર	piekrītu	acceptance
સ્વિચિંગ	pārslēgšanās	switching
સ્વિત્ઝરલેંડ	šveice	switzerland
સ્વિસ	šveices	swiss
સ્વીકાર	pieņemšana	acceptance
સ્વીકારવા	akceptēt	to accept
સ્વીકારવામાં	pieņemts	in accepting
સ્વીકારી	piekrītu	accepting
સ્વીકારે	pieņem	accepts
સ્વીકાર્યું	atzīts	acceptable
સ્વીકાર્યો	pieņemts	accepted
સ્વીકૃત	pieņemts	accepted
સ્વીકૃતિ	pieņemšana	acceptance
સ્વીચ	slēdzis	switch
સ્વીડન	zviedrija	sweden
સ્‍થાન	atrašanās vieta	place
હંગેરી	ungārija	hungary
હંમેશા	vienmēr	always
હંમેશાં	vienmēr	always
હંસ	hanss	swan
હક	taisnība	right
હકારાત્મક	pozitīvs	positive
હકાલપટ્ટી	izsūtīšana	removed
હકીકત	fakts	truth
હકીકતમાં	patiesībā	in fact
હક્કો	tiesības	rights
હજાર	tūkstoš	thousand
હજારો	tūkstošiem	thousands
હજી	tomēr	still
હજુ	joprojām	till
હજૂ	joprojām	till
હજ્જારો	tūkstošiem	thousands
હટાવી	dzēsts	take place
હતા	bija	were there
હતાં	bija	were
હતાઆ	tika nogalināti	was
હતી	bija	was there
હતુ	bija	was there
હતું	bija	was
હતુંઆ	bija	was this
હતો	bija	was
હતોમાં	bija iekšā	was in
હત્યા	slepkavība	assassination
હત્યાનો	par slepkavību	of murder
હથિયાર	ierocis	weapon
હથિયારો	ieroči	weapons
હદ	ierobežot	limit
હદમાં	tādā mērā	in border
હદે	tādā mērā	limit
હનુમાન	hanuman	hanuman
હનુમાનજી	hanumanji	hanumanji
હપતે	pa daļām	installments
હમ	hum	we
હમણાં	tieši tagad	now
હમીરજી	hamirji	hamiraji
હમીરજીએ	hamirji	hamir
હમીરજીને	hamirji	hamiraji
હમેંશા	vienmēr	always
હમેશા	vienmēr	always
હયાત	pārdzīvojušais	live/in real
હર	viņai	her [english word]
હરણ	briedis	deer
હરણનું	briežu	deer's
હરદ્વાર	hardwar	hardwar
હરાવી	beat	by defeating
હરાવીને	sišana	by defeating
હરાવ્યા	sakāva	beated
હરાવ્યો	beat	defeated
હરિ	hari	hari
હરિએ	hari	lord
હરિજન	harijana	harijana
હરિયાણા	harjāna	hariyana
હરીપુરા	haripura	haripura village name
હરીફ	sāncensis	compititors
હરે	zaķis	hare
હરોળ	rinda	row
હલ	korpuss	solce
હલકી	viegls	light
હલચલ	kustība	movement
હળવા	vieglāks	light weight
હવા	gaiss	air
હવાઇ	havaju salas	aeronautical
હવાઈ	havaju salas	hawaii
હવાઈના	havaju salas	hawaii's
હવાના	havana	of air
હવાની	no gaisa	air
હવાનું	no gaisa	of air
હવામાં	gaisā	in the air
હવામાન	laikapstākļi	atmosphere
હવે	tagad	now, now onwards
હશે	būs	may be
હસ્તક	aizņemts	under control
હસ્તકના	piemīt	in hands of
હસ્તક્ષેપ	iejaukšanās	interruption
હસ્તગત	iegūts	register
હસ્તાક્ષર	paraksts	handwriting
હસ્તિનાપુર	hastinapur	hastinapur name of the city, name of the state in mahabharta
હસ્તિનાપુરના	no hastinapur	hastinapur
હસ્તે	ar rokām	by hands of
હા	jā	yes
