$	dollarni tashkil etadi	dollars
хетфийлд	xetfield	hetfield
хефест	xefest	hephaestus
хив	xiv	aids
хижа	kulba	hut
хил	ming	thousands
хилари	hilary	hillary
хилас	hilas	hilas
хилендарски	hilendar	hilendarski (name)
хиляди	minglab	thousands
хилядолетие	ming yillikda	millennium
хилядолетия	ming yillik	millenia
химикали	kimyoviy moddalar	chemicals
химиотерапия	kimyoterapiya	chemotherapy
химичен	kimyoviy	chemical
химическа	kimyoviy	chemical
химическата	kimyoviy	chemical
химически	kimyoviy	chemical
химична	kimyoviy	chemical
химични	kimyoviy	chemical
химичните	kimyoviy	chemical
химия	kimyo	chemistry
химията	kimyo	chemistry
химн	madhiya	anthem
хинаяна	hinayana	hinayana
хипопотамови	kestirib	hippopotamidae
хипотеза	faraz	hypothesis
хипотезата	faraz	hypothesis
хипотези	farazlar	hypotheses
хирон	chiron	hiro
хисаря	hisarya	hisarya
хит	urdi	hit
хитлер	gitler	hitler
хитове	xitlar	hits
хищници	yirtqichlar	predators
хляб	non	bread
хобитът	hobbit	the hobbit
ход	ko&#39;chirish	move
хода	kursi	course
ходове	harakat qiladi	moves
ходят	yurish	go
холандия	nederlandiya	netherlands
холандски	golland	netherlands
холестерол	xolesterin	cholesterol
холивуд	gollivud	hollywood
холокоста	holokost	holocaust
хомеопатични	gomeopatik	homeopathic
хомеопатичните	gomeopatik	homeopathic
хомеопатия	gomeopatiya	homeopathy
хомеопатията	gomeopatiya	homophobia
хомосексуални	gomoseksual	homosexual
хомосексуалните	gomoseksuallar	homosexual
хомосексуалността	gomoseksualizm	homosexuality
хонконг	xong kong	hong kong
хор	xor	choir
хора	odamlar	people
хората	odamlar	people
хораций	xor	horatius
хореография	xoreografiya	choreography
хоризонта	ufq	horizon
хормони	gormonlar	hormones
хотел	mehmonxona	hotel
хотели	mehmonxonalar	hotels
хофман	xofman	hoffmann
храброст	jasorat	bravery
храм	ma&#39;bad	temple
храма	ma&#39;bad	temple
храмове	ibodatxonalar	temples
храмът	ma&#39;bad	temple
храна	ovqat	food
храната	ovqat	food
хранене	oziqlanish	nutrition
храни	ovqat	food
хранителната	ovqat	food
хранителни	ovqat	food
хранителните	ovqat	nutritious
хранителновкусова	ovqat ta&#39;mi	food
хранителновкусовата	ovqat ta&#39;mi	food
храносмилателната	oshqozon	the digestive
хранят	ozuqa	feed
храсти	butalar	oak
христа	masihning	christ
християни	xristianlar	christians
християнин	xristian	christian
християните	xristianlar	the christians
християнска	xristian	christian
християнската	xristian	christian
християнски	xristian	christian
християнските	xristian	christian
християнския	xristian	christian
християнско	xristian	christianity
християнското	xristian	the christian
християнство	xristianlik	christianity
християнството	xristianlik	christianity
христо	masih	hristo
христов	masihning	true
христово	masih	christ
христос	masih	christ
христофор	kristofer	christopher
хромозома	xromosoma	chromosome
хроника	yilnoma	chronicle
хроники	yilnomalar	chronicles
хроничен	surunkali	chronic
хронологична	xronologik	chronological
хронология	xronologiya	chronology
хуан	huan	juan
художествена	badiiy	art
художествената	badiiy	art
художествени	badiiy	art
художник	rassom	an artist
художници	rassomlar	artists
хумор	hazil	humor
хунан	hunan	hunan (area)
хуните	hunlar	huns
хх	xx	twenty
хъдсън	gudson	hudson (name)
хъкълбери	xakleyber	huckleberry (name)
хълм	tepalik	hill
хълма	tepalik	hill
хълмове	tepaliklar	hills
хълмовете	tepaliklar	hills
хънт	ov qilish	hunt
хърбърт	gerbert	herbert
хървати	xo&#39;rvalar	croats
хърватия	xorvatiya	croatia
хърватски	xorvat	croatian
хюсеин	husayn	hussein
хюстън	huston	houston
цанко	tsanko	tsanko
цанков	tsankov	tsankov
цар	tsar	tsar
царе	shohlar	kings
царевец	shahzoda	tsarevets
царевица	makkajo&#39;xori	corn
царете	qirollar	kings
цариград	konstantinopol	istanbul
цариградската	konstantinopol	constantinople
царица	malika	queen
царската	qirollik	king
царски	qirollik	royal
царското	qirol	royal
царства	qirollik	kingdoms
царство	qirollik	kingdom
царството	qirollik	kingdom
царуването	hukmronlik	the reign / the tzardom
царя	qirol	king
царят	qirol	king
цвета	ranglar	color
цветан	gul	tzvetan
цветни	rangli	floral
цветове	ranglar	colors
цветовете	ranglar	colors
цветът	rangi	color
цветя	gullar	flowers
цвят	rangi	color
цдна	tsdna	cdna (football club)
цезар	qaysar	caesar
цел	maqsadi	end
цели	maqsadlar	objectives
целите	maqsadlar	goals
целия	butun	all
целият	butun	the whole
целогодишно	yil davomida	yearly
целта	maqsad	finish
целулоза	tsellyuloza	cellulose
цена	narx	price
цената	narx	price
цени	narxlar	prices
цените	narxlar	prices
ценни	qimmatli	securities
ценности	qiymatlar	treasures
централен	markaziy	central
централи	elektr stantsiyalari	plants
централна	markaziy	central
централната	markaziy	central
централни	markaziy	central
централните	markaziy	central
централния	markaziy	central
централният	markaziy	the central
централно	markaziy	central
централното	markaziy	central
центрове	markazlari	centers
център	markazi	center
центъра	markazi	center
центърът	markazi	center
церемония	marosimi	ceremony
церемонията	marosimi	ceremony
цеца	ko&#39;richak	ceca
цивилизации	tsivilizatsiya	civilizations
цивилизация	tsivilizatsiya	civilization
цивилизацията	tsivilizatsiya	civilization
цивилни	tinch fuqarolar	civil
цигани	lo&#39;lilar	gypsies
циганите	lo&#39;lilar	gypsies
циклама	siklamen	cyslamen
цикли	tsikllar	cycles
цикъл	tsikl	cycle
цикъла	tsikl	cycle
цилиндъра	silindr	cylinder
цинк	rux	zinc
цинка	rux	zinc
цинков	rux	zinc
цинкът	rux	zink
циркон	tsirkon	zirconium
цитирани	iqtibos keltirdi	cited
цитоплазмата	sitoplazma	cytoplasm
цифри	raqamlar	figures
цк	tsk	ck
цру	tsru	cia
цска	cska	cska
църква	cherkov	church
църквата	cherkov	the church
църкви	cherkovlar	churches
църковен	ruhoniy	church
църковна	cherkov	church
църковната	cherkov	church
църковни	cherkov	church
църковните	cherkov	spiritual
църковното	cherkov	church
цял	butun	whole
цяла	butun	whole
цялата	butun	all
цяло	butun	whole
цялост	yaxlitligi	entirety
цялостната	umumiy	overall
цялото	butun	entire
ч	h	plural
чавдар	chavdar	chavdar
чай	choy	tea
чак	chuck	right
чан	chan	chan
чарлз	charlz	charles
чарли	charlie	charlie
чарлс	charlz	charles
час	vaqt	hour
часа	soat	hours
часове	soat	hours
часовник	soat	clock / hourglass
часовниковата	soat yo&#39;nalishi bo&#39;yicha	clock
часовници	soatlar	watch
част	qismi	part
частен	xususiy	private
части	qismlari	parts
частите	qismlari	parts
частица	zarracha	particle
частици	zarralar	particles
частична	qisman	partial
частично	qisman	partially
частна	xususiy	private
частната	xususiy	honor
частни	xususiy	private
частност	jumladan	particular
частта	qismi	part
чаша	kubok	cup
чаши	stakan	cups
че	bu	that
челеби	chelebi	celebi
челюст	jag &#39;	jaw
червата	ichaklar	intestine
червеи	qurtlar	worms
червен	qizil	red
