$ tỉ	বিলিয়ন ডলার	$ billion
vỡ	ভাঙ্গা	break
vợ	স্ত্রী	wife
vụn	চিপস	debris
vụng	কদাকার	covert
vứt	ফেলে দাও	throw away
vừa	হইয়া	just (adv.)
vừng	তিল	sesame (n.)
vững	দৃঢ়	firm (adj.)
vực	ক্ষেত্র	place
vựng	শব্দতালিকা	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	সুতরাং	majestic
w	w	w
wa	ওয়া	wa
walt	ওয়াল্ট	(proper noun) walt, as in walt disney
walter	ওয়াল্টার	walter
walther	ওয়ালথার	walther
wan	নিস্তেজ	wan
wang	ওয়াং	wang
wankel	wankel	(proper noun) wankel
wanna	তোমার দর্শন লগ	wanna
warren	ঘনবসতিপূর্ণ বস্তি	a name
warsaw	ওয়ারশ	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	ওয়াশিংটন	(proper noun) washington
wat	ওয়াত	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	জলকপাট	watergate
waterloo	ওয়াটারলু	(proper noun) waterloo
waters	জলের	waters
wayne	wayne	wayne
wcdma	wcdma	w-cdma
weasley	উইসলি	weasley, as in ron weasley in the harry potter series
weblog	ওয়েব্লগ	weblog
webmail	ওয়েবমেইল	ưebmail
weimar	weimar	(proper noun) weimar
wellington	ওয়েলিংটন	wellington
wells	কূপ	wells, as in author orson wells
welsh	welsh	(proper noun) welsh, as in the welsh language
wembley	ওয়েম্বলি	wembley, as in wembley stadium
werner	werner	werner
westermarck	westermarck	westermarck
western	পশ্চিম	western
westlife	westlife	westlife
westview	westview	westview, as in westview press
wheeler	wheeler	a name
widener	widener	widener
wien	wien	wien
wiener	উইনার	wiener
wifi	ওয়াইফাই	wi-fi, a technology term
wiki	উইকি	wiki
wikia	উইকিয়া	a name
wikibooks	উইকিবই	(proper noun) wikibooks
wikimapia	উইকিম্যাপিয়া	wikimapia
wikimedia	উইকিমিডিয়া	wikimedia
wikitravel	উইকিট্র্যাভেল	a name
wild	বন্য	wild
wilder	wilder	(proper noun) wilder, as in billy wilder
wiley	উইলি	wiley
willard	উইলার্ড	willard
wimbledon	উইম্বলডন	wimbledon
windows	জানালা	windows
winer	উইনার	winer
wisconsin	উইসকনসিন	(proper noun) wisconsin
within	মধ্যে	within
without	ছাড়া	without
wolfgang	উলফগ্যাং	wolfgang
won	ওঁন	won
wong	wong	wong
woodrow	উডরো	woodrow
woods	পিপে	(proper noun) woods, as in tiger woods
would	হায়	would
wrestling	দঙ্গল	wrestling
wright	রাইট	a name
wu	উ	wu
wushu	wushu	wushu, a type of martial art
wwf	wwf	wwf
xa	এ পর্যন্ত	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	নীল	green
xao	তুলতুলে	xôn xao = chatting
xay	চূর্ণনশব্দ	grind
xe	গাড়ী	a car (n.)
xem	দেখা	watch
xen	আরম্ভ করে xen	to insert (v.)
xhcn	xhcn	social republic
xi	একাদশ	xi
xiii	xiii	eighth
xin	অনুগ্রহ	please
xinh	সুন্দর	beautiful
xiv	চতুর্দশ	fourteenth
xiêm	শ্যামদেশীয়	(proper noun) xiêm, or siam
xiên	তির্যক্তা	oblique
xiêu	জিয়াও	soften
xiếc	সার্কাস	circus
xiết	আঁট করা	to twist tightly (v.)
xiềng	জিঁিজর	chain
xo	xo	spring
xoa	ঘষা	massage
xoay	চালু	turn
xong	সম্পন্ন	completed
xoàng	মাঝারি	mediocre
xoá	মুছে ফেলা	delete
xoáy	ঘূর্ণাবর্ত	vortex
xoắn	পাকান	coiled
xu	মুদ্রা	trend
xua	দুরীভূত করা	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	হতভাগ্য	incite
xuka	xuka	xuka
xum	প্রাচুর্যপূর্ণ	a name
xuyên	তীক্ষ্ন	frequently
xuyến	ব্রেসলেট	manage
xuân	বসন্ত	spring
xuâncông	বসন্ত	xuan public
xuôi	মোটামুটি	down
xuất	রপ্তানি	ejaculate
xuấtnhập	আমদানী রপ্তানি	import/export
xuống	নিচে	down
xuồng	শাল্তি	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	ব্যয় করা	use
xào	ভাজা	stir fry
xách	হ্যান্ডব্যাগ	to carry by the handle (v.)
xám	ধূসর	ustox
xán	ভাজা	"(term should be ""xán lạn"") bright (adj.)"
xáo	ঝামেলা	chaos
xát	মার্জন	touch
xâm	উল্কি	invasion
xâu	দড়ি	string
xây	বিল্ড	build
xã	প্রজাসভা	society
xãy	চপল	occur
xèo	xèo	xeo
xé	টিয়ার	tear
xén	ক্রপিং	"(term should be ""biếu xén"") to gift (v.)"
xéo	টেড়া	diagonally (adv.)
xét	বিবেচনা	examine
xê	পদক্ষেপ	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	বাতকর্ম	scandal
xìu	বাতকর্ম	to become flaccid (v.)
xí	কারখানা	factory (xi nghiep)
xít	চটুল	nazi
xíu	অতি ক্ষুদ্র	small
xòe	পাতন	spread
xóa	মুছে ফেলুন	clear
xói	ক্ষয়	erode
xóm	প্রতিবেশী	village
xót	করুণা	mercy
xô	ঠেলা	soviet
xôi	আঠালো ভাত	pierce
xôn	আলোড়ন	tumultuous
xông	ছুটে	rush
xôphần	বালতি বিভাগ	soviet-poland
xôviết	সোভিয়েত ইউনিয়ন	soviet
xù	এলো	gigantic
xú	অভদ্র	xu
xúc	যোগাযোগ	touch
xúi	প্রবর্তিত করা	induce
xăm	উলকি	"(term should be ""xa xăm"") far away (adj.)"
xăng	পেট্রল	gasoline
xơ	তন্তু	xo
xưa	পুরাতন	old
xưng	স্বীকার	"(should be ""tự xưng"") self-proclaimed"
xương	হাড়	bone (n.)
xước	চিরা	scratch
xướng	ধুয়া	provoke
xưởng	কারখানা	workshop
xạ	বিকিরণ	"(term should be ""phản xạ"") to reflect"
xả	নির্গমন	release
xảo	ধূর্ত	detailed
xảy	ঘটা	happen
xấp	প্রায়	approximate
xấu	খারাপ	bad
xẩm	রোমশ	a type of traditional vietnamese singing
xẩy	ঘটা	occur
xắt	ছক্কা	cut
xẻo	হতভাগ্য	cut off
xếp	গুটান	rank
xỉ	ধাতুমল	approximately
xỉa	রেশমের ফেঁসো	to pick (v.)
xỉu	অজ্ঞান হয়ে	to faint
xốc	অভিঘাত	to lift up (v.)
xốp	styrofoam	porous
xổ	লটারি	rush into
xộn	নোংরা	messy
xứ	জমি	native
xứng	সুযোগ্য	appropriate
xử	আচরণ	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	আগে	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	yalta	(proper noun) yalta
yankee	আমেরিকার লোক	(proper noun) yankee
yard	গজ	yard
yasha	yasha	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	yeltsin	yeltsin, as in boris yeltsin
yemen	ইমেন	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	য়ি	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	ইয়ো	yo
yomiuri	ইয়োমিউরি	yomiuri
yoochun	yoochun	yoochun
york	ইয়র্ক	york
yorker	ইয়র্কার	yorker
yorkshire	ইয়র্কশায়ার	yorkshire
youtube	ইউটিউব	youtube
ypres	একথা শোনার	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	ইউয়ান	(proper noun) yuan, as in yuan mu
yucatán	ইউকাটান	yucatan, as in the yucatan peninsula
yudhoyono	ইয়োধোইয়োনো	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	ইউরি	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	yurt	yurt
yên	ইয়েন	peace or stillness (n.)
yêu	ভালবাসতে	love
yếm	ঢিলা জামা	tender
yến	পাখির বাসা	a type of swallow (n.)
yết	তালিকা	yet
yếu	দুর্বল	mainly
yểm	আবরণ	support
yển	ইয়েন	"is a name meaning, ""bird"""
yểu	সুদৃশ্য	"(term should be ""yểu điệu"") graceful (adj.)"
z	z- র	z
zac	জাক	zac
zambia	জাম্বিয়া	(proper noun) zambia, as in the nation
zealand	জিলণ্ড	(proper noun) zealand, as in new zealand
zedong	জেদং	mao zedong
zero	শূন্য	zero
zeus	গ্রীকদের দেবরাজ	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	জিম্বাবুয়ে	zimbabwe
zinedine	জিনেদিন	(proper noun) zinedine
zing	উচ্ছলতা	zing, as in the website
zoe	zoe	zoe
zurich	জুরিখ	(proper noun) zurich
zürich	জুরিখ	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| এনগুইন	a common vietnamese last name
|nổi	| ভাসা	"(term should be ""nổi"") to float (v.)"
|petya	| পেটিয়া	(proper noun) petya
|tên	| নাম	"(should be ""tên"") name (n.)"
|việt	| ভিয়েতনামি	vietnam
 kg	কেজি	kg
 triệu	মিলিয়ন	million
 °c	° গ	degrees celsius
°đến	থেকে	up to
°độ	° ডিগ্রি	degree
×	×	x
ào	কি দারুন	rush
á	এশিয়ান	asia
ác	মন্দ	evil
ách	জোয়াল	yoke (n.)
ái	ক্ষুধিত	ai
ám	উপস্থাপনা	(with the word chi) to hint at
ánh	দীপ্তি	light
áo	শার্ট	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	চাপ	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	একটি ¢ একটি	a vietnamese vowel sound
âm	ঋণচিহ্ন	vagina
ân	আনুকূল্য	deed
én	গ্রাস	swallow
ép	চাপ	press
êgê	অহং	aegean
êm	মসৃণ	smooth
ích	দরকারী	benefit
ílam	ইলম	tamil language name for the island of sri lanka
ít	সামান্য	less
île	île	Île, as in Île de la cité, france
îledefrance	îledefrance	ile-de-france
ðiều	প্রবন্ধ	article
ðài	dai	taiwan
ðường	চিনি	a road
ðảng	পার্টি	party
ðức	জার্মানি	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	মস্তিষ্ক	brain
óng	চিত্রাভ	"(term should be ""óng ả"") flexible"
ôi	উহু	"vietnamese version of the exclamation ""oh"""
ôm	আলিঙ্গন	hug
ôn	সংযম	peaceful (on hoa)
ông	তিনি	a man (n.)
ôtô	গাড়ী	car
ôxi	অক্সিজেন	oxygen
ôxy	অক্সিজেন	the element oxygen (n.)
ôxít	অক্সাইড	oxide
ôzôn	ওজোন	ozone
ùn	জ্যাম	congest
úng	জলাবদ্ধ	flood
úp	মুখ নিচে	upside
úy	প্রতিনিধি	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	ইতালি	italian
ăn	খাওয়া	eat
ăng	পিপীলিকা	antenna
ăngten	শুঙ্গ	antenna
đa	বহু	majority
đai	দল	"(term should be ""Đai khố"") name of a village"
đak	ডাক	(proper noun) Đak
đan	বুনা	scandal
đau	ব্যথা	painful
đay	পাট	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	ডিবি	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	নেহাই	threaten
đem	আনা	to bring (v.)
đen	কালো	black
đentrắng	সাদাকালো	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	পরিধান	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	পূর্ব	dhong
đi	যাওয়া	go
điên	পাগল	crazy
điêu	জিনিস	sculpture
điôxít	ডাইঅক্সাইড	dioxide
điạ	dạ	dia
điếc	বধির	heron
điếu	সিগারেট	funeral oration
điềm	চিহ্ন	omen
điền	ভরাট	estate
điều	জিনিস	control
điểm	বিন্দু	bearing point
điển	অভিধান	"(term should be ""từ điển"") a dictionary"
điểu	যৌনসঙ্গম	thing
điệp	বার্তা	spy
điệu	স্বন	memorial
đo	পরিমাপ করা	measure
đoa	দোয়া	doa
đoan	গ্রুপ	extreme
đom	জোনাকির	firefly
đoài	আম	the west
đoàn	গ্রুপ	an organization or group (n.)
đoái	বিনিময়	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	অনুচ্ছেদ	a stage or phase (n.)
đt	টেল	training
đtđ	মুঠোফোন	diabetes
đua	জাতি	emulate
đui	অন্ধ	blind
đun	তাপ	cook
đuôi	লেজ	tail
đuốc	মশাল	a torch
đuối	ডুবন্ত	drowning
đuống	ডাঁটা	(proper noun) Đuống, the name of a river
đuổi	পশ্চাদ্ধাবন	pursue
đài	রেডিও	statue
