$	usd	dollarsign
vlamingen	flīzes	flemings
vleermuizen	sikspārņi	bats
vlees	gaļa	meat
vlek	traipu	stain
vlekken	traipi	stains
vleugel	spārns	wing
vleugels	spārni	wings
vliegen	lidot	fly
vliegende	lido	flying
vliegramp	aviokatastrofa	plane crash
vliegt	mušas	flies
vliegtuig	lidmašīna	airplane
vliegtuigen	lidmašīnas	aircraft
vliegveld	lidosta	airport
vliegvelden	lidostas	airports
vliezen	membrānas	webs
vlinder	tauriņš	butterfly
vlinders	tauriņi	butterflies
vlissingen	vlissingen	vlissingen
vloeibaar	šķidrums	liquid
vloeibare	šķidrums	liquid
vloeistof	šķidrums	liquids
vloek	lāsts	curse
vloer	grīda	floor
vloog	lidoja	flew
vloot	flote	fleet
vlucht	lidojums	flight
vluchtelingen	bēgļi	fugitives
vluchten	bēgt	flights
vluchtte	aizbēga	fled
vluchtten	aizbēga	fled
vlugt	mušas	flight
vn	un	vn
voc	vokāls	voc
vocht	mitrums	fought
vochten	cīnījās	fought
vochtig	mitrs	moist
vochtige	mitrs	damp
voeding	uzturs	food - 1st sentence, fed - 2nd sentence
voedingsmiddelen	pārtikas produkti	foods
voedingsstoffen	barības vielas	nutrients
voedsel	ēdiens	food
voegde	pievienots	added
voegen	pievienot	adding
voelde	juta	felt
voelden	juta	felt
voelen	sajust	to feel
voelt	jūtas	feels
voer	ievadiet	feed
voerde	iebilda	conducted
voerden	vadīts	conducted
voeren	barot	carry
voert	uzstājas	carries/ conduct
voertuig	transporta līdzeklis	transport
voertuigen	transporta līdzekļiem	vehicles
voet	pēdu	foot
voetbal	futbols	soccer
voetbalclub	futbola klubs	football
voetbalclubs	futbola klubi	soccer clubs
voetbalelftal	nacionālā futbola komanda	football team
voetballer	futbolists	soccerplayer
voetballers	futbolisti	soccer players
voeten	pēdas	feet
voetnoten	zemsvītras piezīmes	footnote
vogel	putns	bird
vogels	putni	birds
vol	pilns	full
voldaan	apmierināts	satisfy
voldeed	met	required
voldemort	pilna java	voldemort
voldoen	satikties	satisfy
voldoende	pietiekami	sufficient
voldoet	apmierina	satifies
volgde	seko	followed
volgden	sekoja	followed
volgelingen	sekotāji	followers
volgen	sekot	follow
volgend	nākamais	following
volgende	nākamais	following
volgens	saskaņā ar	according to
volgorde	pasūtīt	order
volgt	seko	follows
volk	cilvēki	people
volken	nācijas	peoples / nations
volkenbond	tautu savienība	league of nations
volkeren	tautas	peoples
volkomen	pilnīgi	completely
volksgezondheid	sabiedrības veselība	public health
volkskrant	volkskrant	volkskrant
volkslied	himna	anthem
volksmond	sarunvalodā	popularly
volksrepubliek	tautas republika	peoples republic
volkstelling	skaitīšana	census
volksvertegenwoordiging	parlaments	representation
volle	pilns	full
volledig	pilnībā	completely
volledige	pilns	full
volleybal	volejbols	volleybal
voltooid	pabeigts	finished
volume	apjoma	volume
volwaardige	pilntiesīgs	full
volwassen	pieaugušais	adult
volwassene	pieaugušais	grown up
volwassenen	pieaugušajiem	adults
von	fon	von
vond	atrasts	was
vonden	patika	found
vondst	atrast	find / discovery
vondsten	atrod	findings
voor	priekšā	for
vooraanstaande	ievērojams	leading
vooraf	pirms	beforehand
voorafgaand	iepriekšējs	prior
voorafgaande	iepriekšējā	prior
vooral	pārsvarā	especially
vooralsnog	pagaidām	yet
voorbeeld	piemērs	example
voorbeelden	piemēri	examples
voorbehouden	rezervēts	reserved
voorbereid	sagatavots	prepared
voorbereiding	sagatavošana	preparation
voorbereidingen	preparāti	preparations
voorbij	pāri	beyond
voordat	pirms tam	before
voordeel	labums	advantage
voordelen	ieguvumi	advantages
voordien	pirms tam	before then
voordoen	rodas	occur
voorgaande	iepriekšējā	forgoing
voorganger	priekšgājējs	predecessor
voorgangers	priekšgājēji	clergymen
voorgeschiedenis	vēsture	previous history
voorgeschreven	izrakstīts	prescribed
voorgesteld	ieteikts	introduced
voorgoed	mūžīgi	forever
voorgrond	priekšplāns	front
voorhanden	pieejams	available
voorheen	pirms tam	before
voorjaar	pavasaris	spring
voorkant	priekšā	front
voorkeur	priekšroka	preference
voorkomen	izskats	prevent
voorkomend	notiek	common
voorkomende	izplatīts	common
voorkomt	novērš	for cometh
voorkwam	notika	prevented
voorkwamen	notika	occured
voorlichting	informācija	enlightenment
voorloper	prekursors	precursor
voorlopig	pagaidām	for now
voormalig	bijušais	former
voormalige	bijušais	former
voornaam	vārds	first name
voornaamste	galvenais	main
voornamelijk	galvenokārt	mainly
voorouders	senči	ancestors
voorprogramma	atbalsta akts	support act
voorraad	krājums	supply
voorronde	provizoriskā kārta	qualifying round
voorschriften	noteikumi	regulations
voorsprong	galvas sākums	advance
voorstander	aizstāvis	is in favour
voorstanders	aizstāvji	proponents
voorste	priekšā	forward
voorsteden	priekšpilsētas	suburbs
voorstel	priekšlikums	proposal
voorstellen	iepazīstināt	propose
voorstelling	izpildījums	interpretation
voorstellingen	izrādes	performances
voort	ieslēgts	on
voortaan	no šī brīža	from now on
voortbestaan	izdzīvošana	survival
voortdurend	pastāvīgi	continuously
voortdurende	nepārtraukts	ongoing
voortgebracht	nāca	produced
voortgekomen	iznāc uz priekšu	originated
voortgezet	turpināja	resumed
voortplanten	dzemdēt	propagate
voortplanting	reprodukcija	procreate
voorts	turklāt	furthermore
voortzetting	turpinājums	continuation
vooruit	uz priekšu	forward
vooruitgang	progresu	progress
voorwaarde	priekšnoteikums	condition
voorwaarden	nosacījumus	conditions
voorwerp	objekts	object
voorwerpen	objekti	objects
voorzag	ar nosacījumu	forsaw
voorzichtig	uzmanīgi	carefully
voorzien	nodrošināt	provide
voorzieningen	pakalpojumi	facilities
voorziet	nodrošina	provides
voorzijde	priekšā	front side
voorzitter	priekšsēdētājs	president
voren	uz priekšu	front
vorige	iepriekšējā	previous
vorm	forma	form
vormde	veidojas	formed
vormden	veidojas	formed
vormen	forma	to form
vormgeving	dizains	design
vorming	veidošanās	formation
vormt	formas	forms
vorst	sals	monarch
vorsten	prinči	monarchs
vorstendom	principialitāte	principality
vorstendommen	hercogistes	principalities
vos	lapsa	vos
voyager	voyager	voyager
vraag	pajautā	question
vraagstukken	jautājumiem	problems
vraagt	jautā	asks
vragen	pajautā	ask
vrede	miers	peace
vreemd	dīvaini	strange
vreemde	svešinieks	strange
vrees	bailes	fear
vreesde	baidījās	feared
vreugde	prieks	joy
vriend	draugs	friend
vrienden	draugi	friends
vriendin	draudzene	girlfriend
vriendschap	draudzība	friendship
vries	iesaldēt	vries
vrij	bez maksas	free
vrijdag	piektdiena	friday
vrije	bez maksas	free
vrijen	izgatavošana	making love
vrijgelaten	atbrīvots	released
vrijheden	brīvības	liberties
vrijheid	brīvība	freedom
vrijheidsbeeld	brīvības statuja	statue of liberty
vrijmetselaar	brīvmūrnieks	free mason
vrijmetselaars	masonu	freemasons
vrijmetselarij	brīvmūrniecība	freemasonry
vrijwel	gandrīz	nearly
vrijwillig	labprātīgi	voluntarily
vrijwillige	brīvprātīgi	voluntary
vrijwilligers	brīvprātīgie	volunteers
vroeg	prasīja	early
vroege	agri	early
vroegen	prasīja	ask
vroeger	dienās	erstwhile
vroegere	agrāk	former
vroegste	ātrāk	earliest
vrouw	sieviete	woman
vrouwelijk	sieviete	feminine
vrouwelijke	sieviete	feminine
vrouwen	sievietes	women
vrouwtje	sieviete	female
vrouwtjes	mātītes	females
vrucht	augļi	fruit
vruchtbaar	auglīga	fertile
vruchtbaarheid	auglība	fertility
vruchtbare	auglīga	fertile
vruchten	augļi	fruit
vs	vs.	united states
vulkaan	vulkāns	volcano
vulkanen	vulkāni	volcanoes
vulkanische	vulkānisks	vulcanic
vulkanisme	vulkānisms	volcanism
vullen	piepildīt	to fill
vuur	uguns	fire
vuurwerk	salūts	fireworks
vvd	vvd	vvd
vóór	priekšā	before
w	w	w.
waal	kņala	waal
waals	valons	walloon
waalse	valons	walloon
waar	taisnība	where
waaraan	uz kuru	which
waarbij	kurā	whereby
waard	vērts	worth
waarde	vērtību	value
waarden	vērtības	values
waardering	atzinība	appreciation
waardevolle	vērtīgs	valuable
waardoor	izraisa	whereby
waargenomen	uztverts	observed
waarheid	patiesība	truth
waarin	kurā	which are
waarmee	ar kuru	with which
waarna	pēc kā	whereafter
waarneembaar	uztverams	visibly
waarnemen	uztvert	to sense
waarnemer	novērotājs	observer
waarneming	uztvere	observation
waarnemingen	novērojumi	observations
waarom	kāpēc	why
waaronder	starp kuriem	including
waarop	uz kuru	on which
waarover	par ko	about
waarschijnlijk	droši vien	probably
waarschijnlijkheid	varbūtība	likelihood
waarschuwen	brīdināt	warn
waarschuwing	brīdinājums	warning
waartoe	uz ko	where to
waaruit	no kuriem	from which
waarvan	no kā	where of
waarvoor	par ko	which
wacht	pagaidiet	wait
wachten	gaidīt	to wait
waffenss	vafelīte	waffenss
wagen	auto	dare / wagon
wageningen	wageningen	wageningen
wagner	wagner	wagner
wakker	nomodā	awake
wal	krastā	wal
wales	velsa	wales
walker	gājējs	walker
wallace	wallace	wallace
wallonië	valonija	wallonia
walt	valsis	walt
walter	valters	walter
walvissen	vaļi	whales
wand	sienas	wall
wanna	gribi	wanna
wanneer	kad	when
want	jo	want (wil)
wantrouwen	neuzticēšanās	distrust
wapen	ierocis	symbol
wapens	ieročus	weapons
wapenspreuk	ieroča burvestība	motto
wapenstilstand	pamiers	ceasefire
war	apjucis	confused
warcraft	kaujas	warcraft
ware	taisnība	true
waren	preces	were
warhol	vorhols	warhol
warhols	warhols	warhols
warm	silts	warm
warme	silts	hot
warmer	siltāks	warmer
warmte	siltums	warmth
warner	brīdinātājs	warner
wars	kari	wars
warschau	varšava	warschau
was	bija	was
washington	vašingtona	washington
wat	kas	what
water	ūdens	water
wateren	ūdeņi	waters
watergentiaanfamilie	ūdens genciāna ģimene	family of fringed-water lilies
waterloo	ūdenskritums	waterloo
waters	ūdeņi	waters
waterstof	ūdeņradis	hydrogen
watervallen	ūdenskritumi	waterfalls
watson	watson	watson
wave	vilnis	wave
way	veids	way
wayne	wayne	wayne
web	tīmeklis	web
weblog	tīmekļa žurnāls	weblog
weblogs	tīmekļa žurnāli	weblogs
website	vietne	website
websites	vietnēs	websites
wed	kāzas	bet
wedergeboorte	atdzimšana	rebirth
wederom	atkal	again
wederopbouw	rekonstrukcija	reconstruction
wederzijdse	savstarpēja	mutual
wedstrijd	konkurss	contest
wedstrijden	sērkociņi	competitions
weduwe	atraitne	widow
weefsel	audi	tissue
weefsels	audos	tissues
week	nedēļā	week
weekblad	iknedēļas	weekly
weekend	nedēļas nogalē	weekend
weense	vienna	viennese
weer	atkal	again
weergave	displejs	rendering
weergegeven	parādīts	display
weergeven	skats	again geren
weerstaan	pretoties	resist
weerstand	pretestība	resistance
weerszijden	citā pusē	both sides
wees	bārenis	"is from the word ""afwijzen"", to reject, can not divide the word in english"
weet	zini	know
weeën	kontrakcijas	contractions
weg	prom	away
wegdek	ceļa segums	pavement
wegen	svars	roads
wegennet	ceļu tīkls	road network
wegens	līdz	due
weggelegd	nolikt malā	play
wegverkeer	ceļu satiksme	roadtraffic
wehrmacht	wehrmacht	wehrmacht
weigerde	atteicās	refused
weigerden	atteicās	refuse
weigert	atsakās	refuses
weinig	maz	few
weinige	maz	few
weinigen	maz	few
wekelijks	iknedēļas	weekly
weken	nedēļas	weeks
wekken	celies	to arouse
wel	labi	well
weliswaar	protams	admittedly
welk	kas	which
welke	kas	which
welkom	laipni gaidīti	welcome
wellicht	varbūt	perhaps
wells	akas	wells
welsh	velsietis	<english word> welsh
welvaart	labklājība	prosperity
welvarende	pārtikusi	prosperous
welzijn	labklājība	welfare
wemel	weasley	weasley
wenen	vīne	vienna
wens	vēlēšanās	desire
wenselijk	vēlams	desirable
wensen	vēlēties	wish
wenst	vēlmes	grants
wenste	vēlējās	wished
werd	kļuva	was
werden	bija	became & were
were	bija	we are
wereld	pasaule	world
wereldbeeld	pasaules uzskats	view of the world
wereldberoemd	pasaulslavenā	world-famous
wereldberoemde	pasaulslavenā	world famous
werelddeel	kontinents	continent
werelderfgoed	pasaules mantojums	world heritage
werelderfgoedlijst	pasaules mantojuma saraksts	world inheritance
wereldgezondheidsorganisatie	pasaules veselības organizācija	world health organization
wereldkampioen	pasaules čempions	world champion
wereldkampioenschap	pasaules čempionāts	world championship
wereldlijke	laicīgais	secular
wereldoorlog	pasaules karš	world war
werelds	pasaulīgs	world
wereldwijd	visā pasaulē	worldwide
wereldwijde	globāls	worldwide
werk	darbs	work
werkelijk	tiešām	really
werkelijke	faktiskais	actual
werkelijkheid	realitāte	reality
werken	strādāt	work
werkende	strādā	functioning
werkgelegenheid	darba iespējas	employment
werking	operācija	process
werkloosheid	bezdarbs	unemployment
werknemers	darbiniekiem	employees
werkt	darbojas	works
werkte	strādāja	operated
werkten	strādāja	worked
werkwoord	darbības vārds	verb
werkzaam	aktīvs	employed
werkzaamheden	aktivitātes	activities
werkzame	aktīvs	active
werner	verners	werner
werpen	mest	throw
wesley	veslijs	wesley
wespen	lapsenes	wasps
west	uz rietumiem	west
westberlijn	rietumu berlīne	west berlin
westduitsland	rietumvācija	west germany
westelijke	rietumu	western
westen	rietumi	west
westerbork	vesterborka	westerbork
western	rietumu	western
westers	rietumu	western
westerse	rietumu	western
westeuropa	rietumeiropa	western europe
westeuropese	rietumeiropas	west-european
westkust	rietumu krasts	west coast
westminster	vestminstere	westminster
westromeinse	rietumu romiešu	western roman
westvlaanderen	rietumu flandrija	west-flanders
wet	likumu	law
weten	zini	namely
wetenschap	zinātne	science
wetenschappelijk	zinātniskais	scientific
wetenschappelijke	zinātniskais	scientific
wetenschappen	zinātnes	sciences
wetenschappers	zinātnieki	scientists
wetgevende	likumdošanas	legislative
wetgeving	likumdošana	legislation
wethouder	padomnieks	alderman
wethouders	padomnieki	regents
wettelijk	likumīga	legal
wettelijke	likumīga	legal
wetten	likumi	laws
wezen	būtne	essentially
wezens	radības	creatures
when	kad	when
whiskey	viskijs	whiskey
whisky	viskijs	whiskey
white	balts	white
who	pvo	who
wic	wic	wic
widthin	platumā	widthin
wie	pvo	who
wiel	ritenis	wheel
wielen	riteņi	wheels
wielrenner	velosipēdists	cyclist
wien	wien	whom
wiener	wiener	wiener
wiens	kuru	whose
wier	kuru	whose
wiet	nezāle	wiet
wifi	bezvadu internets	wifi
wii	wii	wii - proper noun - brand name
wijk	apkārtne	neigbourhood
wijken	dot ceļu	district
wijkt	dod ceļu	differs
wijn	vīns	wine
wijsheid	gudrība	wisdom
wijst	punkti	points
wijten	pienāk	blame
wijze	manierē	way
wijzen	punkts	to point
wijzigen	modificēt	change
wijziging	mainīt	conversion
wijzigingen	grozījumi	changes
wikipedia	wikipedia	wikipedia
wil	gribu	will
wild	savvaļas	savage
wilde	gribēja	wild
wilden	trakie	wanted
wilders	mežonīši	wilders
wilhelm	vilhelms	wilhelm
wilhelmina	vilhelmina	wilhelmina
wilhelmus	vilhelms	wilhelmus
will	būs	will
willekeurig	izlases veidā	arbitrarily
willekeurige	izlases veidā	random
willem	vilems	willem
willemalexander	vilems aleksandrs	willem-alexander
willemstad	vilemstade	willemstad
willen	gribu	want to
william	william	william
williams	williams	williams
willie	gribas	willie
willy	viltīgi	willy
wilson	vilsons	wilson
wilt	gribu	want
wim	wim	wim
wimbledon	vimbldona	wilmbledon
wind	vējš	wind
windows	logi	windows
winkel	veikalā	shop
winkelcentra	iepirkšanās centri	shoppingcentres
winkelcentrum	tirdzniecības centrs	mall
winkelen	veikals	to shop
winkels	veikalos	shops
winkelstraten	iepirkšanās ielas	shopping streets
winnaar	uzvarētājs	winner
winnaars	uzvarētāji	winners
winnen	uzvarēt	win
winning	ieguve	extraction
winst	peļņa	profit
winsten	peļņa	profits
winston	winston	winston
wint	uzvar	wins
winter	ziema	winter
winters	ziemām	winter
wiskunde	matemātika	mathematics
wiskundige	matemātiķis	mathematician
wisselen	slēdzis	change
wisselend	mainīgs	variable
wisselende	mainīgs	changing
wist	zināja	did
wisten	zināja	did
wit	balts	white
with	ar	with
without	bez	without
witrusland	baltkrievija	white russia
witt	baltumi	witt
witte	balts	white
wk	ned	wk
woede	dusmas	anger
woensdag	trešdien	wednesday
woestijn	tuksnesis	desert
woestijnen	tuksneši	deserts
