$	dollar təşkil edib	dollars
хан	xan	khan
ханс	hans	hans
хаос	xaos	chaos
характер	xarakteri	character
характера	xarakteri	the character
характерен	xarakterikdir	charecter
характеризира	səciyyələndirir	characterized
характеризират	xarakterizə etmək	characterized
характеристика	xarakterikdir	characteristic
характеристики	xüsusiyyətləri	characteristics
характерна	xarakterikdir	characteristic
характерните	xarakterikdir	characteristic
характерно	xarakterik	typical
харесва	bəyənir	likes
хари	harri	harry
харкър	harker	harcker
хармония	harmoniya	harmony
харон	charon	charon
хартия	kağız	paper
хасан	hasan	hasan
хасково	haskovo	haskovo
хаус	ev	house
хвърля	atır	throw
хебраистика	i̇brani	hebraistics
хектор	hector	hector
хелий	helium	helium
хематом	hematoma	hematoma
хемингуей	hemingway	hemingway
хемоглобин	hemoglobin	hemoglobin
хемороиди	hemoroid	hemorrhoids
хемус	hemus	hemus
хенри	henri	henry
хепатит	hepatit	hepatitis
хера	hera	hera
хераклит	heraklit	heraclitus
херакъл	herakllar	hercules
херкулес	herakllar	hercules
херман	herman	herman
хермес	hermes	hermes
херодот	herodotus	herodotus
херцеговина	herzegovina	herzegovina
херцог	şahzadə	duke
хетфийлд	papaq	hetfield
хефест	hefest	hephaestus
хив	hiv	aids
хижа	daxma	hut
хил	min	thousands
хилари	hilary	hillary
хилас	hilas	hilas
хилендарски	hilendar	hilendarski (name)
хиляди	minlərlə	thousands
хилядолетие	minillik	millennium
хилядолетия	minilliklər	millenia
химикали	kimyəvi maddələr	chemicals
химиотерапия	kemoterapi	chemotherapy
химичен	kimyəvi	chemical
химическа	kimyəvi	chemical
химическата	kimyəvi	chemical
химически	kimyəvi olaraq	chemical
химична	kimyəvi	chemical
химични	kimyəvi	chemical
химичните	kimyəvi	chemical
химия	kimya	chemistry
химията	kimya	chemistry
химн	himni	anthem
хинаяна	hinayana	hinayana
хипопотамови	hippos	hippopotamidae
хипотеза	fərziyyə	hypothesis
хипотезата	fərziyyə	hypothesis
хипотези	fərziyyələr	hypotheses
хирон	şiron	hiro
хисаря	hearya	hisarya
хит	vurdu	hit
хитлер	hitler	hitler
хитове	vurur	hits
хищници	yırtıcılar	predators
хляб	çörək	bread
хобитът	hobbit	the hobbit
ход	hərəkət etmək	move
хода	kurs	course
ходове	hərəkət edir	moves
ходят	gəzmək	go
холандия	hollandiya	netherlands
холандски	holland	netherlands
холестерол	xolesterol	cholesterol
холивуд	hollywood	hollywood
холокоста	holokost	holocaust
хомеопатични	homeopatik	homeopathic
хомеопатичните	homeopatik	homeopathic
хомеопатия	homeopatiya	homeopathy
хомеопатията	homeopatiya	homophobia
хомосексуални	homoseksual	homosexual
хомосексуалните	homoseksuallar	homosexual
хомосексуалността	homoseksuallıq	homosexuality
хонконг	honq konq	hong kong
хор	xor	choir
хора	xalq	people
хората	xalq	people
хораций	xor	horatius
хореография	xoreoqrafiya	choreography
хоризонта	üfüq	horizon
хормони	hormonlar	hormones
хотел	otel	hotel
хотели	otellər	hotels
хофман	hoffman	hoffmann
храброст	cəsarət	bravery
храм	məbəd	temple
храма	məbəd	temple
храмове	məbədlər	temples
храмът	məbəd	temple
храна	yemək	food
храната	qida	food
хранене	qidalanma	nutrition
храни	yemək	food
хранителната	yemək	food
хранителни	yemək	food
хранителните	yemək	nutritious
хранителновкусова	yemək dadı	food
хранителновкусовата	yemək dadı	food
храносмилателната	həzm	the digestive
хранят	yem	feed
храсти	kollar	oak
христа	məsihin	christ
християни	xristianlar	christians
християнин	xristian	christian
християните	xristianlar	the christians
християнска	xristian	christian
християнската	xristian	christian
християнски	xristian	christian
християнските	xristian	christian
християнския	xristian	christian
християнско	xristian	christianity
християнското	xristian	the christian
християнство	xristianlıq	christianity
християнството	xristianlıq	christianity
христо	məsih	hristo
христов	məsihin	true
христово	məsih	christ
христос	məsih	christ
христофор	kristofer	christopher
хромозома	xromosoma	chromosome
хроника	salnamə	chronicle
хроники	salnamələr	chronicles
хроничен	xroniki	chronic
хронологична	xronoloji	chronological
хронология	xronoloji	chronology
хуан	huan	juan
художествена	bədii	art
художествената	bədii	art
художествени	bədii	art
художник	rəssam	an artist
художници	sənətkarlar	artists
хумор	yumor	humor
хунан	hunan	hunan (area)
хуните	hunlar	huns
хх	xx	twenty
хъдсън	hudson	hudson (name)
хъкълбери	huckleberry	huckleberry (name)
хълм	təpə	hill
хълма	təpə	hill
хълмове	təpələr	hills
хълмовете	təpələr	hills
хънт	ovlamaq	hunt
хърбърт	herbert	herbert
хървати	xoruzlar	croats
хърватия	xorvatiya	croatia
хърватски	xorvat	croatian
хюсеин	hüseyn	hussein
хюстън	houston	houston
цанко	цанко	tsanko
цанков	цанков	tsankov
цар	çar	tsar
царе	padşahlar	kings
царевец	şahzadə	tsarevets
царевица	qarğıdalı	corn
царете	padşahlar	kings
цариград	konstantinopol	istanbul
цариградската	konstantinopol	constantinople
царица	kraliça	queen
царската	kral	king
царски	kral	royal
царското	kral	royal
царства	səltənət	kingdoms
царство	səltənət	kingdom
царството	səltənət	kingdom
царуването	hökmranlıq etmək	the reign / the tzardom
царя	kral	king
царят	kral	king
цвета	rənglər	color
цветан	çiçək	tzvetan
цветни	rənglidir	floral
цветове	rənglər	colors
цветовете	rənglər	colors
цветът	rəng	color
цветя	çiçəklər	flowers
цвят	rəngi	color
цдна	tsdna	cdna (football club)
цезар	sezar	caesar
цел	məqsədi	end
цели	qollar	objectives
целите	qollar	goals
целия	bütün	all
целият	bütün	the whole
целогодишно	bütün il boyu	yearly
целта	məqsəd	finish
