$	dollar təşkil edib	(dollar sign)
tremblement	titrəyir	earthquake
tremblements	sarsıntılar	tremors
trentaine	otuzuncu	30
trente	otuz	thirty
tri	çeşidləmə	sorting
triangle	üçbucaq	triangle
triangles	üçbucaqlar	triangles
tribu	qəbilə	tribe
tribunal	məhkəmə	court
tribunaux	məhkəmələr	tribuneship
tribune	tribunada	platform
tribus	tayfalar	tribes
tricolore	üçrəngli	tricolor
trigonométriques	trigonometrik	trigonometric
trilogie	üçlük	trilogy
trio	üçlük	threesome
triomphe	zəfər	triumph (arch of triumph)
triple	üçlü	triple
troie	troyan	trojan
trois	üç	three
troisième	üçüncü	third
trompette	truba	trumpet
trop	çox	too many
trophée	kubok	trophy
trophées	kuboklar	trophie
tropical	tropik	tropical
trou	çuxur	hole
trouble	dərd	trouble
troubles	dərdlər	illnesses
troupe	qoşun	troop
troupes	qoşunlar	troops
trouvaient	tapdı	found
trouvait	tapdı	found
trouvant	tapmaq	finding
trouve	tapmaq	is
trouvent	tapmaq	found
trouver	tapmaq	find out
trouvera	tapacaq	will find
trouvé	tapdı	found
trouvée	tapdı	found
true	doğrudur	vrai
très	çox	very
trésor	xəzinə	trasure
trêve	barışıq	truce
trône	taxt	throne
tsunami	sunami	tsunami
tsunamis	sunami	tsunami
tu	sən	you
tube	boru	tube
tubercules	kök yumruları	tubercle
tubes	borular	barrel (first occurrence); hits (second occurrence)
tue	öldürmək	kill
tuer	öldürmək	kill
tueur	qatil	killer
tuileries	uşaq evləri	tile
tumeur	şiş	tumor
tunis	tunis	tunis
tunisie	tunis	tunisia
tunisien	tunis	tunisian
tunisienne	tunis	tunisian
tunnel	tunel	tunnel
tupac	tupac	tupac
turc	türk	turk
turcs	türklər	turks
turin	turin	turin
turner	çevirici	turner
turque	türk	turk
turquie	hinduşka	turkey
tutelle	qəyyumluq	guardianship (for 1st) supervision( for2nd) guardianship(for the 3rd)
tué	öldürüldü	killed
tués	öldürüldü	killed
tv	tv	tv
tva	vat	tva
twilight	alacakaranlıq	twilight
twitter	twitter	twitter
two	iki	two
tyler	tyler	tyler
type	növü	type
types	növləri	kinds
typique	tipik	typical
typiquement	adətən	typicaly
typiques	tipik	typical
tâche	tapşırıq	task
tâches	vəzifələr	tasks
télé	tv	tv
téléchargement	yükləyin	download
télécommunications	telekommunikasiya	telecommunications
téléfilm	tv filmi	telefilm
télémaque	telemakus	télémaque
téléphone	telefon	phone
téléphones	telefonlar	phones
téléphonie	telefoniya	telephony
téléphonique	telefon	telephone
téléspectateurs	tamaşaçılar	audience
télévision	televiziya	television
télévisé	televiziya	television
télévisée	televiziya	broadcast
télévisées	televiziya	tv
télévisés	televiziya	on television
témoignage	şəhadət	account
témoignages	ifadələr	testimonials
témoigne	şəhadət verir	reveals
témoignent	şəhadət verin	testify
témoin	şahid	witness
témoins	şahidlər	witnesses
tête	baş	head
têtes	başları	heads
tôt	erkən	soon
tōkyō	tokio	tokyo
u	u	u
ue	eu	eu
uefa	uefa	(acronym for an organization)
uk	uk	uk
ukraine	ukrayna	ukraine
ulrich	ulrix	ulrich
ultimate	son	ultimate
ultime	son	ultimate
ultérieurement	sonradan	subsequently
ulysse	ulysses	ulysses
ump	ump	union for a popular movement
un	a	a
und	und	und
une	a	a
unes	bəzi	one
unforgiven	bağışlanmaz	unforgiven
unies	birləşdi	united
uniforme	forma	uniform
union	birlik	union
unique	bənzərsiz	unique
uniquement	yalnız	uniquely
unis	birləşdi	united
unitaire	unitar	unitary
united	birləşdi	united
unité	birlik	unit
unités	ədəd	units
univers	kainat	universe
universal	universaldır	universal
universe	kainat	universe
universel	universaldır	universal
universelle	universaldır	universal
universitaire	akademik	university
universitaires	alimlər	academics
university	universitet	university
université	universitet	university
universités	universitetlər	universities
uns	bəzi	ones
urbain	şəhər	urban
urbaine	şəhər	urban
urbaines	şəhər	urban
urbains	şəhər	urban
urss	ssri̇	ussr
us	bizi	us
usa	usa	usa
usage	istifadəsi	use
usages	istifadə edir	usages
usine	fabrik	factory
usines	fabriklər	factories
utc+	utc +	utc +
utile	faydalıdır	useful
utiles	faydalıdır	useful
utilisaient	istifadə edirdilər	used
utilisait	istifadə olunur	useddifficulté
utilisant	istifadə edərək	using
utilisateur	istifadəçi	user
utilisateurs	istifadəçilər	users
utilisation	istifadə etmək	usage
utilise	istifadə etmək	use
utilisent	istifadə etmək	use
utiliser	istifadə etmək	use
utilisé	istifadə olunur	uses'
utilisée	istifadə olunur	used
utilisées	istifadə olunur	used
utilisés	istifadə olunur	used
v	v	vs
va	get	will
vacances	tətil	holiday
vaccin	peyvənd	vaccine
vaccination	aşılama	vaccination
vaccins	peyvəndlər	vaccines
vagin	vajina	vagina
vague	dalğa	wave
vagues	dalğalar	waves
vain	boş yerə	vain
vaincre	aşmaq	win over
vaincu	məğlub oldu	beaten
vainqueur	qalib	winner
vainqueurs	qaliblər	winners
vaisseau	gəmi	vessel
vaisseaux	gəmilər	fleets
valable	etibarlıdır	valid
valeur	dəyəri	value
valeurs	dəyərlər	values
valide	etibarlıdır	valide
valjean	valjan	valjean
valley	dərə	valley
vallée	dərə	valley
vallées	dərələr	valley
valoir	dəyərli olmaq	value
valois	valois	valois
valu	dəyər	cost
valéry	valereya	valéry
vampire	vampir	vampire
vampires	vampirlər	vampires
vampirisme	vampirizm	vampirism
van	mikroavtobus	van
vanessa	vanessa	vanessa
vapeur	buxar	vapor
variable	dəyişən	variable
variables	dəyişənlər	variable
variante	variant	variant
variantes	variantlar	variantions
variation	dəyişkənlik	variation
variations	dəyişmələr	variations
varie	dəyişir	changes
varient	dəyişmək	fluctuate
varier	dəyişmək	vary
varié	müxtəlifdir	diversified
variées	müxtəlif	various
variégation	müxtəliflik	discolouration
variés	müxtəlif	various
variété	müxtəliflik	diversity
variétés	növlər	varieties
varsovie	varşava	warsaw
vaste	geniş	large
vastes	geniş	large
vatican	vatikan	vatican
vaut	dəyər	worth
vecteur	vektor	vector
vedette	ulduz	star
vegas	vegas	vegas
veille	ərəfə	previous day / or day before
veine	damar	vein
venait	gəlirdi	just had
venant	gələn	coming
vend	satir	sell
vendre	satmaq	sell
vendredi	cümə	friday
vendu	satilir	best-selling
vendue	satilir	sold
vendus	satilir	sold
venezuela	venesuela	venezuela
vengeance	intiqam	vengeance
venger	intiqam	revenge
venir	gəl	come
venise	venesiya	venise
vent	külək	wind
vente	satış	sale
ventes	satış	sales
ventricule	ventrikül	ventricle
vents	küləklər	winds
venu	gəl	come
venue	gəl	came
venues	gələnlər	from
venus	gəl	venus
verlaine	verlain	verlaine
verne	verne	verne
verra	görəcək	will see
verre	şüşə	glass
vers	tərəfə	verses
versailles	versal	versailles
versets	ayələr	verses
version	versiya	version
versions	versiyaları	versions
vert	yaşıl	green
verte	yaşıl	green
vertical	şaquli	vertical
verts	yaşıl	green
vertu	fəzilət	righteousness
vertus	fəzilətlər	virtues
vertébrés	onurğalılar	vertebrates
vestiges	qalır	remains
veulent	istəmək	want to
veut	istəyir	wants
veuve	dul	widow
vf	vf	vf
vhs	vhs	vhs
vi	vi	6th
via	vasitəsilə	via
vian	vian	vian
viande	ət	meat
viceprésident	vitse-prezident	vice-president
vichy	dişli	vichy
victime	qurban	victim
victimes	qurbanlar	casualties
victoire	qələbə	victorie
victoires	qələbələr	victories
victor	qalib	victor
victoria	qələbə	victoria
victorienne	qalib	victorian
vide	boş	void
video	video	video
vidéo	video	video
vidéos	videolar	videos
vie	həyat	life
vieil	köhnə	old
vieille	köhnə	old
vienne	gəl	vienne
viennent	gəl	come
vient	gəl	come
vierge	bakirə	virgin
vies	yaşayır	lifes
vietnam	vietnam	vietnam
vieux	köhnə	old
vif	canlı	real life situation (for the 1st) intense (for the 2nd) profond(for the 3rd)
vigueur	güc	vigor
vih	hiv	hiv
vii	vii	7th
viii	viii	8 (roman numbers)
vikings	vikinqlər	vikings
villa	villa	villa
village	kənd	village
villages	kəndlər	villages
ville	şəhər	city
villes	şəhərlər	towns
vin	şərab	wine
vince	vince	vince
vincent	vincent	vincent
vinci	vinci	vinci
vingt	iyirmi	twenty
vingtaine	iyirminci	twenty
vingtcinq	iyirmi beş	twenty-five
vingtquatre	iyirmi dörd	twenty four
vins	şərablar	wines
viol	zorlama	rape
violemment	şiddətlə	violently
violence	zorakılıq	violence
violences	zorakılıq	violences
violent	zorakı	violent
violente	zorakı	violent
violentes	zorakı	violent
violents	zorakı	violent
violletleduc	violletleduc	viollet-le-duc
violon	skripka	violin
violoniste	skripkaçı	violinist
virale	viral	viral
virus	virus	virus
vis	yaşamaq	screw
visa	viza	visa
visage	üz	face
visant	məqsədi	to
vise	məqsəd qoyur	aim
visent	məqsədi	aim
visible	görünən	visible
visibles	görünən	visible
vision	görmə	vision
visions	görüntülər	visions
visite	ziyarət	visit
visiter	ziyarət etmək	visit
visites	ziyarətlər	visits
visiteur	qonaq	visitor
visiteurs	qonaqlar	visitors
visité	ziyarət etdi	visited
visuel	əyani	visual
visuelle	əyani	visual
visuels	əyani	visual
vit	yaşayır	live
vital	həyati	vital
vitamine	vitamin	vitamin
vite	sürətli	quick
vitesse	sürət	speed
viva	viva	viva
vivait	yaşadı	lived
vivaldi	vivaldi	vivaldi
vivant	diri	lifetime
vivantes	diri	live
vivants	diri	alive
vive	uzun yaşa	strong
vivement	güclü	deeply
vivent	yaşamaq	live
vives	parlaq	fierce
vivre	yaşamaq	savoir-vive, live
viêt	viet	viet
vlad	vlad	vlad
vladimir	vladimir	vladimir
vocabulaire	lüğət	vocabulary
vocal	vokal	voice
vocation	peşə	vocation
vogue	dəbli	popular
voici	burada	here are
voie	track	way
voient	bax	see
voies	izlər	ways
voile	örtük	sail
voir	bax	see
voire	bax	even
voisin	qonşu	neighboring
voisine	qonşu	neighbour
voisines	qonşular	neighbour
voisins	qonşular	neighbors
voit	bax	seen
voiture	maşın	car
voitures	avtomobillər	cars
voix	səs	voice
vol	oğurluq	flight, volume
volcan	vulkan	volcano
volcanique	vulkanik	volcanic
volcaniques	vulkanik	volcanic
volcanisme	vulkanizm	volcanism
volcans	vulkanlar	volcanos
voldemort	voldemort	voldemort
volet	bağlamaq	section
volleyball	voleybol	volleyball
volontaire	könüllü	volunteer
volontairement	könüllü olaraq	voluntarily
volontaires	könüllülər	volunteers
volontiers	həvəslə	willingly
volonté	edəcək	will
vols	uçuşlar	flights
voltaire	volter	voltaire
volume	həcmi	volume
volumes	cildlər	volumes
volumique	həcmi	volume
von	von	von
vont	get	will
vos	sənin	your
vote	səs verin	vote
voter	səs verin	vote
votre	sənin	your
voté	səs verdi	vote
voudrait	istərdim	wants
voulait	istədi	wanted
voulant	istəyən	wanting
vouloir	istəmək	to want
voulu	istədi	desired
vous	sən	you
voyage	səyahət etmək	travel
voyager	səyahət etmək	travel
voyages	səyahət edir	travels
voyageur	səyyah	traveler
voyageurs	səyahətçilər	travelers  (trafic voyageurs=tourist traffic)
voyait	gördüm	saw
voyant	görən	seeing
voûte	arch	vault
vrai	doğrudur	true
vraie	doğrudur	true
vraiment	həqiqətən	really
vrais	doğrudur	real
vraisemblablement	ehtimal ki	probably
vs	vs	vs
vu	görüldü	seen
vue	görünüşü	to
vues	baxışlar	views
vulve	vulva	vulva
vécu	yaşadı	lived
végétation	bitki örtüyü	vegetation
végétaux	bitkilər	vegetable
véhicule	vasitə	vehicle
véhicules	nəqliyyat vasitələri	vehicles
vélo	velosiped	bike
vénus	venus	venus
vérifier	yoxlamaq	verify
véritable	real	genuine
véritablement	həqiqətən	truly
véritables	real	true
vérité	həqiqət	truth
vêtements	paltar	clothing
w	w	w
wade	wade	wade
walk	gəzmək	walk
wall	divar	wall
wallace	divar divarı	wallace
walt	duz	walt
walter	gəzmək	walter
war	müharibə	war
warhol	warhol	warhol
warner	xəbərdarlıqçı	warner
washington	vaşinqton	washington
waters	sular	water
watson	watson	watson
way	yol	way
wayne	yol	wayne
wcw	wcw	wcw
we	biz	we
weasley	araq	weasly
web	veb	web
weber	usaq	weber
weekend	həftə sonu	week-end
wehrmacht	wehrmacht	wehrmacht
wells	quyular	wells
west	qərb	west
western	qərb	western
westminster	westminster	westminster
what	nə	what
white	ağ	blanc
who	kim	who
width	eni	width
wifi	wifi	wifi
wikipédia	vikipediya	wikipedia
wilde	vəhşi	wilde
wilhelm	vilhelm	wilhelm
will	edəcək	(also man's name)
williams	williams	williams
willis	willis	willis
wilson	wilson	wilson
wimbledon	uimbldon	wimbledon
windows	pəncərələr	windows
winston	winston	winston
with	ilə	with
wolfgang	canavar	wolfgang
wood	odun	wood
woodstock	odunçuluq	wood stock
woody	meşəli	woody
world	dünya	world
wrestlemania	güləşçi	wrestlemania
wright	ayaq	wright
wtc	wtc	wtc
wwe	wwe	wwe
wwf	wwf	wwf
xavier	xavier	xavier
xi	xi	xi
xiii	xiii	xiii
xiv	xiv	14th
xixe	on doqquzuncu	19th
xv	xv	xv
xvi	xvi	xvi
xviie	on yeddinci	xviith
xviii	xviii	xviii
xviiie	18-ci	18th
xx	xx	twentieth
xxe	iyirminci	twentieth century
y	y	there
year	il	year
yeux	gözlər	eyes
yoko	yoko	yoko
york	york	york
you	sən	you
yougoslavie	yuqoslaviya	yougoslavia
young	cavan	young
your	sənin	your
youtube	youtube	youtube
yves	i̇vlər	yves
z	z	z
zeppelin	zeppelin	zeppelin
zeus	zeus	zeus
zidane	zidane	zidane
zinc	sink	zinc
zinedine	zinedine	zinedine
zodiaque	bürc	zodiac
zola	zola	zola
zona	kəklik	zona
zone	sahəsi	zone
zones	zonalar	zones
zurich	sürix	zurich
zénètes	zenets	zenata
zéro	sıfır	zero
|	|	the
 °c	° c	°c
°	°	degree
°c	° c	°c
×	×	x
à	at	to
âge	yaş	age
âges	yaş	age
âgé	yaşlı	aged
âgée	yaşlı	aged
âgées	yaşlı	old
âme	ruh	ame
âmes	canlar	souls
ça	ki	this
ère	dövrü	era
échange	mübadilə	exchange
échanges	mübadilə	trading
échappe	qaçır	avoids
échapper	qaçmaq	escape
échec	uğursuzluq	failure
échecs	şahmat	failures
échelle	nərdivan	scale
écho	əks-səda	echo
échoue	uğursuz olur	failed
échoué	uğursuz oldu	failed
éclairé	maariflənmişdir	enlightened
éclate	partlayışlar	popcorn
école	məktəb	school
écoles	məktəblər	schools
écologie	ekologiya	ecology
écologique	ekoloji	ecological
écologiques	ekoloji	ecological
économie	iqtisadiyyat	economy
économies	qənaət	economies
économique	iqtisadi	economic
économiquement	iqtisadi cəhətdən	economically
économiques	iqtisadi	economics
économistes	iqtisadçılar	economists
écossais	şotlandiya	scottish
écossaise	şotlandiya	eccossaise
écosse	şotland	scotland, country in the northern part of the island of great britain
écosystèmes	ekosistemlər	ecosystems
écouter	qulaq as	listening
écran	ekran	screen
écrans	ekranlar	screens
écrire	yazmaq	write
écrit	yazmaq	written
écrite	yazılıb	written
écrites	yazılıb	written
écrits	yazıları	ecrits
écriture	yazmaq	writing
écritures	ayələr	writings
écrivain	yazıçı	writer
écrivains	yazıçılar	writers
écrivant	yazmaq	writing
écrivit	yazdı	wrote
éd	ed	edition
édifices	binalar	buildings
éditeur	naşir	editor
éditeurs	redaktorları	editors
édith	edith	edith
édition	nəşr	edition
éditions	nəşrlər	editions
édité	redaktə edildi	edited
édouard	edvard	edward
éducatif	təhsil	education
éducation	təhsili	education
égal	bərabərdir	equal
égale	bərabərdir	equal
également	həmçinin	also
égalité	bərabərlik	equality
égard	nəzərə	respect
église	kilsə	church
églises	kilsələr	churches
égypte	misir	egypt
égyptienne	misir	egyptian
égyptiens	misirlilər	egyptian
élaboré	mükəmməl	elabore
électeurs	seçicilər	electors
élection	seçki	election
élections	seçkilər	elections
électoral	seçicidir	electoral
électorale	seçicidir	electoral
électorales	seçicidir	electorales
électricité	elektrik	electricity
électrique	elektrik	electrical
électriques	elektrik	electrical
électromagnétique	elektromaqnit	electromagnetic
électronique	elektron	electronic
électroniques	elektron	electronic
électrons	elektron	electron
élevé	yüksəkdir	high
élevée	yüksəkdir	high
élevées	yüksəkdir	high
élevés	yüksəkdir	high
élimination	aradan qaldırılması	elimination
éliminatoires	pley-off mərhələsi	playoffs
élimine	aradan qaldırmaq	eliminate
éliminer	aradan qaldırmaq	eliminate
éliminé	aradan qaldırıldı	eliminated
élisabeth	elizabet	elizabeth
élites	elitalar	elites
éloigné	uzaq	distant
élu	seçilib	elected
élue	seçilib	elected
élus	seçilib	elected
élution	elüt	(medical term)
élève	tələbə	raises
élèves	tələbələr	students
élément	element	element
élémentaires	ibtidai	elementary
éléments	elementlər	elements
émergent	ortaya çıxmaq	appeared
émet	məsələlər	issued
émetteur	ötürücü	transmitter
émeutes	iğtişaşlar	riots
émile	emile	Émile
émirats	əmirliklər	emirats
émis	verilmişdir	issued
émission	məsələ	issuing
émissions	verilişləri	emissions
émotions	duyğular	feelings
énergie	enerji	energy
énergies	enerjilər	energies
énergétique	enerjili	energetic
énergétiques	enerjili	energy
énorme	nəhəng	huge
énormément	çox böyük	enormously
éolien	külək	eolien
éolienne	külək turbinası	wind turbine
éoliennes	külək turbinləri	wind mills
épidémies	epidemiyalar	epidemics
