+	+ +	plus sign
เรือสำรวจ	জরিপ জাহাজ	survey vessel
เรือเร็วโจมตี	গতির নৌকা আক্রমণ	fast attack craft
เรือใบ	পালতোলা নৌকা	sailboat
เรื่อง	বিষয়	story
เรื่องย่อ	সারসংক্ষেপ	synopsis
เรื่องสั้น	ছোট গল্প	short story
เร้กเก้	রেগে	reggae
เลข	সংখ্যা	mathematics
เลขที่	সংখ্যা	number
เลขาธิการสหประชาชาติ	জাতিসংঘের মহাসচিব মো	united nations secretary-general
เลนส์	লেন্স	lens
เลออน	লিওন	lyon
เลิฟ	ভালবাসা	love
เลือดออกตามไรฟัน	মামড়ি-পড়া	bleeding of the gum
เลโอ	সিংহরাশি	alo
เลโอนาร์โด	লিওনার্দো	leonardo
เล็ก	ছোট	small
เล่ม	বই	book
เล่มที่	বইয়ের নম্বর	volume
เวทีทอง	সোনার মঞ্চ	golden podium
เวล	পর্দার	vail
เวลาประมาณ	আনুমানিক সময়	approximate time
เวสต์	পশ্চিম	west
เวอร์ชัน	সংস্করণ	version
เวอร์โก้	vergo	virgo
เวิร์คพอยท์	workpoint	workpoint company
เวิร์คพอยท์สตูดิโอ	ওয়ার্কপয়েন্ট স্টুডিও	workpoint studio
เวิร์ม	ক্রিমি	worm
เวิลด์	বিশ্ব	world
เวียงสระ	উইয়াং সা	wiang sa
เวียงสา	উইয়াং সা	wiang sa
เวียนเทียนรอบอุโบสถหรือสถูปเจดีย์พุทธสถานต่าง	চ্যাপেল বা প্যাগোডার চারদিকে চক্কর	a thai religious ceremony
เวโรนา	ভেরোনা	verona in italy
เว็บ	ওয়েব	web
เว็บสเตอร์	কারার	webster
เว็บเบราว์เซอร์	ওয়েব ব্রাউজার	web browser
เว็บไซต์ของเกมส์	গেম ওয়েবসাইট	gaming website
เว็บไซต์ซีไอเอ	সিআইএ ওয়েবসাইট	cia website
เว้นวรรค	স্থান	space
เศรษฐกิจพอเพียง	পর্যাপ্ত অর্থনীতি	sufficiency economy
เศรษฐบุตร	sethaputra	settabut - the family that started bus system in thailand
เศรษฐศาสตร์จุลภาค	ব্যষ্টিক অর্থনীতি	microeconomics
เศรษฐศาสตร์มหภาค	ম্যাক্রোইকোনমিক্স	macroeconomics
เสงี่ยม	ভদ্রভাবে	sa-ngiam
เสชนะ	জয়	sechana
เสด็จพระราชสมภพ	রাজকীয় জন্ম	royal birth
เสนอชื่อเข้าชิงและรับรางวัล	মনোনীত করুন এবং একটি পুরষ্কার পান।	nominate and win
เสนา	সেন	sena
เสนาเมือง	সেনা সিটি	senamuang
เสนีวงศ์	সেনি ওয়াং	seniwong
เสน่ห์	কবজ	sanea
เสมอ	সর্বদা	always
เสรี	বিনামূল্যে	seri
เสรีภาพ	স্বাধীনতা	freedom
เสียง	শব্দ	sound
เสียงเปิด	খোলার শব্দ	approximant, semi-vowel
เสียงเสียดแทรก	কাল্পনিক শব্দ	noise
เสือจากัวร์	জাগুয়ার	jaquar
เสื้อครุย	পোশাক	gown
เส้นทแยงมุม	কর্ণ	diagonal
เส้นพุ่ง	লাইন	yarn that is used for weaving
เส้นโค้ง	বাঁক	curve
เส้นใย	তন্তু	polymer, yarn
เหงื่อ	ঘাম	sweat
เหตุการณ์	ঘটনা	situation
เหตุการณ์สำคัญ	গুরুত্বপূর্ণ মুহূর্ত	important event
เหรียญ	পদক	coin
เหรียญกษาปณ์	পুদিনা	coin
เหรียญทอง	স্বর্ণ পদক	gold medal
เหรียญรัตนาภรณ์	রতনপর্ন মুদ্রা	a special thai medallion
เหลือง	হলুদ	yellow
เหลือสมาชิก	বাকী সদস্যরা	members left
เหล็ก	ইস্পাত	iron
เหล่านี้	এইগুলো	these
เหล่าสุนทร	laosonthorn	soontorn group
เห็นภาพลวงตา	মায়া দেখুন	seeing hallucination
เอก	প্রথম	the first tonal marker of thai writing system represented by  '
เอกชน	ব্যক্তিগত	private
เอกซ์	এক্স	x
เอกราช	স্বাধীনতা	sovereignty
เอกวาดอร์	ইকোয়াডর	edwardor
เอกสิทธิ์	সুবিধা	privilege
เอจิเซ็น	echizen	echizen
เอชไอวี	এইচ আই ভি	hiv, human immunodevficiency virus
เอซ	এসেস	letter h
เอตาสีติ	atacati	sesasiti
เอนจิเนียริ่ง	প্রকৌশল	engineering
เอนไซม์	উত্সেচক	enzyme
เอบีซี	অ আ ক খ	abc
เอม	লক্ষ্য	aim - could be a nickname
เอริค	এরিক	eric
เอล	এল	el
เอสปาด้า	espada	eapada
เอสปาด้าตกชั้น	এসপাডা রিলিজড	aspata
เอสเอ็ม	এস এম	sm entertainment from korea
