$	$ $	(dollar sign)
témoin	testigo	witness
témoins	testigos	witnesses
tête	cabeza	head
têtes	cabezas	heads
tôt	pronto	soon
tōkyō	tokio	tokyo
u	tu	u
ue	ue	eu
uefa	uefa	(acronym for an organization)
uk	reino unido	uk
ukraine	ucrania	ukraine
ulrich	ulrich	ulrich
ultimate	ultimo	ultimate
ultime	ultimo	ultimate
ultérieurement	despues	subsequently
ulysse	ulises	ulysses
ump	ump	union for a popular movement
un	un	a
und	und	und
une	un	a
unes	algunos	one
unforgiven	implacable	unforgiven
unies	unidos	united
uniforme	uniforme	uniform
union	unión	union
unique	unico	unique
uniquement	unicamente	uniquely
unis	unidos	united
unitaire	unitario	unitary
united	unidos	united
unité	la unidad	unit
unités	unidades	units
univers	universo	universe
universal	universal	universal
universe	universo	universe
universel	universal	universal
universelle	universal	universal
universitaire	académica	university
universitaires	academia	academics
university	universidad	university
université	universidad	university
universités	universidades	universities
uns	algunos	ones
urbain	urbano	urban
urbaine	urbano	urban
urbaines	urbano	urban
urbains	urbano	urban
urss	urss	ussr
us	nosotros	us
usa	usa	usa
usage	uso	use
usages	usos	usages
usine	fabrica	factory
usines	fábricas	factories
utc+	utc +	utc +
utile	útil	useful
utiles	útil	useful
utilisaient	estaban usando	used
utilisait	usado	useddifficulté
utilisant	utilizando	using
utilisateur	usuario	user
utilisateurs	los usuarios	users
utilisation	usar	usage
utilise	usar	use
utilisent	usar	use
utiliser	usar	use
utilisé	usado	uses'
utilisée	usado	used
utilisées	usado	used
utilisés	usado	used
v	v	vs
va	ir	will
vacances	vacaciones	holiday
vaccin	vacuna	vaccine
vaccination	vacunación	vaccination
vaccins	vacunas	vaccines
vagin	vagina	vagina
vague	agitar	wave
vagues	olas	waves
vain	vano	vain
vaincre	superar	win over
vaincu	derrotado	beaten
vainqueur	ganador	winner
vainqueurs	ganadores	winners
vaisseau	barco	vessel
vaisseaux	vasos	fleets
valable	valido	valid
valeur	valor	value
valeurs	valores	values
valide	valido	valide
valjean	valjean	valjean
valley	valle	valley
vallée	valle	valley
vallées	valles	valley
valoir	valer	value
valois	valois	valois
valu	vale la pena	cost
valéry	valery	valéry
vampire	vampiro	vampire
vampires	vampiros	vampires
vampirisme	vampirismo	vampirism
van	furgoneta	van
vanessa	vanessa	vanessa
vapeur	vapor	vapor
variable	variable	variable
variables	variables	variable
variante	variante	variant
variantes	variantes	variantions
variation	variación	variation
variations	variaciones	variations
varie	varía	changes
varient	variar	fluctuate
varier	variar	vary
varié	variado	diversified
variées	varios	various
variégation	variedad	discolouration
variés	varios	various
variété	variedad	diversity
variétés	variedades	varieties
varsovie	varsovia	warsaw
vaste	vasta	large
vastes	vasta	large
vatican	vaticano	vatican
vaut	vale la pena	worth
vecteur	vector	vector
vedette	estrella	star
vegas	vegas	vegas
veille	víspera	previous day / or day before
veine	vena	vein
venait	venia	just had
venant	viniendo	coming
vend	vende	sell
vendre	vender	sell
vendredi	viernes	friday
vendu	vendido	best-selling
vendue	vendido	sold
vendus	vendido	sold
venezuela	venezuela	venezuela
vengeance	venganza	vengeance
venger	venganza	revenge
venir	ven	come
venise	venecia	venise
vent	viento	wind
vente	venta	sale
ventes	ventas	sales
ventricule	ventrículo	ventricle
vents	vientos	winds
venu	ven	come
venue	ven	came
venues	viene	from
venus	ven	venus
verlaine	verlaine	verlaine
verne	verne	verne
verra	verá	will see
verre	vidrio	glass
vers	hacia	verses
versailles	versalles	versailles
versets	versos	verses
version	version	version
versions	versiones	versions
vert	verde	green
verte	verde	green
vertical	vertical	vertical
verts	verde	green
vertu	virtud	righteousness
vertus	virtudes	virtues
vertébrés	vertebrados	vertebrates
vestiges	permanece	remains
veulent	querer	want to
veut	quiere	wants
veuve	viuda	widow
vf	vf	vf
vhs	vhs	vhs
vi	vi	6th
via	vía	via
vian	vian	vian
viande	carne	meat
viceprésident	vicepresidente	vice-president
vichy	guinga	vichy
victime	victima	victim
victimes	víctimas	casualties
victoire	victoria	victorie
victoires	victorias	victories
victor	vencedor	victor
victoria	victoria	victoria
victorienne	victoriana	victorian
vide	vacio	void
video	video	video
vidéo	video	video
vidéos	videos	videos
vie	la vida	life
vieil	viejo	old
vieille	viejo	old
vienne	ven	vienne
viennent	ven	come
vient	ven	come
vierge	virgen	virgin
vies	vive	lifes
vietnam	vietnam	vietnam
vieux	viejo	old
vif	animado	real life situation (for the 1st) intense (for the 2nd) profond(for the 3rd)
vigueur	forzar	vigor
vih	vih	hiv
vii	vii	7th
viii	viii	8 (roman numbers)
vikings	vikingos	vikings
villa	villa	villa
village	pueblo	village
villages	pueblos	villages
ville	ciudad	city
villes	ciudades	towns
vin	vino	wine
vince	vince	vince
vincent	vincent	vincent
vinci	vinci	vinci
vingt	veinte	twenty
vingtaine	veinte	twenty
vingtcinq	veinticinco	twenty-five
vingtquatre	veinticuatro	twenty four
vins	vinos	wines
viol	violación	rape
violemment	violentamente	violently
violence	violencia	violence
violences	violencia	violences
violent	violento	violent
violente	violento	violent
violentes	violento	violent
violents	violento	violent
violletleduc	violletleduc	viollet-le-duc
violon	violin	violin
violoniste	violinista	violinist
virale	viral	viral
virus	virus	virus
vis	tornillo	screw
visa	visa	visa
visage	cara	face
visant	apuntando	to
vise	objetivos	aim
visent	apuntar	aim
visible	visible	visible
visibles	visible	visible
vision	visión	vision
visions	visiones	visions
visite	visita	visit
visiter	visitar	visit
visites	visitas	visits
visiteur	visitante	visitor
visiteurs	visitantes	visitors
visité	visitado	visited
visuel	visual	visual
visuelle	visual	visual
visuels	visuales	visual
vit	vive	live
vital	vital	vital
vitamine	vitamina	vitamin
vite	rápido	quick
vitesse	velocidad	speed
viva	viva	viva
vivait	vivió	lived
vivaldi	vivaldi	vivaldi
vivant	vivo	lifetime
vivantes	vivo	live
vivants	vivientes	alive
vive	larga vida	strong
vivement	fuertemente	deeply
vivent	vivir	live
vives	brillante	fierce
vivre	vivir	savoir-vive, live
viêt	viet	viet
vlad	vlad	vlad
vladimir	vladimir	vladimir
vocabulaire	vocabulario	vocabulary
vocal	vocal	voice
vocation	vocación	vocation
vogue	de moda	popular
voici	aqui esta	here are
voie	rastrear	way
voient	ver	see
voies	pistas	ways
voile	velo	sail
voir	ver	see
voire	ver	even
voisin	vecino	neighboring
voisine	vecina	neighbour
voisines	vecinos	neighbour
voisins	vecinos	neighbors
voit	ver	seen
voiture	carro	car
voitures	coches	cars
voix	voz	voice
vol	vuelo	flight, volume
volcan	volcán	volcano
volcanique	volcánica	volcanic
volcaniques	volcánica	volcanic
volcanisme	vulcanismo	volcanism
volcans	volcanes	volcanos
voldemort	voldemort	voldemort
volet	persiana	section
volleyball	voleibol	volleyball
volontaire	voluntario	volunteer
volontairement	voluntariamente	voluntarily
volontaires	voluntarios	volunteers
volontiers	de buena gana	willingly
volonté	voluntad	will
vols	vuelos	flights
voltaire	voltaire	voltaire
volume	volumen	volume
volumes	volúmenes	volumes
volumique	volumen	volume
von	von	von
vont	ir	will
vos	tu	your
vote	votar	vote
voter	votar	vote
votre	tu	your
voté	votado	vote
voudrait	quisiera	wants
voulait	quería	wanted
voulant	queriendo	wanting
vouloir	querer	to want
voulu	quería	desired
vous	vosotras	you
voyage	viajar	travel
voyager	viajar	travel
voyages	viaja	travels
voyageur	viajero	traveler
voyageurs	viajeros	travelers  (trafic voyageurs=tourist traffic)
voyait	veía	saw
voyant	vidente	seeing
voûte	arco	vault
vrai	real	true
vraie	cierto	true
vraiment	realmente	really
vrais	cierto	real
vraisemblablement	presumiblemente	probably
vs	vs	vs
vu	visto	seen
vue	ver	to
vues	vistas	views
vulve	vulva	vulva
vécu	vivió	lived
végétation	vegetacion	vegetation
végétaux	plantas	vegetable
véhicule	vehículo	vehicle
véhicules	vehículos	vehicles
vélo	bicicleta	bike
vénus	venus	venus
vérifier	comprobar	verify
véritable	real	genuine
véritablement	genuinamente	truly
véritables	real	true
vérité	verdad	truth
vêtements	ropa	clothing
w	w	w
wade	vadear	wade
walk	caminar	walk
wall	pared	wall
wallace	wallace	wallace
walt	walt	walt
walter	walter	walter
war	la guerra	war
warhol	warhol	warhol
warner	warner	warner
washington	washington	washington
waters	aguas	water
watson	watson	watson
way	camino	way
wayne	wayne	wayne
wcw	wcw	wcw
we	nosotros	we
weasley	weasley	weasly
web	web	web
weber	weber	weber
weekend	fin de semana	week-end
wehrmacht	wehrmacht	wehrmacht
wells	pozos	wells
west	oeste	west
western	occidental	western
westminster	westminster	westminster
what	que	what
white	blanco	blanc
who	quien	who
width	ancho	width
wifi	wifi	wifi
wikipédia	wikipedia	wikipedia
wilde	wilde	wilde
wilhelm	wilhelm	wilhelm
will	voluntad	(also man's name)
williams	williams	williams
willis	willis	willis
wilson	wilson	wilson
wimbledon	wimbledon	wimbledon
windows	ventanas	windows
winston	winston	winston
with	con	with
wolfgang	wolfgang	wolfgang
wood	madera	wood
woodstock	woodstock	wood stock
woody	leñoso	woody
world	mundo	world
wrestlemania	wrestlemania	wrestlemania
wright	wright	wright
wtc	wtc	wtc
wwe	wwe	wwe
wwf	wwf	wwf
xavier	xavier	xavier
xi	xi	xi
xiii	xiii	xiii
xiv	xiv	14th
xixe	decimonoveno	19th
xv	xv	xv
xvi	xvi	xvi
xviie	decimoséptimo	xviith
xviii	xviii	xviii
xviiie	18vo	18th
xx	xx	twentieth
xxe	vigésimo	twentieth century
y	y	there
year	año	year
yeux	ojos	eyes
yoko	yoko	yoko
york	york	york
you	tu	you
yougoslavie	yugoslavia	yougoslavia
young	joven	young
your	tu	your
youtube	youtube	youtube
yves	yves	yves
z	z	z
zeppelin	zeppelin	zeppelin
zeus	zeus	zeus
zidane	zidane	zidane
zinc	zinc	zinc
zinedine	zinedine	zinedine
zodiaque	zodiaco	zodiac
zola	zola	zola
zona	culebrilla	zona
zone	área	zone
zones	zonas	zones
zurich	zurich	zurich
zénètes	zenets	zenata
zéro	cero	zero
|	el |	the
 °c	° c	°c
°	°	degree
°c	° c	°c
×	×	x
à	a las	to
âge	edad	age
âges	edades	age
âgé	edad	aged
âgée	envejecido	aged
âgées	anciano	old
âme	alma	ame
âmes	almas	souls
ça	eso	this
ère	era	era
échange	intercambio	exchange
échanges	intercambios	trading
échappe	escapa	avoids
échapper	escapar	escape
échec	fracaso	failure
échecs	fracasos	failures
échelle	escalera	scale
écho	echo	echo
échoue	falla	failed
échoué	fallado	failed
éclairé	relámpago	enlightened
éclate	explosiones	popcorn
école	escuela	school
écoles	escuelas	schools
écologie	ecologia	ecology
écologique	ecologico	ecological
écologiques	ecologico	ecological
économie	economia	economy
économies	ahorro	economies
économique	economico	economic
économiquement	económicamente	economically
économiques	economico	economics
économistes	economistas	economists
écossais	escocés	scottish
écossaise	escocés	eccossaise
écosse	escocia	scotland, country in the northern part of the island of great britain
écosystèmes	ecosistemas	ecosystems
écouter	escuchar	listening
écran	pantalla	screen
écrans	pantallas	screens
écrire	escribir	write
écrit	escritura	written
écrite	escrito	written
écrites	escrito	written
écrits	escritos	ecrits
écriture	escritura	writing
écritures	escrituras	writings
écrivain	escritor	writer
écrivains	escritores	writers
écrivant	escritura	writing
écrivit	escribió	wrote
éd	ed	edition
édifices	edificios	buildings
éditeur	editor	editor
éditeurs	editores	editors
édith	edith	edith
édition	edicion	edition
éditions	ediciones	editions
édité	editado	edited
édouard	edward	edward
éducatif	educacional	education
éducation	educacion	education
égal	igual	equal
égale	igual	equal
également	tambien	also
égalité	igualdad	equality
égard	respeto	respect
église	iglesia	church
églises	iglesias	churches
égypte	egipto	egypt
égyptienne	egipcio	egyptian
égyptiens	egipcios	egyptian
élaboré	elaborado	elabore
électeurs	votantes	electors
élection	elección	election
élections	elecciones	elections
électoral	electoral	electoral
électorale	electoral	electoral
électorales	electoral	electorales
électricité	electricidad	electricity
électrique	electrico	electrical
électriques	electrico	electrical
électromagnétique	electromagnético	electromagnetic
électronique	electronica	electronic
électroniques	electronica	electronic
électrons	electrones	electron
élevé	alto	high
élevée	alto	high
élevées	alto	high
élevés	alumnos	high
élimination	eliminación	elimination
éliminatoires	playoffs	playoffs
élimine	eliminar	eliminate
éliminer	para eliminar	eliminate
éliminé	eliminado	eliminated
élisabeth	elisabeth	elizabeth
élites	elites	elites
éloigné	distante	distant
élu	elegido	elected
élue	elegido	elected
élus	elegido	elected
élution	elución	(medical term)
élève	estudiante	raises
élèves	alumnos	students
élément	elemento	element
élémentaires	primaria	elementary
éléments	elementos	elements
émergent	emerger	appeared
émet	problemas	issued
émetteur	transmisor	transmitter
émeutes	disturbios	riots
émile	emile	Émile
émirats	emiratos	emirats
émis	emitido	issued
émission	problema	issuing
émissions	transmisiones	emissions
émotions	emociones	feelings
énergie	energía	energy
énergies	energías	energies
énergétique	enérgico	energetic
énergétiques	enérgico	energy
énorme	enorme	huge
énormément	enormemente	enormously
éolien	viento	eolien
éolienne	turbina eólica	wind turbine
éoliennes	aerogeneradores	wind mills
épidémies	epidemias	epidemics
épisode	episodio	episode
épisodes	episodios	episodes
éponyme	epónimo	eponymic
époque	era	age
époques	eras	era
épouse	esposa	marries
époux	esposo	spouse
épreuve	prueba dura	test
épreuves	juicios	tests
éprouve	experiencia	experiences
équilibre	balance	balance
équipe	equipo	team
équipements	equipo	equipments
équipes	equipos	teams
équipé	equipado	equipped
équipés	equipado	equiped
équitable	justo	balanced
équivalent	equivalente	equivalent
équivalente	equivalente	equivalent
éric	eric	éric
érigé	erigido	built
érotique	erotico	erotic
érotiques	erotico	erotic
éruption	erupción	eruption
établi	establecido	established
établie	establecido	established
établies	establecido	established
établir	establecer	establish
établis	establecido	established
établissement	establecimiento	establishment
établissements	establecimientos	etablissement
établit	establece	established
étage	piso	floor
étages	pisos	floors
étaient	fueron	were
était	estaba	was
étant	ser	being
étape	escenario	step
étapes	etapas	stages
état	estado	states
états	estados	states
étatsunis	estados unidos	united states
étendu	extendido	extended
étendue	extensión	extended
étendues	extensiones	increased
éthique	ética	ethical
étienne	etienne	etienne
étoile	estrella	star
étoiles	estrellas	stars
étrange	extraño	strange
étranger	extraño	stranger
étrangers	extranjeros	foreigners/foreign
étrangère	extranjero	foreign
étrangères	extranjeras	foreign
étroite	estrecho	tight
étroitement	de cerca	tightly
