$	dollarni tashkil etadi	dollars
وبحر	va dengiz bilan	and sea
وبحسب	ga ko&#39;ra	according to
وبحلول	muallif:	by coming
وبخاصة	ayniqsa	esspeically
وبدأ	u boshladi	started
وبدأت	boshlandi	started
وبذلك	bu bilan	and with this
وبريطانيا	va britaniya	and britain
وبسبب	va tufayli	and because
وبشكل	va bir tarzda	and in a form
وبصفة	va bir tarzda	characteristic
وبعد	va hali	and after
وبعدها	undan keyin	and then
وبعض	va ba&#39;zi	some
وبعضها	ba&#39;zilar	and some of it
وبعضهم	va ulardan ba&#39;zilari	and some of them
وبقي	u qoldi	and remained
وبقية	va qolganlari	and the rest of
وبقيت	men qolgandim	and remained
وبلاد	va mamlakat	and countries
وبلغ	va urish	reached
وبلغاريا	va bolgariya	and bulgaria
وبلغت	xit	reached
وبما	shu jumladan	and so
وبناء	va quring	and to construct
وبناءً	va konstruktiv ravishda	and according to
وبنى	u qurdi	and he built
وبه	va u bilan	have
وبها	va u bilan	on it
وبهذا	bu bilan	and with this
وبين	va o&#39;rtasida	and between
وبينما	va vaqt	while
وتأتي	va keling	and comes
وتأسيس	va o&#39;rnating	founding
وتاريخ	va sana	and history
وتبادل	va almashish	exchange
وتبلغ	u yetadi	and it reaches
وتتضمن	u o&#39;z ichiga oladi	and it includes
وتتكون	u iborat	is composed
وتتم	va u amalga oshirildi	and it is made
وتتميز	u ajralib turadi	characterized by
وتحت	va ostida	under
وتحتل	va band	and occupies
وتحتوي	va o&#39;z ichiga oladi	and it contains
وتحدث	u gapirdi	happens
وتحديد	va mahkamlash	determine the
وتحسين	va yaxshilang	and improving
وتحقيق	va erishish	and achieving
وتحليل	va tahlil qilish	and analysis
وتحمل	va olib yuring	and bear /  endurance
وتختلف	va farq qiladi	differ
وتربية	va naslchilik	and breeding
وترجمت	va tarjima qilingan	and translated
وترك	va qoldiring	and let go of
وتركيا	va turkiya	turkey
وتستخدم	ishlatilgan	is being used
وتسعين	to&#39;qson	ninety
وتسمى	chaqirildi	and it is named
وتشكل	pardoz	forms
وتشمل	kiriting	and includes
وتشير	va belgilang	and indicates
وتصبح	va bo&#39;ling	become
وتصل	va yuqoriga	reaches
وتضم	u o&#39;z ichiga oladi	and it includes
وتطبيق	va dastur	and practicing
وتطور	bu rivojlandi	and developed
وتطورت	va u rivojlandi	and developed
وتطوير	va rivojlaning	and developing
وتظهر	va ko&#39;rsatish	and appear
وتعالى	qudratli	and his greatness
وتعتبر	hisobga olinadi	and it is considered
وتعتمد	ga bog&#39;liq	depends
وتعد	va tayyorlang	is
وتعرف	va bilasiz	known as
وتعزيز	va reklama	and reinforcing
وتعمل	ishlamoqda	is working
وتعني	bu shuni bildiradiki	and it means
وتعود	va orqaga	and returns
وتعيين	va sozlang	and hiring
وتغطي	va qoplama	and cover
وتقدم	taqdim etiladi	and it presents
وتقع	kuz	and it is located
وتقول	va u aytadi	and said
وتقوم	va asoslangan	do
وتكون	va bo&#39;ling	and formed
وتكوين	va sozlash	and making
وتلك	va o&#39;sha	and that
وتم	va amalga oshirildi	and it is done
وتمت	va amalga oshirildi	was
وتمتد	siqish	and extends
وتمتلك	va egalik qiladi	has
وتمثل	va vakili	presents
وتمكن	u boshqardi	and hides
وتنتج	u ishlab chiqaradi	produce
وتنتشر	va tarqaldi	and spreading
وتنظيم	va tartibga solish	organization
وتنقسم	bo&#39;lingan	and it divides
وتهدف	maqsad	aimed
وتوجد	bu yerda	located
وتوزيع	va tarqatish	and distribution
وتوفي	u o&#39;ldi	passed away
وتولى	u oldi	be in charge of
وتونس	tunis	and tunisia
وتيرة	bosqich	pace
وثائق	hujjatlar	documents
وثائقي	hujjatli	documentary
وثاني	va ikkinchi	second
وثلاثة	va uchta	and three
وثلاثون	o&#39;ttiz	thirty
وثلاثين	o&#39;ttiz	and thirty
وثيقة	hujjat	documented
وجاء	u keldi	and came
وجاءت	u keldi	it came
وجامعة	va universitet	and university
وجبال	va tog&#39;lar	and mountains
وجبل	va o&#39;rnatish	mountain
وجد	topilgan	found
وجدت	topildi	found
وجدير	bu arziydi	it should be
وجزر	va orollar	the islands
وجزيرة	va orol	island
وجعل	va qiling	and made
وجعلها	va qiling	and made it
وجل	yuksak	almighty
وجمع	va to&#39;plang	collect
وجمهورية	va respublika	and the republic
وجميع	va barchasi	and all
وجنوب	va janubiy	and south
وجه	yuz	face
وجهات	belgilangan manzillar	opinions
وجهة	mo‘ljal	point
وجهه	yuzi	against him
وجهها	uning yuzi	her face
وجوب	majburiy	should be
وجود	mavjudlik	existence
وجوده	uning mavjudligi	presence
وجودها	uning mavjudligi	its existence
وجوه	ob&#39;ekt	indication
وجيزة	qisqacha	brief
وحاول	va harakat qilib ko&#39;ring	and tried
وحتى	va hatto	even
وحدات	birliklar	units
وحدة	yolg&#39;iz	union
وحده	yolg&#39;iz	alone
وحدها	yolg&#39;iz	alone
وحركة	va harakat	ad he movement
وحرية	va erkinlik	freedom
وحسب	va shunchaki	according
وحسن	va yaxshi	and good
وحصل	va u oldi	and they got
وحضر	va qatnashdi	came
وحفظ	va tejang	and it protected
وحقوق	va huquqlar	and the rights
وحكم	va hukm	and the rule
وحماية	va himoya qiling	reservation
وحمل	va yuklab oling	and carried
وحول	va haqida	and about
وحي	ilhom	inspiration
وحيث	va qaerda	while
وحيد	yagona	waheed
وحيدة	yolg&#39;iz	solo
وحين	va qachon	when
وخاصة	ayniqsa	particularly
وخاصةً	ayniqsa	especially
وخرج	u chiqdi	and lead to
وخصوصا	ayniqsa	and specially
وخصوصاً	ayniqsa	and especially
وخصوصًا	ayniqsa	especially
وخلال	va orqali	in
وخلفه	va uning orqasida	and followed
وخلق	va yaratish	and created
وخمسين	va ellik	and fifty
ودار	va uy	home
ودخل	va kirdi	and entered
ودراسة	va o&#39;rganish	study
ودرجة	va daraja	and temperature
ودرس	u o&#39;qidi	and studied
ودعا	chaqirildi	claim
ودعت	u qo&#39;ng&#39;iroq qildi	and called for
ودعم	va qo&#39;llab-quvvatlash	and support
ودفن	va ko&#39;milgan	he was buried
ودمشق	va damashq	damascus
ودور	va roli	houses
ودول	va mamlakatlar	and countries
ودولة	va mamlakat	country
ودون	va holda	and he wrote
وذكر	u zikr qildi	and said
وذلك	va bu	and that
وذهب	va u ketdi	and went
ورأى	va ko&#39;rdim	and saw
ورئيس	va bosh	chief
وراء	orqasida	beyond
وراثيا	genetik jihatdan	genetically
وراح	va u ketdi	started
وربما	va, ehtimol	and maybe
ورجال	va erkaklar	and men
ورد	gul	and returning
وردة	atirgul	warda
وردت	qabul qildi	there are
ورغم	garchi	and even
ورفض	u rad etdi	and refused
ورفع	va ko&#39;taring	and raising
ورق	qog&#39;oz	paper
ورقة	varaq	paper
وروسيا	va rossiya	and russia
وزاد	va oshdi	and added
وزارة	vazirlik	ministry
وزراء	vazirlar	ministers
وزن	og&#39;irligi	mass
وزوجته	va uning xotini	and his wife
وزيادة	va boshqalar	increase
وزيت	va yog &#39;	oil
وزير	vazir	minister
وسائر	va barchasi	and other
وسائل	degan ma&#39;noni anglatadi	means
وساعد	bu yordam berdi	and helped
وسام	wissam	medal
وسبب	va sabab	and the cause
وسرعان	va hokazo	and soon
وسط	markaz	middle
وسقوط	va tushish	breakdown
وسلم	uni	peace be upon him
وسميت	bu chaqirildi	was named
وسوريا	va suriya	syria
وسوق	va bozor	and market
وشبه	va o&#39;xshashlik	and like
وشرح	va tushuntiring	explane
وشرق	va sharqda	and east
وشركة	va kompaniya	company
وشمال	shimoliy	and north of
وشهد	va ko&#39;rdim	saw
وشهدت	va ko&#39;rdim	have seen
وصار	va u bo&#39;ldi	become
وصدر	va ozod qilindi	was published
وصف	ta&#39;rif bering	described
وصفاته	uning fazilatlari	his traits/manner
وصفه	retsept	describe it
وصل	yetib keling	reached
وصلات	havolalar	links
وصلت	yetdi	reached
وصلوا	yetib keldi	reached
وصناعة	va sanoat	and manufacture
وصنع	va qilish	and made
وصول	kirish	arrival
وصوله	kelish	arrival
وصية	iroda	commandment
وضرب	va urish	and writing
وضع	qo&#39;yish	put
وضعت	ishlab chiqilgan	put
وضعف	zaiflik	weakness
وضعها	uni qo&#39;ying	placed
وطرق	va yo&#39;llar	ways
وطريق	va yo&#39;l	and the way
وطريقة	va usul	and the method
وطلب	- deb so‘radi u	he asked
وطن	vatan	country
وطني	milliy	national
وطنية	vatanparvarlik	national
وظائف	ishga qabul qilish	jobs
وظل	va saqlandi	remained
وظلت	u qoldi	and remained
وظهر	u paydo bo&#39;ldi	appeared
وظهرت	bu paydo bo&#39;ldi	and appeared
وظهور	va tashqi ko&#39;rinishi	appearance
وظيفة	ish	position
وعاد	u qaytib keldi	and returned
وعادة	va odatda	usually
وعاش	u yashagan	and lived
وعاصمتها	va uning sarmoyasi	it's capital
وعبد	va qul	and abd
وعبر	va bo&#39;ylab	and crossed
وعد	va&#39;da	promise
وعدد	va bir qator	and the number of
وعددها	va uning soni	and her numbers are
وعدم	va bo&#39;lmaslik	and not
وعرض	u tanishtirdi	propose
وعرف	u bilar edi	known
وعرفت	men bilardim	and it knows
وعشرون	yigirma	and twenty
وعشرين	va yigirma	and twenty
وعضو	va a&#39;zo	and a member
وعقد	va ushlab turing	and contracted
وعلاوة	bundan tashqari	in addition
وعلم	va bilish	science
وعلماء	va olimlar	and scientists
وعلوم	va fanlar	and sciences
وعلى	va yana	over
وعلي	va yana	and ali
وعليه	va ustiga	and based on it
وعمر	va umar	and omar
وعن	va haqida	and of
وعند	va da	and with
وعندها	undan keyin	and then
وعين	u tayinladi	eye
وغالبا	va ko&#39;pincha	and often
وغالباً	va ko&#39;pincha	mostly
وغالبًا	va ko&#39;pincha	and usually
وغرب	va g&#39;arbda	west
وغير	va boshqalar	none
وغيره	va boshqalar	and other
وغيرها	va boshqalar	and other than it
وغيرهم	va boshqalar	and others
وفاة	o&#39;lim	death
وفاته	u o&#39;ldi	decease
وفاتها	u vafot etdi	her demise
وفتح	va oching	and open
وفد	delegatsiya	delegation
وفر	tejash	save
وفرة	mo&#39;l-ko&#39;llik	abundance
وفرنسا	va frantsiya	and france
وفق	ga ko&#39;ra	according
وفقا	ko&#39;ra	in accordance
وفقاً	ko&#39;ra	according
وفقًا	ko&#39;ra	in accordance
وفلسطين	va falastin	palestine
وفنلندا	finlyandiya	and finland
وفى	bajarilgan	and in
وفي	va ichkariga	and in
وفيما	bilan	and in the
وفيه	va unda	and in it
وفيها	va unda	it contain
وقائع	faktlar	the facts
وقاد	va olib keldi	and lead
وقال	va u aytdi	and said
وقالت	- dedi u	and it said
وقالوا	va ular aytishdi	and they said
وقام	u o&#39;rnidan turdi	and he
وقامت	u qildi	did
وقاموا	va ular o&#39;rnidan turishdi	they have done
وقبل	va undan oldin	and before
وقت	vaqt	a time
وقتل	o&#39;ldirilgan	and killed
وقته	uning vaqti	his time
وقتها	vaqt bo&#39;ldi	and then
وقد	bo&#39;lgan	and it
وقدم	u berdi	and offered
وقرر	va qaror qildim	decided
وقصر	saroy	and palace
وقطاع	va tasma	sector
وقطر	va qatar	qatar
وقطع	va kesing	and cutting
وقع	imzolangan	fell
وقعت	bo‘ldi	take place
وقف	turgan	stopped
وقلة	va oz	and lack of
وقوة	va kuch	strength
وقود	yoqilg&#39;i	fuel
وقوع	vujudga kelishi	incidence
وقيل	aytilgan edi	and it is said
وكأنه	yoqadi	as if
وكالات	agentliklar	agencies
وكالة	agentlik	agency
وكان	va bo&#39;ldi	then
وكانت	va u edi	and it was
وكانوا	va ular edi	and they used to
وكتاب	va kitob	and book
وكتب	u yozgan	write
وكثير	va juda ko&#39;p	and many
وكثيرا	va juda ko&#39;p	frequently
وكذا	va shunday	and
وكذلك	va shuningdek	and also
وكرة	to&#39;p	ball
وكل	va barchasi	every
وكلاهما	ikkalasi ham	and both
وكلما	va qachon	and whenever
وكلمة	va so&#39;z	wodr
وكلها	va ularning hammasi	and all of them
وكما	va kabi	and as
وكندا	va kanada	canada
وكنيسة	va cherkov	and church
وكوريا	va koreya	and korea
وكيف	va qanday	and how
ولأن	va chunki	because
ولا	nor	and does not
ولاة	hokimlar	rule
ولادة	tug&#39;ilish	birth
ولادته	uning tug&#39;ilishi	his birth
ولاسيما	ayniqsa	never the less
ولايات	shtatlar	states
ولاية	davlat	province
ولايته	uning vakolati	his rule
ولبنان	va livan	libanon
ولد	bola	son
ولدت	men tug&#39;ilganman	born for
ولده	o&#39;g&#39;li	his son
ولدى	va menda bor	for
ولديه	va bor	and he has
ولذا	shuning uchun	so that
ولذلك	shuning uchun	and so
ولعل	ehtimol	and i hope
ولعلّ	ehtimol	perhaps
ولغة	va til	and language
ولقب	va unvon	and was surnamed
ولقد	va menda bor	and then
ولكل	va har biri uchun	for each
ولكنه	ammo shunday	but it is
ولكنها	ammo shunday	but she
ولكنهم	ammo ular bor	but they
ولكي	va uchun	and so that
ولم	va qilmadi	not
ولما	va nima uchun	to what
ولمّا	nima uchun?	when
وله	va u uchun	has
ولها	va u	and it has
ولهذا	buning uchun	and for this
ولو	hatto	and even if
ولي	vasiy	assigned
وليام	uilyam	william
وليبيا	va liviya	and libya
وليد	baland	born baby
وليس	emas	and not
وليست	yo&#39;q	and not
وليلة	va bir kecha	and night
وليم	uilyam	wiliam
وما	gestulyat	and as
وماض	o&#39;tmish	flashlight
ومثل	va shunga o&#39;xshash	like
ومجلس	va taxta	and council
ومجموعة	va bir guruh	and a group
ومحاولة	va harakat qilib ko&#39;ring	and an attempt
ومحمد	va muhammad	mohammad
ومدرسة	va maktab	school
ومدى	va qanchalik uzoq	how much
ومدينة	va shahar	town
ومراجع	va ma&#39;lumotnomalar	references
ومراكز	va markazlar	centers
ومركز	va markaz	and the center
ومسجد	va masjid	and mosque
ومسلم	va musulmon	and muslim
ومصر	va misr	and egypt
ومع	va bilan	and with
ومعرفة	va bilib oling	and the knowledge
ومعظم	va ko&#39;pchilik	and most
ومعناها	va uning ma&#39;nosi	and they mean
ومعه	va u bilan	and with him
ومكان	joy	and the place
ومما	va nimadan	and from what
