$	$ $	dollars
وبلغاريا	y bulgaria	and bulgaria
وبلغت	golpear	reached
وبما	incluyendo	and so
وبناء	y construir	and to construct
وبناءً	y constructivamente	and according to
وبنى	el construyo	and he built
وبه	y con eso	have
وبها	y con eso	on it
وبهذا	con esto	and with this
وبين	y entre	and between
وبينما	y mientras	while
وتأتي	y ven	and comes
وتأسيس	y establecer	founding
وتاريخ	y fecha	and history
وتبادل	e intercambio	exchange
وتبلغ	alcanza	and it reaches
وتتضمن	incluye	and it includes
وتتكون	consiste	is composed
وتتم	y esta hecho	and it is made
وتتميز	se distingue	characterized by
وتحت	y debajo	under
وتحتل	y ocupado	and occupies
وتحتوي	y contener	and it contains
وتحدث	el hablo	happens
وتحديد	y arreglando	determine the
وتحسين	y mejorar	and improving
وتحقيق	y lograr	and achieving
وتحليل	y análisis	and analysis
وتحمل	y llevar	and bear /  endurance
وتختلف	y difieren	differ
وتربية	y la cría	and breeding
وترجمت	y traducido	and translated
وترك	y dejar	and let go of
وتركيا	y turquía	turkey
وتستخدم	son utilizados	is being used
وتسعين	noventa	ninety
وتسمى	se llama	and it is named
وتشكل	maquillaje	forms
وتشمل	incluir	and includes
وتشير	e indicar	and indicates
وتصبح	y convertirse	become
وتصل	y hasta	reaches
وتضم	incluye	and it includes
وتطبيق	y la aplicación	and practicing
وتطور	se desarrolló	and developed
وتطورت	y evolucionó	and developed
وتطوير	y desarrollar	and developing
وتظهر	y mostrar	and appear
وتعالى	todopoderoso	and his greatness
وتعتبر	son considerados	and it is considered
وتعتمد	depende	depends
وتعد	y preparar	is
وتعرف	y tu sabes	known as
وتعزيز	y promoción	and reinforcing
وتعمل	funciona	is working
وتعني	significa	and it means
وتعود	y de vuelta	and returns
وتعيين	y establecer	and hiring
وتغطي	y cubriendo	and cover
وتقدم	se proporciona	and it presents
وتقع	caer	and it is located
وتقول	y ella dice	and said
وتقوم	y basado	do
وتكون	y ser	and formed
وتكوين	y configurar	and making
وتلك	y esos	and that
وتم	y se hizo	and it is done
وتمت	y se hizo	was
وتمتد	estiramiento	and extends
وتمتلك	y posee	has
وتمثل	y representar	presents
وتمكن	se las arregló	and hides
وتنتج	produce	produce
وتنتشر	y difundir	and spreading
وتنظيم	y regulación	organization
وتنقسم	dividido	and it divides
وتهدف	apuntar	aimed
وتوجد	hay	located
وتوزيع	y distribución	and distribution
وتوفي	el murio	passed away
وتولى	el tomo	be in charge of
وتونس	y túnez	and tunisia
وتيرة	ritmo	pace
وثائق	documentos	documents
وثائقي	documental	documentary
وثاني	y el segundo	second
وثلاثة	y tres	and three
وثلاثون	treinta	thirty
وثلاثين	treinta	and thirty
وثيقة	cerrar	documented
وجاء	el vino	and came
وجاءت	ella vino	it came
وجامعة	y universidad	and university
وجبال	y montañas	and mountains
وجبل	y montar	mountain
وجد	encontrado	found
وجدت	encontrado	found
وجدير	vale la pena	it should be
وجزر	e islas	the islands
وجزيرة	y una isla	island
وجعل	y hacer	and made
وجعلها	y hazlo	and made it
وجل	exaltado	almighty
وجمع	y recoger	collect
وجمهورية	y una republica	and the republic
وجميع	y todo	and all
وجنوب	y sur	and south
وجه	cara	face
وجهات	destinos	opinions
وجهة	destino	point
وجهه	su cara	against him
وجهها	su cara	her face
وجوب	es obligatorio	should be
وجود	presencia	existence
وجوده	su presencia	presence
وجودها	su presencia	its existence
وجوه	objeto	indication
وجيزة	breve	brief
وحاول	e intenta	and tried
وحتى	e incluso	even
وحدات	unidades	units
وحدة	unidad	union
وحده	solo	alone
وحدها	solo	alone
وحركة	y movimiento	ad he movement
وحرية	y libertad	freedom
وحسب	y solo	according
وحسن	y bueno	and good
وحصل	y él consiguió	and they got
وحضر	y atendido	came
وحفظ	y guardar	and it protected
وحقوق	y derechos	and the rights
وحكم	y juicio	and the rule
وحماية	y proteger	reservation
وحمل	y descargar	and carried
وحول	y sobre	and about
وحي	inspirado	inspiration
وحيث	y donde	while
وحيد	solo	waheed
وحيدة	solo	solo
وحين	y cuando	when
وخاصة	especialmente	particularly
وخاصةً	especialmente	especially
وخرج	y salió	and lead to
وخصوصا	especialmente	and specially
وخصوصاً	especialmente	and especially
وخصوصًا	especialmente	especially
وخلال	y a través de	in
وخلفه	y detras	and followed
وخلق	y crear	and created
وخمسين	y cincuenta	and fifty
ودار	y casa	home
ودخل	y entró	and entered
ودراسة	y estudiar	study
ودرجة	y grado	and temperature
ودرس	estudió	and studied
ودعا	llamado	claim
ودعت	ella llamó	and called for
ودعم	y apoyo	and support
ودفن	y enterrado	he was buried
ودمشق	y damasco	damascus
ودور	y papel	houses
ودول	y países	and countries
ودولة	y el pais	country
ودون	y sin	and he wrote
وذكر	mencionó	and said
وذلك	y eso	and that
وذهب	y se fue	and went
ورأى	y vio	and saw
ورئيس	y cabeza	chief
وراء	detras	beyond
وراثيا	genéticamente	genetically
وراح	y se fue	started
وربما	y tal vez	and maybe
ورجال	y hombres	and men
ورد	palabra	and returning
وردة	una rosa	warda
وردت	recibido	there are
ورغم	aunque	and even
ورفض	se negó	and refused
ورفع	y elevar	and raising
ورق	papel	paper
ورقة	papel	paper
وروسيا	y rusia	and russia
وزاد	y aumentó	and added
وزارة	ministerio	ministry
وزراء	ministros	ministers
وزن	peso	mass
وزوجته	y su esposa	and his wife
وزيادة	y más	increase
وزيت	y aceite	oil
وزير	ministro	minister
وسائر	y todos los demás	and other
وسائل	significa	means
وساعد	ayudó	and helped
وسام	decoracion	medal
وسبب	y una razon	and the cause
وسرعان	y pronto	and soon
وسط	medio	middle
وسقوط	y caer	breakdown
وسلم	el	peace be upon him
وسميت	fue llamado	was named
وسوريا	y siria	syria
وسوق	y mercado	and market
وشبه	y semejanza	and like
وشرح	y explicar	explane
وشرق	y este	and east
وشركة	y compañia	company
وشمال	norte	and north of
وشهد	y vio	saw
وشهدت	y vio	have seen
وصار	y se convirtió	become
وصدر	y lanzado	was published
وصف	descripción	described
وصفاته	sus atributos	his traits/manner
وصفه	su descripcion	describe it
وصل	llegado	reached
وصلات	enlaces	links
وصلت	ha llegado	reached
وصلوا	llegaron	reached
وصناعة	y la industria	and manufacture
وصنع	hecho	and made
وصول	acceso	arrival
وصوله	llegada	arrival
وصية	voluntad	commandment
وضرب	y golpear	and writing
وضع	lugar	put
وضعت	colocado	put
وضعف	debilidad	weakness
وضعها	ponlo abajo	placed
وطرق	y formas	ways
وطريق	y un camino	and the way
وطريقة	y método	and the method
وطلب	pregunto	he asked
وطن	patria	country
وطني	mi patria	national
وطنية	patriotismo	national
وظائف	trabajos	jobs
وظل	y mantuvo	remained
وظلت	ella permaneció	and remained
وظهر	apareció	appeared
وظهرت	apareció	and appeared
وظهور	y apariencia	appearance
وظيفة	trabajo	position
وعاد	el regreso	and returned
وعادة	y usualmente	usually
وعاش	el vivio	and lived
وعاصمتها	y su capital	it's capital
وعبد	y esclavo	and abd
وعبر	y al otro lado	and crossed
وعد	promesa	promise
وعدد	y un numero	and the number of
وعددها	y su numero	and her numbers are
وعدم	y no ser	and not
وعرض	introdujo	propose
وعرف	el sabia	known
وعرفت	yo sabia	and it knows
وعشرون	veinte	and twenty
وعشرين	y veinte	and twenty
وعضو	y miembro	and a member
وعقد	y espera	and contracted
وعلاوة	por otra parte	in addition
وعلم	y sabiendo	science
وعلماء	y estudiosos	and scientists
وعلوم	y ciencias	and sciences
وعلى	y en	over
وعلي	y ali	and ali
وعليه	y en eso	and based on it
وعمر	y omar	and omar
وعن	y sobre	and of
وعند	y en	and with
وعندها	y luego	and then
وعين	el nombró	eye
وغالبا	y a menudo	and often
وغالباً	y a menudo	mostly
وغالبًا	y a menudo	and usually
وغرب	y al oeste	west
وغير	y mas	none
وغيره	y mas	and other
وغيرها	y otros	and other than it
وغيرهم	y otros	and others
وفاة	muerte	death
وفاته	el murio	decease
وفاتها	ella murio	her demise
وفتح	y abierto	and open
وفد	delegación	delegation
وفر	guardar	save
وفرة	abundancia	abundance
وفرنسا	y francia	and france
وفق	de acuerdo	according
وفقا	de acuerdo	in accordance
وفقاً	de acuerdo	according
وفقًا	de acuerdo	in accordance
وفلسطين	y palestina	palestine
وفنلندا	finlandia	and finland
وفى	cumplido	and in
وفي	y en	and in
وفيما	con	and in the
وفيه	y en ella	and in it
وفيها	y en ella	it contain
وقائع	hechos	the facts
وقاد	y llevado	and lead
وقال	el dijo	and said
وقالت	y ella dijo	and it said
وقالوا	y ellos dijeron	and they said
وقام	el se levanto	and he
وقامت	ella hizo	did
وقاموا	y se levantaron	they have done
وقبل	y antes	and before
وقت	tiempo	a time
وقتل	fue asesinado	and killed
وقته	su tiempo	his time
وقتها	su tiempo	and then
وقد	ha sido	and it
وقدم	el dio	and offered
وقرر	y decidido	decided
وقصر	un palacio	and palace
وقطاع	y tira	sector
وقطر	y qatar	qatar
وقطع	y cortar	and cutting
وقع	ocurrió	fell
وقعت	ocurrió	take place
وقف	para	stopped
وقلة	y pocos	and lack of
وقوة	y fuerza	strength
وقود	combustible	fuel
وقوع	ocurrencia	incidence
وقيل	fue dicho	and it is said
وكأنه	me gusta	as if
وكالات	agencias	agencies
وكالة	agencia	agency
وكان	y fue	then
وكانت	y ella era	and it was
وكانوا	y fueron	and they used to
وكتاب	y un libro	and book
وكتب	el escribio	write
وكثير	y muchos	and many
وكثيرا	y mucho	frequently
وكذا	y tal	and
وكذلك	y tambien	and also
وكرة	una pelota	ball
وكل	y todo	every
وكلاهما	ambos son	and both
وكلما	y cuando sea	and whenever
وكلمة	y una palabra	wodr
وكلها	y todos ellos	and all of them
وكما	y como	and as
وكندا	y canadá	canada
وكنيسة	y una iglesia	and church
وكوريا	y corea	and korea
وكيف	y como	and how
ولأن	y porque	because
ولا	y no	and does not
ولاة	gobernadores	rule
ولادة	nacimiento	birth
ولادته	su nacimiento	his birth
ولاسيما	especialmente	never the less
ولايات	estados	states
ولاية	mandato	province
ولايته	su mandato	his rule
ولبنان	y el líbano	libanon
ولد	chico	son
ولدت	yo naci	born for
ولده	su hijo	his son
ولدى	yo tengo uno	for
ولديه	y tiene dos	and he has
ولذا	por lo tanto	so that
ولذلك	por lo tanto	and so
ولعل	quizás	and i hope
ولعلّ	quizás	perhaps
ولغة	y el lenguaje	and language
ولقب	y titulo	and was surnamed
ولقد	y tengo	and then
ولكل	y para cada	for each
ولكنه	pero es	but it is
ولكنها	pero es	but she
ولكنهم	pero ellos son	but they
ولكي	y para	and so that
ولم	y no	not
ولما	y porque	to what
ولمّا	porque	when
وله	y para el	has
ولها	y ella	and it has
ولهذا	para esto	and for this
ولو	incluso	and even if
ولي	y yo	assigned
وليام	william	william
وليبيا	y libia	and libya
وليد	walid	born baby
وليس	no es	and not
وليست	no	and not
وليلة	y una noche	and night
وليم	william	wiliam
وما	y que	and as
وماض	pasado	flashlight
ومثل	y como	like
ومجلس	y junta	and council
ومجموعة	y un grupo	and a group
ومحاولة	e intenta	and an attempt
ومحمد	y mahoma	mohammad
ومدرسة	y una escuela	school
ومدى	y cuan lejos	how much
ومدينة	y ciudad	town
ومراجع	y referencias	references
ومراكز	y centros	centers
ومركز	y centro	and the center
ومسجد	y una mezquita	and mosque
ومسلم	y musulmán	and muslim
ومصر	y egipto	and egypt
ومع	y con	and with
ومعرفة	y descubrir	and the knowledge
ومعظم	y la mayoría	and most
ومعناها	y su significado	and they mean
ومعه	y con el	and with him
ومكان	un lugar	and the place
ومما	y de que	and from what
ومملكة	y un reino	and kingdom
ومن	es	from
ومناطق	y regiones	places
ومنذ	y desde	and since
