$	dollarni tashkil etadi	(dollar sign)
sauvetage	qutqarish	rescue
sauvé	xavfsiz	saved
savait	bilar edi	knew
savant	o&#39;rgangan	learned
savants	olimlar	scholars
savent	biling	know
savoie	savoy	savoie
savoir	biling	that is
savère	isbotlaydi	if proven
saône	saone	saône
scandale	janjal	scandal
scandinaves	skandinaviyalik	scandinavians
sceau	muhr	seal
sceaux	muhrlar	seal
schengen	shengen	schengen
schizophrénie	shizofreniya	schizophrenia
schneider	shnayder	schneider
school	maktab	school
schwarzenegger	schwarzenegger	schwarzenegger
schéma	diagrammasi	scheme
science	fan	science
sciencefiction	ilmiy fantastika	scifi
sciences	fan	science
scientifique	olim	scientific
scientifiques	olimlar	scientists
scolaire	maktab	academic
scolaires	maktab	scolar
scolarité	maktabda o&#39;qish	schooling
score	hisob	score
scott	skott	scott
screen	ekrani	screen
script	skript	script
scrubs	sharflar	scrubs
scrutin	ovoz berish	ballot
sculpteur	haykaltarosh	sculpture
sculpture	haykal	sculpture
sculptures	haykallar	sculptures
scène	sahna	scene
scènes	sahnalar	scenes
scénario	stsenariy	scenario
scénarios	stsenariylari	scenarios
scénariste	ssenariy muallifi	scenarist
scénaristes	yozuvchilar	screenwriters
se	olish	oneself
sean	dengiz	sean
seattle	sietl	seattle
sebastian	sebastian	sebastian
sec	quruq	dry
second	ikkinchi	second
secondaire	ikkilamchi	middle school
secondaires	ikkilamchi	secondary
seconde	ikkinchi	second
secondes	soniya	seconds
secours	qutqarish	help / safety
secret	sir	secret
secrets	sirlari	secrets
secrète	sir	secretes
secrètement	yashirincha	secretly
secrétaire	kotib	secretary
secs	quruq	dry
secteur	sektor	sector
secteurs	sektorlar	sectors
section	bo&#39;lim	section
sections	bo&#39;limlar	sections
seffectue	ijro etadi	is carried out
sefforce	intiladi	shall endeavour
segment	segment	segment
segments	segmentlar	segments
seigneur	rabbim	lord
seigneurs	lordlar	lords
sein	ko&#39;krak	within
seine	seine	seine
seize	o&#39;n olti	sixteen
sel	tuz	salt
selon	ga ko&#39;ra	according to
semaine	hafta	week
semaines	hafta	weeks
semblable	o&#39;xshash	similar
semblables	bir xil	similar
semblait	tuyuldi	seemed
semble	ko&#39;rinadi	seems to
semblent	ko&#39;rinadi	seem
semblerait	ko&#39;rinadi	would seem
sempare	tayyorlamoq	take possession
semparer	ushlamoq	take over
sen	sen	of it
sengage	topshiradi	join up
sengager	qilmoq	sengager
sens	ma&#39;nosi	meaning
sensation	sensatsiya	sensations
sensations	sensatsiyalar	sensations
sensibilité	sezgirlik	circulent
sensible	sezgir	sensitive
sensiblement	sezilarli darajada	sensibly
sensibles	sezgir	sensitive
sensuit	hissiy	then
sent	hidlaydi	feel
sentiment	tuyg&#39;u	feeling
sentiments	tuyg&#39;ular	sentiments
sentir	his qilmoq	feel
sept	yetti	seven
septembre	sentyabr	september
septième	ettinchisi	seventh
sera	bo&#39;ladi	will be
seraient	bo&#39;lardi	would
serait	bo&#39;lardi	will be
serbe	serb	serbian
serbes	serb	serbians
serbie	serbiya	serbia
serge	serj	serge
series	qator	series
serment	qasam	serment
seront	irodasi	will
serpent	ilon	snake
serre	qattiq	greenhouse
sert	xizmat qiladi	is used
servant	xizmat qiladi	being used
servent	xizmat qilish	are used
serveur	server	server
serveurs	ofitsiantlar	servers
servi	xizmat qildi	served
service	xizmat	service
services	xizmatlar	services
servir	hizmat qilmoq	serve as
ses	uning	his
session	sessiya	session
sessions	sessiyalar	sessions
sest	uning	is oneself
set	o&#39;rnatildi	set
sets	to&#39;plamlar	sets
seuil	pol	threshold
seul	faqat	alone
seule	yolg&#39;iz	the only
seulement	faqat	only
seules	yolg&#39;iz	alone
seuls	yolg&#39;iz	only
sex	jinsi	sex
sexe	jinsi	gender
sexes	jinsi	gender
sexplique	tushuntiradi	explains
sexprime	jinsiy aloqa	express oneself
sexprimer	gapiring	to express
sexualité	shahvoniylik	sexuality
sexuel	jinsiy	sexual
sexuelle	jinsiy	sexual
sexuelles	jinsiy	sexuals
sexuels	jinsiy	sexual
sgt	sgt	sgt
shah	shah	shah
shakespeare	shekspir	(name)
shakur	shakur	shakur
shanghai	shangxay	shanghai
shawn	baqirish	shawn
sherlock	sherlock	sherlock
shippuden	shippuden	shippuden
shippūden	shippūden	shippuden
shoah	shox	holocaust
shows	namoyishlari	show
shâh	shah	shah
si	agar	you
sicile	sitsiliya	sicilia
sida	oits	sida
side	tomoni	side
sierra	siyra	sierra
sigmund	sigmund	sigmud
signal	signal	signal
signaler	hisobot	point out
signature	imzo	signature (and signing)
signaux	signallari	signals
signe	belgisi	signs
signent	belgisi	sign
signer	belgisi	sign
signes	belgilari	signs
signifiant	bildiruvchi	meaning
significatif	ahamiyatli	significant
signification	ma&#39;nosi	signification
significative	ahamiyatli	significant
signifie	anglatadi	means
signé	belgisi	signed
signée	imzolangan	agreed
signés	imzolangan	signed
sil	agar	if it is
silence	sukunat	silence
sils	agar ular	if they
silverlight	kumush nuri	silverlight
silvio	silvio	silvio
similaire	o&#39;xshash	similar
similaires	o&#39;xshash	similar
simmons	simmonlar	simmons
simon	saymon	simon
simone	simone	simone
simple	oddiy	simple
simplement	oddiygina	simply
simples	oddiy	simple
simplicité	oddiylik	simplicity
simpose	soddalashtiring	simpose
simposer	taqlid qilmoq	to impose
simpson	simpson	simpson
simpsons	simpsonlar	simpsons
simultanément	bir vaqtning o&#39;zida	simultaneously
sin	gunoh	sin
sincline	ta&#39;zim	bows
singapour	singapur	singapour
singer	ashulachi	(surname)
single	yakka	single
singles	yakkalik	singles
singulier	yakka	la singulie'r
sinon	agar unday bo&#39;lmasa	or
sinscrit	obuna	has registered itself
sinspirant	ilhomlantiruvchi	sin-spirant
sinspire	ilhom oling	inspires
sinstalle	o&#39;rnatadi	settles
sinstallent	ishga kirishish	move to
sinstaller	o&#39;rnatish	install oneself
sintitule	sintitle	is titled
sintéresse	qiziqadi	show interrest
sintéresser	qiziqish bildirmoq	take an interest
sionisme	sionizm	zionism
sir	ser	sir
sismique	seysmik	sismic
site	sayt	website
sites	sayt (lar)	sites
situation	vaziyat	situation
situations	vaziyatlar	situations
situe	joylashadi	is
situent	toping	situated
situé	joylashgan	located
située	joylashgan	located
situées	joylashgan	located
situés	joylashgan	located
six	olti	six
sixième	oltinchi	sixth
siècle	asr	century
siècles	asrlar	centuries
siège	o&#39;rindiq	head office
sièges	o&#39;rindiqlar	seating
ski	chang&#39;i	ski
sky	osmon	sky
slam	qoqmoq	slam
slave	slavyan	slavic
slaves	slavyan	slavic
slogan	shiori	motto
slovaquie	slovakiya	slovakia
slovénie	sloveniya	slovenia
smackdown	xo&#39;rlash	smackdown
smith	temirchi	smith
snoop	ilmoq	snoop
so	shunday qilib	so
soccer	futbol	soccer
soccupe	qayg&#39;urmoq; o&#39;zini ehtiyot qilmoq	manages
soccuper	qayg&#39;urmoq; o&#39;zini ehtiyot qilmoq	soccuper
social	ijtimoiy	social
sociale	ijtimoiy	social
sociales	ijtimoiy	social
socialisme	sotsializm	socialism
socialiste	sotsialistik	socialist
socialistes	sotsialistlar	socialists
sociaux	ijtimoiy	social
sociologie	sotsiologiya	sociology
sociologique	sotsiologik	sociological
société	jamiyat	society
sociétés	kompaniyalari	companies
socle	podval	pedestal
socrate	sokratlar	socrates
sodomie	soddalik	sodomy
soi	o&#39;zini	self
soie	ipak	silk
soient	bo&#39;lmoq	be
soigner	davolamoq	heal
soin	parvarish qilish	care
soins	parvarish qilish	medical care
soir	oqshom	evening
soirée	oqshom	party
soirées	oqshomlar	evenings
soit	hisoblanadi	whether
soixante	oltmish	sixty
sol	zamin	soil
solaire	quyosh	solar
solaires	quyosh	solar
soldat	askar	soldier
soldats	askarlar	soldiers
solde	muvozanat	discount
soleil	quyosh	sun
solidarité	birdamlik	solidarity
solide	qattiq	solid
solides	qattiq	solid
solitaire	yakka	solitary
solo	yakkaxon	solo
sols	tuproqlar	soil
solution	eritma	solution
solutions	echimlar	solutions
sombre	qorong&#39;i	dark
sombres	qorong&#39;i	dark
somme	sum	sum
sommeil	uyqu	sleep
sommes	bor	sum, or amount
sommet	tog&#39; cho&#39;qqisi	top
sommets	sammitlari	highs
son	uning	his
sonate	sonata	sonata
sonates	sonatalar	sonatas
sondage	tadqiqot	poll
sondages	anketalar	polls
sonde	zond	modul
songe	tush	dream
sonny	sonny	sonny
sonore	ovoz	sound
sonores	ovoz	sound
sonorités	tovushlar	sounds
sons	tovushlar	sounds
sont	bor	are
sony	soniy	sony
sophie	sofie	sophie
soppose	chakalakzor	opposes
sopposent	qarshi chiqmoq	set against
sopposer	qarshi chiqmoq	oppose
sorbonne	tutun shkafi	sorbonne
sorciers	sehrgarlar	probed
sort	taqdir	is released
sortant	chiquvchi	outgoing
sorte	shunday qilib	kind
sortent	tashqariga chiq	released
sortes	turlari	kind
sorti	chiqib ketdi	out
sortie	chiqish	release
sorties	chiqadi	come out
sortir	tashqariga chiqish	to leave
sortira	chiqadi	will be released
sortis	tashqariga chiq	released
souche	siqilish	strain
souches	shtammlari	strain
souci	xavotir	worry
soucieux	tegishli	concerned
soudan	sudan	sudan
souffert	azoblandi	suffered
souffle	nafas	breath
souffrance	og&#39;riq	suffering
souffrant	azob	suffering
souffre	aziyat chekmoqda	suffers
soufre	oltingugurt	sulfur
souhaitait	tiladi	wished
souhaite	tilayman	wish
souhaitent	tilayman	wish
soul	mast	drunk
souligne	ta&#39;kidlandi	highlights
soulignent	ta&#39;kidlamoq	highlight
souligner	ostiga chizish	accentuate
soulève	ko&#39;taradi	uprises
soulèvement	qo&#39;zg&#39;olon	uprising
soumettre	topshiring	submit
soumis	topshirildi	submissive
soumise	bo&#39;ysunadigan	submitted
soumission	topshirish	surrender
source	manba	source
sources	manbalar	sources
sourire	tabassum	smile
souris	sichqonchani	mouse
sous	ostida	under
soussol	podval	underground
soutenir	qo&#39;llab-quvvatlash	to support
soutenu	qo&#39;llab-quvvatlanadi	helped
soutenue	barqaror	sustained
soutien	qo&#39;llab-quvvatlash	support
soutiennent	bahslashmoq	support
soutient	qo&#39;llab-quvvatlaydi	support
souvenir	xotira	recollection
souvenirs	xotiralar	memories
souvent	tez-tez	frequently
souverain	suveren	sovereign
souveraineté	suverenitet	sovereignty
souverains	shohlar	sovereigns
souvre	eslaylik	sopen
soviétique	sovet	soviet
soviétiques	sovetlar	soviet
spatial	fazoviy	space
spatiale	fazoviy	spatial
spears	nayzalar	spears
spectacle	shou	spactacle
spectacles	namoyishlari	shows
spectaculaire	ajoyib	spectacular
spectaculaires	ajoyib	spectacular
spectateur	tomoshabin	spectator
spectateurs	tomoshabinlar	spectators
spectre	spektr	specter
spencer	spenser	spencer
sphère	shar	sphere
spielberg	spielberg	spielberg
spin	aylantirmoq	spin
spirale	spiral	spiral
spirit	ruhi	spirit
spirituel	ma&#39;naviy	spiritual
spirituelle	ma&#39;naviy	spiritual
spontanément	o&#39;z-o&#39;zidan	spontaneously
sporozoïte	sporozoit	sporozoit
sport	sport	sport
sportif	atletikaga oid	sportsman
sportifs	sportchilar	sport
sportive	atletikaga oid	sport
sportives	sport	sports
sports	sport	sports
spécial	maxsus	special
spéciale	maxsus	special
spécialement	maxsus	specially
spéciales	maxsus	special
spécialiste	mutaxassis	specialist
spécialistes	mutaxassislar	specialists
spécialisé	ixtisoslashgan	competent
spécialisée	ixtisoslashgan	specialised
spécialisées	ixtisoslashgan	specialised
spécialisés	ixtisoslashgan	specialised
spécialités	mutaxassisliklar	specialities
spéciaux	maxsus	special
spécificité	o&#39;ziga xoslik	specificity
spécifique	o&#39;ziga xos	specific
spécifiquement	maxsus	specifically
spécifiques	o&#39;ziga xos	specific
sq	kv	sq
square	kvadrat	square
sr	sr	sr ( sir )
sri	shri	sri
ss	ss	ss
st	st	st
stabilité	barqarorlik	stability
stable	barqaror	stable
stade	stadion	stadium
stades	stadionlar	stadiums
stadium	stadion	stadium
staline	stalin	stalin
stallone	toshbaqa	stallone
standard	standart	standard
standards	standartlar	norms
stanley	stanley	stanley
starr	yulduzcha	celebrity
stars	yulduzlar	stars
state	davlat	state
states	davlatlar	states
station	bekati	station
stations	stantsiyalari	stations
statistique	statistik	statistics
statistiques	statistika	statistics
statue	haykal	statue
statues	haykallar	statues
statut	holat	our
statuts	nizomlar	status
stefan	shtefan	stefan
stendhal	stendhal	stendhal
stephen	stefan	stephen
stephenie	stefani	stephenie
steve	stiv	steve
steven	stiven	steven
stewart	styuard	stewart
stimulation	rag&#39;batlantirish	stimulation
stockage	saqlash	storage
stocker	do&#39;kon	to store
stockholm	stokgolm	stockholm
stoker	stoker	stoker
stopper	to&#39;xta	halt
story	hikoya	story
strasbourg	strasburg	strasbourg
stratégie	strategiya	strategy
stratégies	strategiyalar	strategies
stratégique	strategik	strategical
stratégiques	strategik	strategic
stravinski	stravinskiy	stravinski
street	ko&#39;cha	street
stress	stress	stress
strict	qat&#39;iy	strict
stricte	qat&#39;iy	strict
strictement	qat&#39;iyan	strictly
structure	tuzilishi	structure
structures	tuzilmalar	structure
stuart	stuart	stuart
studio	studiya	studio
studios	studiyalar	studios
style	uslubi	style
styles	uslublar	styles
stéphane	stefan	(man's name)
su	su	knew
subdivisions	bo&#39;linmalar	subdivisions
subi	azoblandi	sustained
subir	duchor	undergo
subissent	duchor	subisssent
subit	duchor bo&#39;ladi	undergoes
subsistance	tirikchilik	subsistence
subsiste	ta&#39;minlaydi	remains
subsistent	yashash	remain
substance	modda	substance
substances	moddalar	material
subventions	subsidiyalar	subsidies
successeur	vorisi	successor
successeurs	vorislari	successors
successifs	ketma-ket	subsequent
succession	vorislik	succession
successivement	ketma-ket	successively
successives	ketma-ket	successive
succède	muvaffaqiyat qozonadi	succeed
succèdent	muvaffaqiyatga erishmoq	follow
succès	muvaffaqiyat	success
succédé	muvaffaqiyatga erishdi	followed(for michael j) succeeded (for the others)
sucre	shakar	sugar
sud	janub	south
sudafricain	janubiy afrika	south-african
sudest	janubi-sharq	south east
sudouest	janubi-g&#39;arbiy	south west
suez	terlash	suez
suffisamment	yetarli	sufficiently
suffisant	etarli	sufficient
suffisante	etarli	sufficient
suffit	yetarli	sufficient
suffrage	ovoz bering	vote
suggère	taklif qilmoq	suggests
suggèrent	taklif qilmoq	suggest
suggéré	taklif qildi	suggested
suicidaire	o&#39;z joniga qasd qilish	suicidal
suicide	o&#39;z joniga qasd qilish	suicide
suis	am	am
suisse	shveytsariya	switzerland
suisses	shavq	swiss
suit	quyidagicha	follow
suite	keyin	following
suites	to&#39;plamlar	following
suivant	quyidagi	following
suivante	keyingi	following
suivantes	quyidagi	following
suivants	quyidagi	following
suivent	kuzatib boring	follow
suivi	monitoring	followed
suivie	ergashdi	followed
suivies	ergashdi	followed
suivis	ergashdi	followed by
suivre	ergashmoq	follow
sujet	mavzu	topic
sujets	mavzular	topics
sullivan	sallivan	sullivan
sultan	sulton	sultan
summerslam	yoz fasli	summerslam
sunday	yakshanba	sunday
super	ajoyib	super
supercoupe	super kubok	supercup
superficie	maydoni	area
superhéros	super qahramon	superhero
superman	supermen	superman
superstar	super yulduz	superstar
supplémentaire	qo&#39;shimcha	additional
supplémentaires	qo&#39;shimcha	additional
support	qo&#39;llab-quvvatlash	support
supporte	qo&#39;llab-quvvatlash	support
supporter	qo&#39;llab-quvvatlash	support
supporters	tarafdorlari	supporters
supports	qo&#39;llab-quvvatlaydi	media
suppose	taxmin qilinmoqda	assume
supposé	taxmin qilinmoqda	supposed
supposée	taxmin qilinmoqda	supposed
suppression	o&#39;chirish	suppression
supprimer	olib tashlang	delete
supprimé	o&#39;chirildi	deleted
suprême	oliy	supreme
supérieur	ustun	superior
supérieure	ustun	superior
supérieures	ustun	superior
supérieurs	ustunlar	superiors
supériorité	ustunlik	superiority
sur	ishonch hosil qiling	on
surcroît	qo&#39;shimcha	addition
surface	maydoni	surface
surfaces	yuzalar	malls(for 1st) supermarket(for 2nd) building plots (for the 3rd)
surnom	taxallus	nickname
surnommé	laqabli	dubbed
surnommée	laqabli	known
surprise	ajablanib	surprise
surréalisme	surrealizm	surrealism
surréaliste	surrealist	surrealiste
surréalistes	tezkor	surrealist
surtout	asosan	especially
surveillance	nazorat	monitoring
survie	omon qolish	survival
survient	sodir bo&#39;ladi	occurs
survivants	omon qolganlar	survivors
survivor	omon qolgan	survivor
survivre	omon qolish uchun	survive
survécu	omon qoldi	survived
