$	dollarni tashkil etadi	your
suldaanka	sizning o&#39;g&#39;lingiz	the sultan
suldaankii	sulton	sultan
suliman	suliman	suliman
sultan	sulton	sultan
sumada	belgisi	sumada
sumerianku	sumerianku	sumerianku
sun	quyosh	poison
suna	nomi	suna
sunday	yakshanba	sunday
sunnada	sunnat	the
sunni	sunniy	sunni muslim
sunta	zaharlangan	the poison
suntan	zahar	marked
super	juda zo&#39;r	super
superka	superka	super
supports	qo&#39;llab-quvvatlaydi	hargeysa, which supports
suqa	uyalar	suqa
surinam	mening qaynatam	surinam
sus	sus	sus
suu	su	so that he
suuban	ovoz	good
suubanaa	to&#39;g&#39;ri edi	suubanaa
suubban	xayr	nice
suubiye	ruxsat etilgan	suubiye
suudaan	sura	sudan
suudaanitoobiya	super yulduz	suudaanitoobiya
suufi	so&#39;fiy	sufism
suugaan	adabiyot	literature
suugaanta	adabiyot	fun
suugaantii	adabiyot	were moved by
suugaantiisa	uning adabiyoti	suugaantiisa
suugaantu	adabiyot	balladry carry
suugaanyahan	bu adabiyot	suugaanyahan
suugaanyahankii	adabiyot	suugaanyahankii
suuq	bozor	market
suuqa	bozor	market
suuqyada	bozorlar	markets
suurada	sura	suurada
suuradda	o&#39;xshashlik	surah
suurado	mumkin	suurado
suuratu	sura	surah hadid
suuratul	mumkin	suuratul
suuratulfiil	suuratulfil	suuratulfiil
suuriya	suriyalik	syria
suurogal	mumkin	possible
suurto	mumkin	possible
suways	suv yo&#39;llari	canal
suwees	suverenlar	suwees
swasiland	shveytsariya	swizerland
sweden	shishgan	sweden
switching	almashtirish	switching
switzerland	o&#39;tish joyi	switzerland
swt	svt	highness said in
sxb	sxb	sxb
syc	syc	syc
syl	syl	syl
syria	siriya	syria
system	tizimi	system
systems	tizimlari	systems
sénégal	sperma	sénégal
t	t	b)
ta	uni	the t
taa	bugun	this
taaban	teginish	touch
taaboo	teginish	taaboo
taad	taad	your word
taagan	turgan	standing
taagantahay	tik turib	at presence time
taaganyahay	tik turib	what is
taagay	qurilgan	he stood up
taageera	qo&#39;llab-quvvatlash	supporting
taageerada	qo&#39;llab-quvvatlash	support
taageerayaal	tarafdorlari	supporters
taageerayaasha	tarafdorlari	supporters of
taageero	qo&#39;llab-quvvatlash	support
taageersan	qo&#39;llab-quvvatlanadi	supporting
taageersanaa	qo&#39;llab-quvvatlanadi	eil
taagi	qattiq	rise up
taagnaa	turgan	it was standing
taajir	boy	rich
taajirsan	boy	wealthy
taaka	yordam	taaka
taako	silkitmoq	inch
taal	mavjud	it is there
taala	mavjud	in
taalaa	siz	is located in
taalada	haykal	taalada
taale	bugun	statue
taalla	mavjud	it has
taalo	turgan	it
taamaayee	rahmat	taamaayee
taamyeeloo	mos	taamyeeloo
taan	bu	you do not
taangiyada	tanklar	tanks
taar	sana	a telegram
taariikh	tarixi	history
taariikhda	tarixi	recalls something special which happened in
taariikhdadhaqanka	to&#39;fon tarixi	history/culture
taariikhdii	tarixi	history
taariikhdu	tarixi	history
taariikheed	tarixiy	historical
taariikhi	tarixiy	a historical stating
taariikhiga	tarixiy	this historical
taariikho	xurmo	taariikho
taariikhood	xurmo	taariikhood
taariikhyahan	tarixchi	a historian
taariikhyahanada	tarixchilar	taariikhyahanada
taariiqyahanka	tarixi	taariiqyahanka
taariiqyahano	tarixchilar	taariiqyahano
taarikh	tarixi	date
taarikhda	tarixi	history
taas	bu	this
taasaa	bo&#39;ldi shu	more
taasi	bu	this
taasina	bu	this
taasna	buning uchun	and that
taasoo	qaysi	which
taaxane	boy	taaxane
taba	tamaki	training
tababarada	o&#39;qitish	training
tababaran	tarbiyalangan	trained
tababare	murabbiy	trainer
tababarka	o&#39;qitish	training
tabo	nuqta	tabo
tacliin	ta&#39;lim	education
tacliinta	akademiklar	the education
tada	oshirish	tada
tafiirmaan	yo&#39;qol	tafiirmaan
tafsiirka	talqin	quran
taga	oyna	go
tagaa	boring	go to
tagaan	boring	go to
tagay	ketdi	he left
tagaya	ketayotgan	is going to
tage	bormoq	ad town reached that village
tageen	ketdi	left
tagey	ketdi	he went
tagin	bormang	did not go
tagisteeduna	uning ketishi	tagisteeduna
tago	boring	go
tagsiile	taksi	tagsiile
tagtada	teg	tagtada
tagteen	ketdi	left
tagto	boring	you don't go
tahay	siz	it is
tahaye	tushkunlik	plain
tahayna	siz	white
tahliil	lahjasi	tahlil
tajwiidka	tavrotda	tajwiidka
tala	maslahat	for
talaabada	qadam	action
talaabadan	bu qadam	talaadeen
talaabo	qadam	action
talaadada	seshanba kuni	the tuesday
talaado	seshanba	tuesday
talada	maslahat	the decisions
taladana	maslahat	taladana
taladii	maslahat	the proposal
taladu	maslahat	this
talagalay	uchun	he intended
talayaaniga	italyancha	talayaaniga
taleefoonada	telefonlar	numbers are as follows
taleex	telefon	at taleex
tali	jssv	advise me
talin	maslahat	control
talis	buyruq	authority
talisa	uning so&#39;zlari	that rules over
taliska	buyruq	the regime
taliskii	qoida	the
taliyaani	qo&#39;mondon	taliyaani
taliyaaniga	italyancha	taliyaaniga
taliyaanigu	italiyalik	taliyaanigu
taliyaanu	hukmdor	italy
taliyaha	hukmdor	commander
taliye	hukmdor	a dictator
taliyeen	maslahat bergan	capital say
taliyihii	hokim	governor
taliyo	qoida	recommended
talo	maslahat	advise
talyaani	italyancha	italian
talyaaniga	italyancha	talyanniga
talyaanigasyl	italyancha	tayaanigasyl
talyaanigu	italyancha	italy
talyaaniguna	italiya	and italy
talyaniga	italyancha	talyaniga
tamar	energiya	energy
tamarta	energiya	energy
tan	bu	this
tani	jssv	this
tansaaniya	tanzaniya	tanzania
taqaan	bilasiz	know
taqaano	bilasiz	option
taqasusay	ixtisoslashuv	taqasusay
taqasustay	ixtisoslashgan	twenty
tara	to&#39;qqiz	use
taraawiil	romork	taraawiil
tarayn	bema&#39;nilik	which
tarbiyada	naslchilik	training
tarbiyeesan	tekislangan	tarbiyeesan
tareen	poezd	tareen
tari	yo&#39;tal	help
tarjamada	tarjimalari	tarjamada
tartamaayey	raqobatlashmoqda	tartamaayey
tartami	raqobatlashmoq	socioeconomic realities
tartanka	musobaqa	the tournament
tartankii	raqobat	the tournament
tashaday	maslahatlashdi	after consulting
tashik	ketishi	tashik
tashteen	tashlab yuborish	tashteen
tasi	tasisi	has invited for
tawraad	bexosdan	verifying that which is before me
tawreet	rahmat	tawreet
taxaabaan	ular tuzoqqa tushadilar	taxaabaan
taxane	qator	serial story
taxnaa	qator	taxnaa
tay	tay	tie
tayada	sifati	quality
taymiya	tarang	ibnu taymiya
tayo	sifati	quality
ta´shilin	sayohatlar	the t shillings
tchad	tchad	tchad
tdma	tdma	tdma
tebin	tarjima qiling	being sought
tebiyey	xabar qildi	he conveyed
tech	texnologiya	tech
technology	texnologiya	technology
teeda	uni	her
teedsan	bo&#39;ylab	moqadisho
teelteel	vaqti-vaqti bilan	teelteel
tegay	ketdi	left
tegey	ketdi	left
tegeysaan	ketyapsiz	asked:
tegi	yo&#39;qol	go to
tegin	yo&#39;qol	go
telcom	telkom	telecom
teleefonada	telefon orqali	phone numbers
telefoion	telefoniya	telefoion
telefoon	telefon	phone
telefoonada	telefonlar	telephone
terre	terre	terre
testify	guvohlik berish	testify
textalign	matnli chizma	textalign
tfgda	tfgda	tfgda
th	ming	th
that	bu	that
the	the	the
their	ularning	uu
there	mana	there
these	bular	these
they	ular	ay
this	bu	this
through	orqali	haddii ay
throughout	davomida	throughout
ti	ning	d. d. t.
tidhaah	deydi	tidhaah
tidhi	- dedi u	she said
tignolajiyada	texnologiya	tignolajiyada
tigreega	chipta	tigreega
tihiin	siz	you are
tii	choy	one
tiil	plitka	it was there
tiille	tiyil	tiille
tiir	ustun	pillar
tiirar	ustunlar	pillars
tiirarka	ustunlar	the pillars
tiirarkaasina	bu ustunlar	tiirarkaasina
tiirka	ustun	the pillar
tiirsada	unga suyan	whenever trouble comes your way
tiirsan	qaram	depend on
tiirsanaa	qaram	it was propped up
tiirsantahay	qaram	tiirsantahay
tiirsanyahay	sizga bog&#39;liq	tiirsanyahay
tijaaradii	tajriba	tijaaradii
tijaareeyo	ingrab	tijaareeyo
tijaaro	qaltirash	commerce
tikrit	chipta	had entered tikrit
tilaami	tilami	tilaami
tilmaamaa	belgilaydi	these regulations
tilmaamaan	alohida e&#39;tibor qaratmoq	describe
tilmaaman	ko&#39;rsatilgan	set out in
tilmaamay	ishora	he indicated
tilmaamayo	ishora qilmoqda	set out in
tilmaameen	ishora	indicated
tilmaami	alohida e&#39;tibor qaratmoq	indicate
tilmaamo	ko&#39;rsatmalar	tips
tilmaanayba	alohida e&#39;tibor qaratmoq	timaanayba
timaadada	kel	timaadada
timaaddo	kelmoq	come
timacade	boring	tima-adde
time	vaqt	time
times	marta	times
timi	kel	she came
timid	keldi	she came
timide	kel	timide
timirta	kaft	dates
timo	soch	hair
timocade	timocade	timocade
tinta	soch	and spreads her hair
tira	tarang	those minors
tirad	nechta	total count
tirada	raqam	the number of
tirakoob	statistika	census
tiran	plitka	eliminated
tiri	hisoblash	she said
tirin	hisoblash	count
tiriyay	sanadi	made
tiriyey	sanadi	he counted
tiriyo	hisoblash	count
tiro	raqam	number
tirokoob	statistika	tirokoob
tirsan	a&#39;zosi	of
tirsana	ularni sanab	part of
tirsanaa	edi	it was part of
tirsanaan	hisoblash	a victim
tix	mil.	poetry
tixda	ro&#39;yxati	the line of poetry
tixdan	deb hisoblanadi	chorus
tixdii	o&#39;ylab ko&#39;ring	the ballad
tixdiisa	uning ko&#39;rib chiqishi	tixdiisa
tixihiisa	uning ro&#39;yxatlari	xarfahan
tixraac	ma&#39;lumotnoma	tixraac
tixraacyada	havolalar	tixraacyada
to	ga	to
toban	o‘n	ten
tobanka	o‘n	the ten
tobankii	o‘nlik	ten
tobnaad	o‘ninchi	tenth
toc	tok	toc
todabaadka	hafta	todabaadka
today	bugun	today
toddoba	yetti	seven
toddobo	yetti	7
todoba	yetti	seven
todobaad	hafta	week
todobaadka	hafta	the week
todobada	etti	seven
todobo	yetti	seven
togagga	oqimlari	the ravines
togdheer	togdheer	togdher region.
togdheersanaag	rostini aytganda	togheersanaag
togga	daryo	the dry river-bed
togo	bormoq	select for oneself
togwajaale	aytmoqchi	togwajaale
tol	tol	relative
tolayoo	kurka	tolayoo
tolkayoo	tushdi	tolkayoo
tooda	tushdi	their
toogasho	tortishish	shot dead
toona	ha	or
tooreyda	chopstiklar	tooreyda
toori	rostini gapirsam	dagger
toos	to&#39;g&#39;ridan-to&#39;g&#39;ri	direct
toosa	uyg&#39;oning	timetable
toosan	to&#39;g&#39;riga	right
toosanaha	to&#39;g&#39;ridan-to&#39;g&#39;ri	toosanaha
toose	to&#39;g&#39;ri	toose
toosoo	uyg&#39;oning	oh somali wake up
top	tepasida	top
toqoshi	silkitmoq	toqoshi
towfiiq	tofiq	towfiq
town	shahar	town
towxiidka	meditatsiya	the oneness of g
training	o&#39;qitish	training
transmission	yuqish	transmission
transnistria	dnestryani	transnistria
tu	tu	the disease affecting livestock
tubane	tuban	tubane
tubayoo	aylantirish	tubayoo
tubeec	tubeec	suleivan tube
tukado	ibodat qiling	pray
tukan	ibodat qilish	praying
tukanaya	ibodat qilish	saying their prayers.
tukanayo	ibodat qilish	prays
tukelalmimurcood	tukelalmimurcood	tukelalmimurcood
tukuhu	o&#39;g&#39;it	tukuhu
tuldo	tuldo	tuldo
tuluddiiye	tarbiyachi	tuluddiiye
tumay	shish	he struck
tuni	eslatadi	tuni
tunis	sozlash	tunis
tunisia	tunis	tunisia
tunisiya	eslatish	tunisia
tunisya	tunesya	tunisya
turjumaha	tarjimon	turjumaha
turjume	tarjimon	translator
turjumey	tarjima qilingan	turjumey
turkey	kurka	turkey
turki	kurka	turkey
turkida	kurka	turkey
turkiga	kurka	turkey
turkigamaadaama	chunki kurka	turkigamaadaama
turkigawaxa	kurka	turkigawaxa
turkigu	kurka	where it blocked
turkish	turkcha	turkish
turkiya	kurka	turkey
turkki	kurka	turkki
turkumaanka	turku	turkumaanka
tusaale	misol uchun	for example
tusaan	ularni ko&#39;rsating	show
tusaayo	nazarda tutadi	tusaayo
tuso	shou	shows
tutorial	darslik	tutorial
tuu	otish	down!
tuug	o&#39;g&#39;ri	thief
tuugo	o&#39;g&#39;rilar	thieves
tuulada	qishloq	small town
tuuladii	qishloq	the village
tuulo	qishloq	village
tuulooyin	qishloqlar	villages
tuulooyinka	qishloqlar	the villages
tuuniisiya	o&#39;rganish	tuuniisiya
tuur	otish	throw
tuuray	tashlamoq	he threw
tuurayaan	otish	tuurayaan
tuurayn	quyma	tuurayn
tuure	tashlamoq	tuur
tuuro	tashlamoq	throw
tuuryare	shikast etkazadigan	mohamed turyare absuge,
tuwaaxid	kelmoq	tuwaaxid
tuxmo	tucks	tuxmo
tv	tv	tv
tvga	tvga	tv
typically	odatda	typically
u	u	to
ubad	bola	child
ubadan	juda ko&#39;p	ubadan
ubadka	chaqaloq	child
ubax	gullar	flower
ubaxu	gullash	ubaxu
ucusub	nyu york	ucusub
uday	uday	uday
uddaayey	do&#39;st	uddaayey
udgoon	xushbo&#39;y hid	perfume
udgoonaa	hidli	it was fragrant
udgoonka	xushbo&#39;y hid	the fragrance
udheer	qo&#39;shish	udheer
udub	maqsadda	pole
udubdhexaad	unga markaziy	udubdhexeed
udug	hidi	smell
ufakaday	yo&#39;qolgan	ufakaday
uga	the	from
ugaadha	ov qilish	fight erosion ;
ugaandha	soyabon	uganda
ugaarka	ov qilish	ugaarka
ugaarta	ov qilish	the game animal
ugaas	boshliq	chief
ugaaska	boshliq	the chief
ugama	yo&#39;q	her
ugana	gorilla	and
ugandha	onasi	ugands
ugandheeska	tuxumdon	ugandheeska
ugasoo	bundan	ugasoo
ugu	nasos	to
ugudhaw	ortga qaytish	ugudhaw
ugudheer	eng uzun	ugudheer
uguhoraysay	oxirgisi	uguhoraysay
ugumaydhigin	sizga aytmadim	ugmaydhigin
uguna	guna	and
uguwayn	asosiy	uguwayn
ujeedada	maqsadi	the objective
ujeedadiisa	uning maqsadi	ujeedadiisa
ujeedadoodu	ularning maqsadi	ujeedadoodu
ujeeddadiisu	maqsadi	objective
ujeeddo	maqsadi	purpose
ukala	ibodatxona	are
ukrain	siydik	ukrain
ul	tayoq	stick
ula	the	with
ulajeedadaydu	mening maqsadim	ulajeedadaydu
ulasoo	olas	ulasoo
uma	emas	not
umada	millat	people
umadda	millat	people
ummad	millat	nation
ummada	millat	people
ummadaha	xalqlar	the nation
ummadda	millat	unmadda
ummaddan	bu millat	national values
ummu	bolalar	ummu
ummukalthum	ummukaltum	ummukalthum
ummukhalthum	ummuxalthum	ummukhalthum
umts	umts	umts
umukalthum	umukaltum	umukalthum
un	un	only
una	una	and
unaxariistee	menga yaxshilik qiling	unaxariistee
unbaa	xush kelibsiz	none
union	birlashma	union
united	birlashgan	united
university	universitet	jamacad
unlock	qulfini ochish	unlock
unnaxariisto	baxtsiz	unnaxariisto
unug	hujayra	cell
unugga	jihozni	the base
unuggu	jihozni	unuggu
unugyada	hujayralar	low platelet count
unugyo	hujayralar	unugyo
ur	ur	smell
urdun	hidi	jordan
uruguay	urugvay	uruguway
uruka	foydalari	which
urur	tashkiloti	association
ururada	tashkilotlar	the civil
ururka	tashkiloti	the organization
ururkii	tashkiloti	organization
ururo	uyushma	associations
us	biz	us
usa	aqsh	usa- united states of america
usaama	aniq	usaama
usaraysa	shartli	usaraysa
usbuuca	hafta davomida	the week
usbuuceed	haftalik	usbuuceed
usc	usc	usc
use	foydalanish	isticmaalayaa
used	ishlatilgan	used
user	foydalanuvchi	user
uses	foydalanadi	uses
usii	saqlamoq	productive
using	foydalanish	using
usoo	biz	to
ustaad	uchinchi	trainer
ustaaz	beshta	ustaaz
usually	odatda	usually
usuuroobi	xush kelibsiz	to be possible
utaaganaha	utaaganaha	utaaganaha
utrecht	utrecht	utrecht
uu	uning	the
uuga	yasama	cover
uugu	xiralik	get into
uuman	bug &#39;	come into being
uumanka	namlik	uumanka
uun	shunchaki	only
uuna	sevgi	and
uunkanna	bunisi	uunkanna
uur	homiladorlik	pregnant
uuraysatay	homilador	pregnant
uusan	u qilmaydi	not
uxiiso	bundan bahra oling	uxiiso
uyaala	qoyil	uyaala
uyaalka	tayoqlar	the substitute
v	v	"v ""mathematic symbols"""
valéry	qadriyat	valéry
varies	o&#39;zgaradi	varies
venezuela	venesuela	venezuela
vepfrancii	vepfrancii	vepfrancii
vepitalii	vepitali	vepitalii
vepročinma	veročinma	veprocinma
vepvenäma	vepvenema	vepvenäma
vergleich	vergleich	vergleich
voice	ovozi	voice
vol	jild	vol.
w	w	w
wa	mavjud	w
waa	bu	it is
waaba	tong	it
waabarei	ertalab	waabarei
waabari	tong	dawn
waabeeye	tong	waabeeye
waaberi	tong	dawn
waad	siz	you
waadi	qidirmoq	dry river bed
waadigii	noto&#39;g&#39;ri	you
waadna	siz	and you
waafajiyaa	moslashmoq	follow
waafaqsan	mos ravishda	in accordance with
waafi	yetarli	complete
waaga	jinnilik	the era
waagaas	shu vaqtda	at that time
waagii	kun	dawn
waagu	tong	dawn
waajib	burch	duty
waajibaadkeeda	uning majburiyatlari	responsibilities
waajibka	burch	the obligation
waajibnimada	burch	waajibnimada
waakaa	anavi	waakaa
waakaas	keyin	waakaas
waalaalow	iltimos	waalaalow
waalba	yoki	waalba
waalid	ota-onalar	parent
waamid	taklif qilish	is one of
waamo	yo&#39;q	stadium
waan	men qilaman	i
waana	va shunday	and
waanada	nasihat	a reminder to
waannu	biz .. qilamiz	we
waano	nasihat	advice
waar	keling	yard
waariyoo	eonlar	warriyoo
waarku	ahmoq	waarku
waasidan	kengroq	wassidan
waasoo	qaysi	youngmen
waasuge	keng	wasuge.
waataan	bu gal	waataan
waataas	o&#39;sha paytda	indeed
waawayn	kattalar	major
waaween	katta	waaween
waaweyn	katta	major
waaweynaa	ajoyib	it was great
waaweyneyd	ajoyib	waaweyneyd
waax	bo&#39;lim	quarter
waaxaa	bo&#39;lim	it
waaxda	bo&#39;lim	department
waayadaas	o&#39;sha kunlarda	waayadaas
waayadii	oldin	world
waayay	yo&#39;qolgan	he failed to find
waaye	ular	she is
waayeel	oqsoqol	old
waayeen	qilolmadilar	they could not
waayey	yo&#39;qoladi	he could not
waayihii	marta	waayihii
waayitaanka	g&#39;oyib bo&#39;lish	waayitaanka
waaylahayad	bizning buvilarimiz va buvilarimiz	waaylahayad
waayo	uchun	for
wabar	wbab	chief
wabarka	yangiliklar	the chief
wabi	daryo	you
wabiga	daryo	wabiga
wabiyaal	daryolari	beneath
wabiyada	daryolari	rivers
wacad	nazr	pledge
wacan	yaxshi	excellent
wacays	qo&#39;ng&#39;iroq	blessing
wacbuudhan	xush habar	wa ? budhan
wacdi	va&#39;z qilmoq	give advice
wacdiga	va&#39;z qilish	the sermon
wacdiyow	voiz	wacdiyow
waceys	qo&#39;ng&#39;iroq	waceys
waceysle	sehrgar	tribe
wacyigelinta	xabardorlik	the state registrar awareness
wada	birga	all
wadaa	haydash	is expected
wadaad	pastor	mullah
wadaadka	ruhoniy	elder
wadaadkii	ruhoniy	priest
wadaaga	almashish	sharing
wadaagaa	ulush	are costs shared
wadaagaan	ulush	share
wadaagan	birgalikda	wadaagan
wadaagsano	baham ko&#39;rmoq	wadaagsano
wadaagta	hamrohlar	joint clans
wadaagtaa	ulush	but it differs from
wadaagtaane	bu sherik	waddagtaane
wadaan	haydash	bucket
wadada	yo&#39;lda	road
wadahadal	munozara	talk
wadahadalo	muzokaralar	negotiations
wadajir	birga	together
wadajirka	birga	the solidarity
wadama	idama	reports from
wadamada	mamlakatlar	countries
wadamo	mamlakatlar	countries
wadamu	wadamu	wadamu
wadan	mamlakat	country
wadani	otalik	citizen
wadaniga	vatanparvarlik	indigenous
wadaniyeed	vatanparvar	wadaniyeed
wadaniyiin	vatanparvar	wadaniyiin
wadanka	mamlakat	country
wadankaa	bu mamlakatda	wadankaa
wadankaan	bu mamlakatda	in
wadankaas	bu mamlakatda	wadankaas
wadankaasi	bu mamlakat	from srilanka are mostly migrants
wadankan	bu mamlakatda	overseas examination
wadankani	bu mamlakat	wadankani
wadankanlaakiin	ammo bu mamlakatda	wadankanlaakiin
wadankii	mamlakat	native country
wadanku	mamlakat	wadanku
wadanmada	vatanparvarlik	wadanmada
wadarta	jami	the large number
wadata	ta&#39;minoti	with
waday	davom etdi	he drove
wadda	qaysi	opportunities
waddada	yo&#39;lda	the road
waddamada	mamlakatlar	the countries
waddan	mamlakat	country
waddanka	mamlakat	the country
waddankiisa	uning mamlakati	his own hometown
waddo	yo&#39;l	road
wade	vade	driver
wadeen	led	leading
wadnaha	yurak	heart
wado	haydash	drive for oneself
wadooyinka	ko&#39;chalarda	the roads
wafdi	delegatsiya	a delegation
wahab	keling	chill and high humidity of
wajeer	tashqarida	wajeer
waji	yuzi	face
wajib	majburiy	must be understood by prospective adoptive
wajiis	yuzi	wajiis
wakaalada	agentligi	agency
wakhti	vaqt	time
wakhtiga	vaqt	time
wakhtigaa	shu vaqtda	then,
wakhtigaas	shu vaqtda	at that time
wakhtigaasi	shu vaqtda	wakhtigassi
wakhtigan	bu gal	world
