$	dollar təşkil edib	a sign of doller
શીત	soyuq	cold
શીર્ષક	başlıq	heading
શુ	şu	is
શું	nə	what
શુક્ર	cümə	venus
શુક્લ	şüklə	shukla
શુદ્ધ	təmiz	pure
શુધ્ધ	təmiz	pure
શુભ	uğurlar	auspicious
શુલ્ક	rüsumlar	fee [hindi word]
શુષ્ક	quru	dry
શૂદ્ર	şudra	low caste
શૂન્ય	sıfır	zero
શૃંખલા	seriya	series
શેક્સપિયર	şekspir	shakespere
શેક્સપિયરે	şekspir	shakespeare
શેક્સપીયર	şekspir	the shekshphere
શેક્સપીયરના	şekspirin	shakespeare's
શેક્સપીયરની	şekspirin	shakespeare's
શેક્સપીયરને	şekspirə	to shakespere
શેક્સપીયરે	şekspir	shakespeare
શેઠ	seth	owner
શેર	paylaşın	share
શેરડી	şəkər	sugarcane
શેરિંગ	paylaşma	sharing
શેષ	i̇stirahət	rest/residue
શૈક્ષણિક	təhsil	educational
શૈલી	üslub	style
શૈલીના	üslub	genere / look
શૈલીમાં	dəbdə	script / genre
શો	göstərin	exhibitions, shows
શોક	matəm	sorrow
શોખીન	fondu	hobby
શોટ	vuruldu	shoot
શોધ	axtarış	invention, finding
શોધમાં	axtarışda	in search
શોધવા	tapmaq	to search
શોધવું	tapmaq	search
શોધાયેલા	aşkarlandı	discovered
શોધી	tapmaq	find
શોધો	axtarış	finding
શોર્ટ	qısadır	short
શોષણ	i̇stifadəsi	exploitation
શ્યામ	qaranlıq	black
શ્રદ્ધા	i̇nam	faith
શ્રધ્ધા	i̇nam	faith
શ્રમ	əmək	shy
શ્રાપ	lənətləndi	curse
શ્રાવણ	shravan	shravan
શ્રી	cənab.	mr.
શ્રીનગર	srinagar	srinagar
શ્રીમંત	zəngin	rich
શ્રીમતી	xanım.	misses
શ્રીમદ્	shrimad	shrimad
શ્રીલ	shril	supreme
શ્રીલંકા	şri lanka	sri lanka
શ્રુતિ	shruti	shruti
શ્રેણી	seriya	category
શ્રેણીઅંગ્રેજી	kateqoriyaenglish	english series
શ્રેણીઇતિહાસ	kateqoriya tarixi	series of history
શ્રેણીએપ્રિલ	serialapril	series : april
શ્રેણીએશિયા	kateqoriyaasia	series asia
શ્રેણીઓગસ્ટ	kateqoriyalarağust	series: august
શ્રેણીકલા	serial sənəti	category: art
શ્રેણીખગોળશાસ્ત્ર	kateqoriya: astronomiya	series: astronomy
શ્રેણીગુજરાત	kateqoriya gujarat	series: gujarat
શ્રેણીગુજરાતના	gujarat kateqoriya	series : gujarat's
શ્રેણીગુજરાતનાં	gujarat kateqoriya	category: of gujarat
શ્રેણીગુજરાતી	kateqoriya gujarati	category gujarati
શ્રેણીજુલાઇ	seriesyul	series
શ્રેણીજૂન	seriesjune	series : june
શ્રેણીજોવાલાયક	kateqoriya görüntülənir	caste that can be seen
શ્રેણીજ્યોતિષ	kateqoriya astrologiya	series astrologist
શ્રેણીદેવી	seriya ilahəsi	shrenidevi
શ્રેણીધર્મ	kateqoriya dini	series: religion
શ્રેણીધાર્મિક	kateqoriya dini	range of religious
શ્રેણીના	seriya	serise
શ્રેણીની	seriya	of the category
શ્રેણીનો	seriya	series
શ્રેણીપૌરાણિક	kateqoriya mifologiyası	series: ancient
શ્રેણીબદ્ધ	seriya	in series
શ્રેણીભારત	seriesindia	indian series
શ્રેણીભારતના	hindistan seriyası	of the indian series
શ્રેણીભારતનાં	hindistan seriyası	category:indian
શ્રેણીભારતની	hindistan seriyası	category: indian
શ્રેણીભારતીય	seriesindian	series: indian
શ્રેણીભાષાઓ	kateqoriya dilləri	series: languages
શ્રેણીભૂગોળ	kateqoriya coğrafiya	series: geography
શ્રેણીમાં	serialda	in category
શ્રેણીમાર્ચ	seriesmarch	march series
શ્રેણીમે	serialda	category : may
શ્રેણીયુરોપ	kateqoriyaevropa	category:europe
શ્રેણીરાસાયણિક	kateqoriyakimyəvi	series: chemical
શ્રેણીવર્ષનાં	serialdan	series : year's
શ્રેણીવિજ્ઞાન	i̇yerarxiya	category: science
શ્રેણીવિશ્વ	seriya dünyası	series : world
શ્રેણીવ્યક્તિત્વ	i̇yerarxiya	personal series
શ્રેણીસમય	seriya vaxtı	serial time
શ્રેણીસૌરાષ્ટ્ર	seriya saurashtra	saurashtra line
શ્રેણીહિંદુ	kateqoriyahindu	category:hindu
શ્રેય	kredit	credit
શ્રેષ્ઠ	ən yaxşı	the best
શ્લોક	ayə	shlok
શ્લોકમાં	ayədə	shlok
શ્વેત	ağ	white
સ	q.	a.d.
સંકટ	böhran	disaster
સંકલન	i̇nteqrasiya	computation
સંકલિત	i̇nteqrasiya olunmuşdur	collected
સંકળાયેલા	i̇ştirak edir	involved
સંકળાયેલી	i̇ştirak edir	involved
સંકળાયેલું	birləşmiş	involve
સંકળાયેલો	birləşmiş	involved
સંકુચિત	sıxılır	entire
સંકુલ	kompleks	collection
સંકુલમાં	kompleksdə	in campus
સંકેત	i̇pucu	hint/signal
સંકેતો	göstərişlər	signals,
સંકોચન	sıxılma	shrinkage
સંક્ષિપ્ત	qısaca	brief
સંખ્યા	nömrə	number
સંખ્યાની	nömrələrin	numbers
સંખ્યાને	nömrə	count
સંખ્યાબંધ	nömrə	lots of
સંખ્યામાં	saylarda	int the number of
સંગઠન	təşkilat	organization
સંગઠનો	təşkilatlar	organization
સંગઠિત	mütəşəkkil	co-operate / close knit
સંગમ	qoşulma	confluence
સંગીત	musiqi	music
સંગીતકાર	musiqiçi	lyrist
સંગીતના	musiqidən	music's
સંગીતની	musiqidən	of music
સંગૃહીત	arxivləşdirilib	collected
સંગ્રહ	kolleksiya	accumulate
સંગ્રહની	kolleksiya	ascites
સંગ્રહમાંથી	kolleksiyadan	from the collection
સંગ્રહાલય	muzey	museum
સંગ્રહિત	arxivləşdirilib	collected
સંગ્રામ	mübarizə	war
સંગ્રામના	mübarizə	of fight
સંગ્રામમાં	döyüşdə	battle
સંઘ	birlik	union
સંઘના	birlik	union
સંઘની	birlik	union's
સંઘમાં	birlikdə	within union
સંઘર્ષ	münaqişə	friction / war
સંઘર્ષો	münaqişələr	conflicts
સંઘીય	federal	federal
સંઘે	birlik	organization
સંચાર	ünsiyyət	transmission
સંચાલન	i̇darəetmə	management
સંચાલિત	güclüdür	run by
સંજય	sanjay	sanjay
સંજોગોમાં	şəraitdə	situation
સંજ્ઞા	isim	actions
સંત	müqəddəs	saint
સંતશ્રી	müqəddəs şri	saint
સંતાન	nəsillər	seed / children
સંતાનો	uşaqlar	offsprings
સંતુલન	balans	balance
સંતો	müqəddəslər	priests
સંતોએ	müqəddəslər	priest
સંતોષ	məmnuniyyət	content
સંદર્ભ	i̇stinad	knitting together
સંદર્ભમાં	kontekstdə	related / context
સંદર્ભે	hörmətlə	context / relation
સંદર્ભો	i̇stinadlar	references
સંદેશ	mesaj	massege
સંદેશા	mesajlar	message
સંદેશાઓ	mesajlar	messages
સંદેશાઓની	mesajların	messages
સંદેશાના	mesajların	message's
સંદેશાની	mesajın	message
સંદેશો	mesaj	message
સંધિ	müqavilə	contract, deal, treaty,
સંધિમાં	müqavilədə	in treaty
સંન્યાસ	təqaüd	retire
સંપત્તિ	mülkiyyət	wealth
સંપન્ન	bəxşiş	end
સંપર્ક	əlaqə	contact
સંપર્કમાં	məruz qalma	in touch
સંપાદન	redaktə	editing
સંપુર્ણ	tamam	whole, complete,
સંપૂર્ણ	mükəmməldir	entire / total / complete
સંપૂર્ણપણે	tamamilə	completely
સંપ્રદાય	kult	sect
સંપ્રદાયના	təriqətdən	religion
સંપ્રદાયનાં	təriqətdən	religious sect
સંપ્રદાયની	kult	of the sect
સંપ્રદાયમાં	dində	in sect
સંબંધ	münasibət	relation
સંબંધિત	əlaqəli	related
સંબંધી	nisbi	relative
સંબંધીત	əlaqəli	related to
સંબંધે	münasibətdə	in relation to
સંબંધો	münasibətlər	relation
સંબોધતા	ünvan	to address
સંબોધન	ünvan	address
સંબોધવામાં	ünvanlıdır	in addressing
સંભવ	mümkündür	probable
સંભવતઃ	yəqin ki	probably
સંભવિત	potensial	possible
સંભાળ	qayğı	care
સંભાળતા	i̇şləmə	taking care of
સંભાળવા	i̇darə etmək	handle
સંભાળી	i̇şlənib	heard
સંભાળે	tutacaqlar	handles/ governs
સંભાળ્યો	götürdü	heard
સંભાવના	ehtimal	possibility
સંમત	razılaşdı	agreed
સંમતિ	razılıq	consent
સંમેલન	konvensiya	conference
સંમેલનમાં	qurultayda	summit
સંયમ	məhdudlaşdırın	control
સંયુકત	birgə	union
સંયુક્ત	birgə	united
સંયોજન	qarışıq	fusion
સંરક્ષણ	müdafiə	defense
સંરક્ષિત	qorunur	safe
સંરચના	quruluşu	organisation / composition/ fabric
સંલગ્ન	məşğul	attached
સંવત	samvat	year of the vikrama era
સંવર્ધન	damazlıq	breeding
સંવાદ	dialoq	conversation
સંવાદો	dialoqlar	dialogues
સંવિધાન	konstitusiya	constitution
સંવિધાનની	konstitusiyanın	of constitution
સંવેદનશીલ	həssasdır	sensible
સંશોધક	tədqiqatçı	researcher
સંશોધકો	tədqiqatçılar	researchers
સંશોધકોએ	tədqiqatçılar	who discovers
સંશોધન	tədqiqat	invention
સંશોધનમાં	tədqiqatda	in inventions
સંશોધનો	tədqiqatlar	inventions
સંસદ	parlament	parliament
સંસદના	məclisdən	parliament
સંસદની	məclisdən	parliamentary
સંસદમાં	məclisdə	in the parliament
સંસદીય	parlament	parliamentary
સંસાર	samsara	world
સંસારમાં	dünyada	in world
સંસ્કરણ	versiya	edition
સંસ્કાર	müqəddəs	culture
સંસ્કૃત	sanskrit	sanskrit
સંસ્કૃતના	sanskritdən	"subject name 'sanskrut"""
સંસ્કૃતમાં	sanskritdə	in sanskrit
સંસ્કૃતિ	mədəniyyət	culture
સંસ્કૃતિઓ	mədəniyyətlər	cultures
સંસ્કૃતિઓમાં	mədəniyyətlərdə	in civilizations
સંસ્કૃતિના	mədəniyyətin	cultural
સંસ્કૃતિની	mədəniyyətin	of civilization
સંસ્કૃતિનું	mədəniyyətin	culture
સંસ્કૃતિને	mədəniyyət	culture
સંસ્કૃતિનો	mədəniyyətin	of civilization
સંસ્કૃતિમાં	mədəniyyətdə	in the culture
સંસ્ક્રુત	sanskrit	sanskrit
સંસ્થા	təşkilat	institute
સંસ્થાઓ	təşkilatlar	organizations
સંસ્થાઓએ	təşkilatlar	foundation
સંસ્થાઓના	qurumların	organizations
સંસ્થાઓમાં	müəssisələrdə	in the organisations
સંસ્થાન	institut	colony
સંસ્થાના	təşkilatın	organization
સંસ્થાની	təşkilatın	institute's
સંસ્થાનો	təşkilatlar	organization
સંહાર	xəsarət	killings
સંહિતા	kod	code
સઊદ	səud	sauda
સકતા	bacarmaq	can be [hindi word]
સકતે	bacarmaq	can [hindi - urdu word]
સકારાત્મક	müsbət	positive
સક્રિય	aktivdir	active
સક્ષમ	aktivdir	able
સખત	çətin	hard
સખાતે	saxate	in competition with
સખાવતી	xeyriyyəçi	a work done with the purpose of donation
