$	dollarni tashkil etadi	dollarsign
verrast	hayron	surprised
verre	uzoq	far
verregaande	uzoqqa cho&#39;zilgan	profound
verreweg	uzoqgacha	by far
verricht	o&#39;tkazildi	conduct
verrichten	ijro eting	perform
vers	yangi	fresh
versailles	versaillalar	versailles
verschaffen	ta&#39;minlash	provide
verscheen	ochildi	appeared
verscheidene	bir nechta	different
verscheidenheid	xilma-xillik	variety
verschenen	paydo bo&#39;ldi	appeared
verschijnen	paydo bo&#39;lmoq	appear
verschijning	tashqi ko&#39;rinishi	appearance
verschijningsdatum	nashr etilgan sana	release date
verschijnsel	hodisa	phenomenon
verschijnselen	hodisalar	appearances
verschijnt	paydo bo&#39;ladi	appears
verschil	farq	difference
verschillen	farqlar	differs
verschillend	boshqacha	different
verschillende	turli xil	different
verschilt	farq qiladi	differs
verschoof	siljidi	shifted
verse	yangi	fresh
versie	versiyasi	version
versierd	bezatilgan	decorated
versies	versiyalari	versions
verslaan	mag&#39;lubiyat	defeat
verslag	hisobot	report
verslagen	mag&#39;lubiyatga uchradi	beat
verslaving	giyohvandlik	addiction
verslechterde	yomonlashdi	deteriorated
versloeg	mag&#39;lubiyatga uchradi	beats
versneld	tezlashtirilgan	accelerated
versnelde	tezlashtirilgan	accelerated
verspreid	tarqalgan	spread
verspreidde	tarqalish	spread
verspreiden	tarqalmoq	spread
verspreiding	tarqalish	spread
verstaan	tushunmoq	catch
verstand	aqlli	insight
verstandelijke	aqliy	mental
verstandig	aqlli	with sense
verstedelijking	urbanizatsiya	urbanisation
versterken	mustahkamlash	strengthen
versterkt	kuchaytiradi	strengthened
versterkte	mustahkamlangan	enhanced
verstoord	bezovta	disturbed
verstopt	ich qotishi	hidden
verstoren	bezovta qilmoq	disturb
verstoring	bezovtalik	disturbance
verstrekt	taqdim etilgan	provided
versus	ga qarshi	versus
vertaald	tarjima qilingan	translated
vertaalde	tarjima qilingan	translated
vertaling	tarjima	translation
vertalingen	tarjimalari	translations
vertegenwoordigd	vakili	represented
vertegenwoordigen	vakili	represent
vertegenwoordiger	vakili	representative
vertegenwoordigers	vakillari	representators
vertegenwoordiging	vakillik	representation
vertegenwoordigt	ifodalaydi	represents
verteld	aytdi	told
vertelde	aytdi	told
vertellen	aytib bermoq	tell
vertelt	deydi	tells
verticale	vertikal	vertical
vertolkt	talqin qildi	interpret
vertonen	ko&#39;rgazma	show
vertoond	ko&#39;rsatilgan	shown
vertoonde	ko&#39;rsatiladi	showed
vertoont	namoyishlari	shows
vertraging	kechikish	delay
vertrek	ketishi	leave
vertrekken	qoldiring	leave
vertrekt	barglari	leaves
vertrok	chapga	left
vertrokken	chapga	left
vertrouwde	ishonchli	trusted
vertrouwen	ishonch	trust
veruit	uzoqgacha	by far
vervaardigd	ishlab chiqarilgan	manufactured
vervaardigde	ishlab chiqarilgan	manufactured
verval	parchalanishi	decay
vervallen	bekor qilindi	expire
vervangen	almashtirmoq	replaced
vervanger	o&#39;rnini bosuvchi	replacer
vervanging	almashtirish	replacement
vervelling	molt	moult
verving	almashtirildi	replaced
vervoer	transport	transportation
vervoerd	tashiladi	transported
vervoeren	transport	transport
vervolg	davomi	continuation
vervolgd	davom etdi	continued
vervolgde	davom etdi	pursued
vervolgen	davom eting	follow ups
vervolgens	keyin	next
vervolging	ayblov	prosecution
vervreemding	begonalashtirish	alienation
vervuiling	ifloslanish	pollution
vervullen	bajaring	fulfill
vervult	bajaradi	fulfills
verwacht	kutilmoqda	expects
verwachte	kutilmoqda	expected
verwachten	kutish	expected
verwachting	kutish	expectation
verwachtingen	taxminlar	expectations
verwachtte	kutilmoqda	expected
verwant	bog&#39;liq	related to
verwante	bog&#39;liq	related
verwantschap	munosabatlar	affiliation
verward	chalkash	confused
verwarren	chalkashtirmoq	confuse
verwarring	tartibsizlik	confusion
verwekkers	patogenlar	pathogens
verwerken	qayta ishlash	process
verwerking	qayta ishlash	processing
verwerkt	qayta ishlangan	processes
verwerpen	rad qiling	reject
verwerven	qo&#39;lga kiritmoq	to obtain
verwezen	havola qilingan	refered
verwierf	sotib olingan	acquired
verwijderd	o&#39;chirildi	removed
verwijderen	olib tashlang	remove
verwijdering	olib tashlash	widening
verwijst	ishora qiladi	refers
verwijzen	murojaat qiling	refer
verwijzing	ma&#39;lumotnoma	reference
verwijzingen	havolalar	references
verwoert	o&#39;ljalar	verwoert - proper noun - surname
verwoest	yo&#39;q qilindi	destroyed
verwondingen	jarohatlar	injuries
verworpen	rad qilindi	rejected
verworven	sotib olingan	acquired
verzamelalbum	kompilyatsiya albomi	compilation album
verzameld	yig&#39;ilgan	collected
verzamelde	yig&#39;ilgan	collected
verzamelen	to&#39;plash	collect
verzameling	yig&#39;ish	collection
verzamelnaam	jamoa nomi	collectional name
verzet	qarshilik	resistance
verzetten	qarshilik ko&#39;rsatmoq	resist
verzocht	talab qilinadi	requested
verzoek	talab	request
verzoening	yarashtirish	reconciliation
verzonnen	xayoliy	made up
verzorgd	ovqatlantirildi	provided
verzorgde	g&#39;amxo&#39;rlik qildi	took care for
verzorgen	g&#39;amho&#39;rlik qilmoq	provide
verzorging	parvarish	care
verzorgt	g&#39;amxo&#39;rlik qiladi	takes care for
verzwakt	buzilgan	weakened
vestigde	joylashdi	settled down
vestigden	joylashdi	settling down
vestigen	joylashmoq	to establish
vestiging	tashkil etish	establishment
vestigingen	filiallari	offices
vet	yog &#39;	bold
veteranen	faxriylar	veterans
vetten	yog&#39;lar	fats
vetzuren	yog &#39;kislotalari	fatty acid
via	orqali	through
viaduct	viadukt	fly-over
vicepresident	vitse prezident	vice president
victor	viktor	victor
victoria	viktoriya	victoria
video	video	video
videoclip	videoklip	videoclip
videoclips	videokliplar	music video
videos	videolar	videos
viel	yiqildi	fell
vielen	yiqildi	fell
vier	to&#39;rtta	four
vierde	to&#39;rtinchi	fourth
vieren	nishonlamoq	to celebrate
viering	nishonlash	celebration
vierkant	kvadrat	square
vierkante	kvadrat	square
vietnam	vetnam	vietnam
vietnamese	vetnamcha	vietnamese
vietnamoorlog	vetnam urushi	vietnamwar
vii	vii	vii
vijand	dushman	enemy
vijanden	dushmanlar	enemies
vijandige	dushman	hostile
vijf	beshta	five
vijfde	beshinchi	fifth
vijftien	o&#39;n besh	fifteen
vijftiende	o&#39;n beshinchi	fifteenth
vijftig	ellik	fifty
vikingen	vikinglar	vikings
villa	villa	villa
vincent	vincent	vincent
vinci	vinchi	vinci
vind	toping	find
vinden	toping	found
vindt	topadi	finds
vinger	barmoq	finger
vingers	barmoqlar	fingers
virale	virusli	viral
virginia	virjiniya	virginia
virtual	virtual	virtual
virus	virus	virus
virussen	viruslar	viruses
vis	baliq	fish
visie	ko&#39;rish	vision
vissen	baliq ovlash	fishes
visserij	baliq ovlash	fishery
visuele	ingl	visual
vita	vita	vita
vitamine	vitamin	vitamin
vlaams	flamandlarga oid	flemish
vlaamse	flamandlarga oid	flemish
vlaanderen	flandriya	flanders
vladimir	vladimir	vladimir
vlag	bayroq	flag
vlaggen	bayroqlar	flags
vlak	tekis	flat
vlakbij	yaqinida	right by
vlakken	samolyotlar	levels
vlakte	tekislik	leveled
vlaktes	tekisliklar	plains
vlamingen	flemanslar	flemings
vleermuizen	yarasalar	bats
vlees	go&#39;sht	meat
vlek	dog &#39;	stain
vlekken	dog &#39;	stains
vleugel	qanot	wing
vleugels	qanotlar	wings
vliegen	pashsha	fly
vliegende	uchish	flying
vliegramp	havo halokati	plane crash
vliegt	chivinlar	flies
vliegtuig	tekislik	airplane
vliegtuigen	samolyotlar	aircraft
vliegveld	aeroporti	airport
vliegvelden	aeroportlar	airports
vliezen	membranalar	webs
vlinder	kapalak	butterfly
vlinders	kapalaklar	butterflies
vlissingen	vlissingen	vlissingen
vloeibaar	suyuq	liquid
vloeibare	suyuq	liquid
vloeistof	suyuq	liquids
vloek	la&#39;nat	curse
vloer	qavat	floor
vloog	uchib ketdi	flew
vloot	flot	fleet
vlucht	parvoz	flight
vluchtelingen	qochqinlar	fugitives
vluchten	qochmoq	flights
vluchtte	qochib ketdi	fled
vluchtten	qochib ketdi	fled
vlugt	chivinlar	flight
vn	un	vn
voc	vok	voc
vocht	namlik	fought
vochten	jang qildi	fought
vochtig	nam	moist
vochtige	nam	damp
voeding	oziqlanish	food - 1st sentence, fed - 2nd sentence
voedingsmiddelen	ovqatlar	foods
voedingsstoffen	ozuqaviy moddalar	nutrients
voedsel	ovqat	food
voegde	qo&#39;shildi	added
voegen	qo&#39;shish	adding
voelde	his qildim	felt
voelden	his qildim	felt
voelen	his qilmoq	to feel
voelt	his qiladi	feels
voer	kiriting	feed
voerde	bahslashdi	conducted
voerden	o&#39;tkazildi	conducted
voeren	ozuqa	carry
voert	ijro etadi	carries/ conduct
voertuig	transport vositasi	transport
voertuigen	transport vositalari	vehicles
voet	oyoq	foot
voetbal	futbol	soccer
voetbalclub	futbol klubi	football
voetbalclubs	futbol klublari	soccer clubs
voetbalelftal	milliy futbol jamoasi	football team
voetballer	futbolchi	soccerplayer
voetballers	futbolchilar	soccer players
voeten	oyoqlari	feet
voetnoten	izohlar	footnote
vogel	qush	bird
vogels	qushlar	birds
vol	to&#39;la	full
voldaan	mamnun	satisfy
voldeed	uchrashdi	required
voldemort	to&#39;liq ohak	voldemort
voldoen	uchrashmoq	satisfy
voldoende	yetarli	sufficient
voldoet	qondiradi	satifies
volgde	ga amal qiling	followed
volgden	ergashdi	followed
volgelingen	izdoshlari	followers
volgen	ergashmoq	follow
volgend	keyingi	following
volgende	keyingisi	following
volgens	ga ko&#39;ra	according to
volgorde	buyurtma	order
volgt	quyidagicha	follows
volk	odamlar	people
volken	xalqlar	peoples / nations
volkenbond	millatlar ligasi	league of nations
volkeren	xalqlar	peoples
volkomen	to&#39;liq	completely
volksgezondheid	sog&#39;liqni saqlash	public health
volkskrant	volkskrant	volkskrant
volkslied	madhiya	anthem
volksmond	og&#39;zaki	popularly
volksrepubliek	xalq respublikasi	peoples republic
volkstelling	ro&#39;yxatga olish	census
volksvertegenwoordiging	parlament	representation
volle	to&#39;la	full
volledig	to&#39;liq	completely
volledige	to&#39;la	full
volleybal	voleybol	volleybal
voltooid	yakunlandi	finished
volume	hajmi	volume
volwaardige	to&#39;laqonli	full
volwassen	kattalar	adult
volwassene	kattalar	grown up
volwassenen	kattalar	adults
von	fon	von
vond	topildi	was
vonden	yoqdi	found
vondst	toping	find / discovery
vondsten	topadi	findings
voor	ni oldida	for
vooraanstaande	atoqli	leading
vooraf	gacha	beforehand
voorafgaand	oldingi	prior
voorafgaande	oldingi	prior
vooral	asosan	especially
vooralsnog	hozirgi vaqtda	yet
voorbeeld	misol	example
voorbeelden	misollar	examples
voorbehouden	zahiralangan	reserved
voorbereid	tayyorlandi	prepared
voorbereiding	tayyorlash	preparation
voorbereidingen	tayyorgarlik	preparations
voorbij	ustida	beyond
voordat	oldin	before
voordeel	foyda	advantage
voordelen	foydalari	advantages
voordien	oldin	before then
voordoen	sodir bo&#39;ladi	occur
voorgaande	oldingi	forgoing
voorganger	o&#39;tmishdosh	predecessor
voorgangers	salaflar	clergymen
voorgeschiedenis	tarixi	previous history
voorgeschreven	belgilangan	prescribed
voorgesteld	taklif qildi	introduced
voorgoed	abadiy	forever
voorgrond	oldingi	front
voorhanden	mavjud	available
voorheen	oldin	before
voorjaar	bahor	spring
voorkant	old tomon	front
voorkeur	afzal ko&#39;rish	preference
voorkomen	tashqi ko&#39;rinishi	prevent
voorkomend	sodir	common
voorkomende	umumiy	common
voorkomt	oldini oladi	for cometh
voorkwam	sodir bo&#39;lgan	prevented
voorkwamen	sodir bo&#39;ldi	occured
voorlichting	ma `lumot	enlightenment
voorloper	oldingi	precursor
voorlopig	hozirgi vaqtda	for now
voormalig	avvalgi	former
voormalige	avvalgi	former
voornaam	ism	first name
voornaamste	asosiy	main
voornamelijk	asosan	mainly
voorouders	ajdodlari	ancestors
voorprogramma	qo&#39;llab-quvvatlovchi akt	support act
voorraad	aksiya	supply
voorronde	dastlabki tur	qualifying round
voorschriften	qoidalar	regulations
voorsprong	boshidan boshlash	advance
voorstander	advokat	is in favour
voorstanders	advokatlar	proponents
voorste	old tomon	forward
voorsteden	shahar atrofi	suburbs
voorstel	taklif	proposal
voorstellen	tanishtirish	propose
voorstelling	ishlash	interpretation
voorstellingen	spektakllar	performances
voort	yoqilgan	on
voortaan	shundan buyon; hozirdan boshlab	from now on
voortbestaan	omon qolish	survival
voortdurend	doimiy ravishda	continuously
voortdurende	davomiy	ongoing
voortgebracht	yumshagan	produced
voortgekomen	chiqing	originated
voortgezet	davom etdi	resumed
voortplanten	tug&#39;dirmoq	propagate
voortplanting	ko&#39;paytirish	procreate
voorts	bundan tashqari	furthermore
voortzetting	davomi	continuation
vooruit	oldinda	forward
vooruitgang	taraqqiyot	progress
voorwaarde	old shart	condition
voorwaarden	shartlari	conditions
voorwerp	ob&#39;ekt	object
voorwerpen	ob&#39;ektlar	objects
voorzag	taqdim etilgan	forsaw
voorzichtig	ehtiyotkor	carefully
voorzien	ta&#39;minlash uchun	provide
voorzieningen	xizmatlar	facilities
voorziet	beradi	provides
voorzijde	old tomon	front side
voorzitter	raisi	president
voren	oldinga	front
vorige	oldingi	previous
vorm	shakl	form
vormde	hosil bo&#39;lgan	formed
vormden	hosil bo&#39;lgan	formed
vormen	shakl	to form
vormgeving	dizayn	design
vorming	hosil bo&#39;lishi	formation
vormt	shakllari	forms
vorst	sovuq	monarch
vorsten	knyazlar	monarchs
vorstendom	printsipial	principality
vorstendommen	knyazliklar	principalities
vos	tulki	vos
voyager	sayohatchi	voyager
vraag	so&#39;rash	question
vraagstukken	masalalar	problems
vraagt	deb so&#39;raydi	asks
vragen	so&#39;rash	ask
vrede	tinchlik	peace
vreemd	g&#39;alati	strange
vreemde	notanish	strange
vrees	qo&#39;rquv	fear
vreesde	qo&#39;rqqan	feared
vreugde	xursandchilik	joy
vriend	do&#39;stim	friend
vrienden	do&#39;stlar	friends
vriendin	qiz do&#39;sti	girlfriend
vriendschap	do&#39;stlik	friendship
vries	muzlatmoq	vries
vrij	ozod	free
vrijdag	juma	friday
vrije	ozod	free
vrijen	qilish	making love
vrijgelaten	ozod qilindi	released
vrijheden	erkinliklar	liberties
vrijheid	ozodlik	freedom
vrijheidsbeeld	ozodlik haykali	statue of liberty
vrijmetselaar	mason	free mason
vrijmetselaars	masonik	freemasons
vrijmetselarij	masonchilik	freemasonry
vrijwel	deyarli	nearly
vrijwillig	ixtiyoriy ravishda	voluntarily
vrijwillige	ixtiyoriy	voluntary
vrijwilligers	ko&#39;ngillilar	volunteers
vroeg	deb so&#39;radi	early
vroege	erta	early
vroegen	deb so&#39;radi	ask
vroeger	kunlarda orqaga	erstwhile
vroegere	avvalroq	former
vroegste	eng qadimgi	earliest
vrouw	ayol	woman
vrouwelijk	ayol	feminine
vrouwelijke	ayol	feminine
vrouwen	ayollar	women
vrouwtje	ayol	female
vrouwtjes	urg&#39;ochi	females
vrucht	meva	fruit
vruchtbaar	serhosil	fertile
vruchtbaarheid	unumdorlik	fertility
vruchtbare	serhosil	fertile
vruchten	mevalar	fruit
vs	va boshqalar	united states
vulkaan	vulkan	volcano
vulkanen	vulkanik jarayonlar	volcanoes
vulkanische	vulkanik	vulcanic
vulkanisme	vulkanizm	volcanism
vullen	to&#39;ldirmoq	to fill
vuur	olov	fire
vuurwerk	o&#39;t o&#39;chirish ishlari	fireworks
vvd	vvd	vvd
vóór	ni oldida	before
w	w	w.
waal	dod	waal
waals	vallon	walloon
waalse	devona	walloon
waar	rost	where
waaraan	qaysi	which
waarbij	qaysi	whereby
waard	qiymat	worth
waarde	qiymati	value
waarden	qiymatlar	values
waardering	qadrlash	appreciation
waardevolle	qimmatli	valuable
waardoor	sabab bermoqda	whereby
waargenomen	idrok qildi	observed
waarheid	haqiqat	truth
waarin	qaysi	which are
waarmee	qaysi tomonidan	with which
waarna	shundan keyin	whereafter
waarneembaar	seziladigan	visibly
waarnemen	idrok qilmoq	to sense
waarnemer	kuzatuvchi	observer
waarneming	idrok	observation
waarnemingen	kuzatishlar	observations
waarom	nima uchun	why
waaronder	orasida	including
waarop	ustiga	on which
waarover	nima haqida	about
waarschijnlijk	ehtimol	probably
waarschijnlijkheid	ehtimollik	likelihood
waarschuwen	ogohlantiring	warn
waarschuwing	ogohlantirish	warning
waartoe	nima uchun	where to
waaruit	qaysi tomondan	from which
waarvan	nimadan	where of
waarvoor	nima uchun	which
wacht	kutmoq	wait
wachten	kutmoq	to wait
waffenss	gofretlar	waffenss
wagen	mashina	dare / wagon
wageningen	wageningen	wageningen
wagner	vagonchi	wagner
wakker	hushyor	awake
wal	sohil	wal
wales	uels	wales
walker	yuruvchi	walker
wallace	devor qog&#39;ozi	wallace
wallonië	devoriya	wallonia
walt	vals	walt
walter	sayr qilmoq	walter
walvissen	kitlar	whales
wand	devor	wall
wanna	istayman	wanna
wanneer	qachon	when
want	chunki	want (wil)
wantrouwen	ishonchsizlik	distrust
wapen	qurol	symbol
wapens	qurollar	weapons
wapenspreuk	qurol afsuni	motto
wapenstilstand	sulh	ceasefire
war	chalkash	confused
warcraft	harbiy kemalar	warcraft
ware	rost	true
waren	tovarlar	were
warhol	warhol	warhol
warhols	urushlar	warhols
warm	iliq	warm
warme	iliq	hot
warmer	iliqroq	warmer
warmte	iliqlik	warmth
warner	ogohlantiruvchi	warner
wars	urushlar	wars
warschau	varshava	warschau
was	ishlatilgan	was
washington	vashington	washington
wat	nima	what
water	suv	water
wateren	suvlari	waters
watergentiaanfamilie	suv gentianlar oilasi	family of fringed-water lilies
waterloo	suv havzasi	waterloo
waters	suvlari	waters
waterstof	vodorod	hydrogen
watervallen	sharsharalar	waterfalls
watson	vatson	watson
wave	to&#39;lqin	wave
way	yo&#39;l	way
wayne	vino	wayne
web	veb	web
weblog	veb-blog	weblog
weblogs	veb-bloglar	weblogs
website	veb-sayti	website
websites	veb-saytlari	websites
wed	nikoh	bet
wedergeboorte	qayta tug&#39;ilish	rebirth
wederom	yana	again
wederopbouw	qayta qurish	reconstruction
wederzijdse	o&#39;zaro	mutual
wedstrijd	tanlovi	contest
wedstrijden	gugurtlar	competitions
weduwe	beva	widow
weefsel	to&#39;qima	tissue
weefsels	to&#39;qimalar	tissues
week	hafta	week
weekblad	haftalik	weekly
weekend	hafta oxiri	weekend
weense	vena	viennese
weer	yana	again
weergave	ko&#39;rsatish	rendering
weergegeven	ko&#39;rsatiladi	display
weergeven	ko&#39;rinish	again geren
weerstaan	qarshilik ko&#39;rsatmoq	resist
