$	dollarni tashkil etadi	a sign of doller
શા	nima uchun?	what
શાંત	jim	serene
શાંતનુ	tinchlanmoq	shantanu
શાંતિ	tinchlik	peace
શાંતિમય	tinch	silence
શાક	sabzavotlar	vegetable
શાકાહારી	vegeterian	vegetarian
શાખા	filial	branch
શાખાઓ	filiallar	branches
શાખાની	filial	of the department
શાન્તનુ	tinchlanmoq	shantanu
શાપ	la&#39;nati	curse
શામળદાસ	shamaldas	shamaldas
શામિલ	kiritilgan	to include
શાયર	shire	poet
શારદા	sharda	sharda
શારિરીક	jismoniy	physical
શારીરિક	jismoniy	physically
શાળા	maktab	school
શાળાઓ	maktablar	schools
શાળાઓમાં	maktablarda	in schools
શાળાના	maktabning	school
શાળામાં	maktabda	in school
શાશ્વત	abadiy	eternal
શાસક	hukmdor	ruler
શાસકો	hukmdorlar	ruler
શાસન	qoida	rulling
શાસનકાળ	hukmronlik	during the reign
શાસનના	rejimning	governance/admin
શાસનમાં	rejimda	in the reign of
શાસિત	boshqarildi	centralized
શાસ્ત્ર	yozuv	science
શાસ્ત્રાર્થ	muqaddas kitobga asoslangan	meaning of the shastra
શાસ્ત્રી	shastri	shastri
શાસ્ત્રીઓ	yozuvchilar	knowledge
શાસ્ત્રીય	klassik	classical
શાસ્ત્રો	yozuvlar	volume
શાહ	shah	shah
શાહજહાં	shohjahon	shah jahan
શાહજહાંએ	shoh jahan	by shajhan
શાહજહાંની	shoh jahan	of shahjahan
શાહી	murakkab	royal
શિકાગો	chikagoda	chicago
શિકાર	ov	suffered
શિકારની	ov	prey's
શિકારી	ovchi	wild
શિક્ષક	o&#39;qituvchi	teacher
શિક્ષણ	ta&#39;lim	education
શિક્ષણના	ta&#39;lim to&#39;g&#39;risida	of the education
શિક્ષણની	ta&#39;lim to&#39;g&#39;risida	education
શિક્ષા	jazo	education
શિક્ષાપત્રી	sikshapatri	siksapatri
શિક્ષિત	ma&#39;lumotli	educated
શિખ	six	shikh
શિખર	cho&#39;qqisi	top
શિખરો	cho‘qqilar	peaks
શિમલા	shimla	shimla
શિયા	shia	shiya
શિયાળામાં	qishda	in winter
શિયાળુ	qish	winter
શિયાળો	qish	winter
શિલાલેખ	yozuv	stone carving
શિલ્પ	haykal	sculpture
શિવ	shiva	shiv (hindu god)
શિવજી	shivaji	shivji
શિવાજી	shivaji	shivaji
શિવાલયમાં	shivalayada	in the temple of shiva.
શિષ્ય	shogird	disciple
શિષ્યો	shogirdlar	disciples
શી	shi	shi
શીખ	six	shikh
શીખતા	o&#39;rganish	teaching / learning
શીખો	o&#39;rganing	cast name
શીખ્યા	o&#39;rganildi	learned
શીત	sovuq	cold
શીર્ષક	sarlavha	heading
શુ	shu	is
શું	nima	what
શુક્ર	jum	venus
શુક્લ	shukla	shukla
શુદ્ધ	sof	pure
શુધ્ધ	tozalash	pure
શુભ	omad	auspicious
શુલ્ક	narxlar	fee [hindi word]
શુષ્ક	quruq	dry
શૂદ્ર	shudra	low caste
શૂન્ય	nol	zero
શૃંખલા	seriyalar	series
શેક્સપિયર	shekspir	shakespere
શેક્સપિયરે	shekspir	shakespeare
શેક્સપીયર	shekspir	the shekshphere
શેક્સપીયરના	shekspir	shakespeare's
શેક્સપીયરની	shekspir	shakespeare's
શેક્સપીયરને	shekspirga	to shakespere
શેક્સપીયરે	shekspir	shakespeare
શેઠ	seth	owner
શેર	ulashish	share
શેરડી	shakarqamish	sugarcane
શેરિંગ	ulashish	sharing
શેષ	qolgani	rest/residue
શૈક્ષણિક	ta&#39;limiy	educational
શૈલી	uslub	style
શૈલીના	uslub	genere / look
શૈલીમાં	uslubda	script / genre
શો	shou	exhibitions, shows
શોક	motam	sorrow
શોખીન	fond	hobby
શોટ	otish	shoot
શોધ	qidirmoq	invention, finding
શોધમાં	izlashda	in search
શોધવા	topmoq	to search
શોધવું	topmoq	search
શોધાયેલા	aniqlandi	discovered
શોધી	topmoq	find
શોધો	qidirmoq	finding
શોર્ટ	qisqa	short
શોષણ	foydalanish	exploitation
શ્યામ	qorong&#39;i	black
શ્રદ્ધા	imon	faith
શ્રધ્ધા	imon	faith
શ્રમ	mehnat	shy
શ્રાપ	la&#39;nati	curse
શ્રાવણ	shravan	shravan
શ્રી	janob.	mr.
શ્રીનગર	srinagar	srinagar
શ્રીમંત	boy	rich
શ્રીમતી	missis.	misses
શ્રીમદ્	shrimad	shrimad
શ્રીલ	shril	supreme
શ્રીલંકા	shri-lanka	sri lanka
શ્રુતિ	shruti	shruti
શ્રેણી	seriyalar	category
શ્રેણીઅંગ્રેજી	categoryenglish	english series
શ્રેણીઇતિહાસ	turkum tarixi	series of history
શ્રેણીએપ્રિલ	seriesapril	series : april
શ્રેણીએશિયા	categoryasia	series asia
શ્રેણીઓગસ્ટ	kategoriyalaraugust	series: august
શ્રેણીકલા	seriallar san&#39;ati	category: art
શ્રેણીખગોળશાસ્ત્ર	kategoriya: astronomiya	series: astronomy
શ્રેણીગુજરાત	gujarat toifasi	series: gujarat
શ્રેણીગુજરાતના	gujarat toifasi	series : gujarat's
શ્રેણીગુજરાતનાં	gujarat toifasi	category: of gujarat
શ્રેણીગુજરાતી	kategoriya gujarati	category gujarati
શ્રેણીજુલાઇ	seriesjuly	series
શ્રેણીજૂન	seriesjune	series : june
શ્રેણીજોવાલાયક	toifani ko&#39;rish mumkin	caste that can be seen
શ્રેણીજ્યોતિષ	kategoriya munajjimlar bashorati	series astrologist
શ્રેણીદેવી	serial ma&#39;buda	shrenidevi
શ્રેણીધર્મ	din kategoriyasi	series: religion
શ્રેણીધાર્મિક	turkum diniy	range of religious
શ્રેણીના	seriyalar	serise
શ્રેણીની	seriyalar	of the category
શ્રેણીનો	seriyalar	series
શ્રેણીપૌરાણિક	turkum mifologiyasi	series: ancient
શ્રેણીબદ્ધ	seriyalar	in series
શ્રેણીભારત	seriesindia	indian series
શ્રેણીભારતના	hindiston seriallari	of the indian series
શ્રેણીભારતનાં	hindiston seriallari	category:indian
શ્રેણીભારતની	hindiston seriallari	category: indian
શ્રેણીભારતીય	seriesindian	series: indian
શ્રેણીભાષાઓ	turkum tillari	series: languages
શ્રેણીભૂગોળ	turkum geografiyasi	series: geography
શ્રેણીમાં	bir qatorda	in category
શ્રેણીમાર્ચ	seriesmarch	march series
શ્રેણીમે	bir qatorda	category : may
શ્રેણીયુરોપ	categoryeurope	category:europe
શ્રેણીરાસાયણિક	categorychemical	series: chemical
શ્રેણીવર્ષનાં	seriya yilining	series : year's
શ્રેણીવિજ્ઞાન	ierarxiya	category: science
શ્રેણીવિશ્વ	dunyo seriallari	series : world
શ્રેણીવ્યક્તિત્વ	ierarxiya	personal series
શ્રેણીસમય	seriya vaqti	serial time
શ્રેણીસૌરાષ્ટ્ર	saurashtra seriyasi	saurashtra line
શ્રેણીહિંદુ	categoryhindu	category:hindu
શ્રેય	kredit	credit
શ્રેષ્ઠ	eng yahshi	the best
શ્લોક	oyat	shlok
શ્લોકમાં	oyatda	shlok
શ્વેત	oq rang	white
સ	q.	a.d.
સંકટ	inqiroz	disaster
સંકલન	integratsiya	computation
સંકલિત	birlashtirilgan	collected
સંકળાયેલા	ishtirok etgan	involved
સંકળાયેલી	ishtirok etgan	involved
સંકળાયેલું	uyushgan	involve
સંકળાયેલો	uyushgan	involved
સંકુચિત	siqilgan	entire
સંકુલ	kompleks	collection
સંકુલમાં	majmuada	in campus
સંકેત	maslahat	hint/signal
સંકેતો	maslahatlar	signals,
સંકોચન	siqish	shrinkage
સંક્ષિપ્ત	qisqacha	brief
સંખ્યા	raqam	number
સંખ્યાની	raqamlardan	numbers
સંખ્યાને	raqamga	count
સંખ્યાબંધ	bir qator	lots of
સંખ્યામાં	sonlarda	int the number of
સંગઠન	tashkilot	organization
સંગઠનો	tashkilotlar	organization
સંગઠિત	uyushgan	co-operate / close knit
સંગમ	yopiqlik	confluence
સંગીત	musiqa	music
સંગીતકાર	musiqachi	lyrist
સંગીતના	musiqa haqida	music's
સંગીતની	musiqa haqida	of music
સંગૃહીત	arxivlangan	collected
સંગ્રહ	to&#39;plam	accumulate
સંગ્રહની	to&#39;plamdan	ascites
સંગ્રહમાંથી	to&#39;plamdan	from the collection
સંગ્રહાલય	muzey	museum
સંગ્રહિત	arxivlangan	collected
સંગ્રામ	kurash	war
સંગ્રામના	kurash	of fight
સંગ્રામમાં	jangda	battle
સંઘ	uyushma	union
સંઘના	uyushma	union
સંઘની	uyushma	union's
સંઘમાં	uyushmada	within union
સંઘર્ષ	qarama-qarshilik	friction / war
સંઘર્ષો	qarama-qarshiliklar	conflicts
સંઘીય	federal	federal
સંઘે	uyushma	organization
સંચાર	aloqa	transmission
સંચાલન	boshqaruv	management
સંચાલિત	quvvatlangan	run by
સંજય	sanjay	sanjay
સંજોગોમાં	vaziyat ostida	situation
સંજ્ઞા	ism	actions
સંત	avliyo	saint
સંતશ્રી	sent-shri	saint
સંતાન	zurriyot	seed / children
સંતાનો	bolalar	offsprings
સંતુલન	balans	balance
સંતો	azizlar	priests
સંતોએ	azizlar	priest
સંતોષ	qoniqish	content
સંદર્ભ	malumot	knitting together
સંદર્ભમાં	kontekstda	related / context
સંદર્ભે	munosabat bilan	context / relation
સંદર્ભો	adabiyotlar	references
સંદેશ	xabar	massege
સંદેશા	xabarlar	message
સંદેશાઓ	xabarlar	messages
સંદેશાઓની	xabarlardan	messages
સંદેશાના	xabarlardan	message's
સંદેશાની	xabarning	message
સંદેશો	xabar	message
સંધિ	shartnoma	contract, deal, treaty,
સંધિમાં	shartnomada	in treaty
સંન્યાસ	iste&#39;fo	retire
સંપત્તિ	mulk	wealth
સંપન્ન	berilgan	end
સંપર્ક	aloqa	contact
સંપર્કમાં	chalinish xavfi	in touch
સંપાદન	tahrirlash	editing
સંપુર્ણ	to&#39;liq	whole, complete,
સંપૂર્ણ	zo&#39;r	entire / total / complete
સંપૂર્ણપણે	mutlaqo	completely
સંપ્રદાય	ibodat	sect
સંપ્રદાયના	sektaga oid	religion
સંપ્રદાયનાં	sektaga oid	religious sect
સંપ્રદાયની	ibodat	of the sect
સંપ્રદાયમાં	dinda	in sect
સંબંધ	qarindoshlik	relation
સંબંધિત	bog&#39;liq	related
સંબંધી	nisbiy	relative
સંબંધીત	bog&#39;liq	related to
સંબંધે	munosabati bilan	in relation to
સંબંધો	aloqalar	relation
સંબોધતા	manzil	to address
સંબોધન	manzil	address
સંબોધવામાં	manzil	in addressing
સંભવ	mumkin	probable
સંભવતઃ	ehtimol	probably
સંભવિત	potentsial	possible
સંભાળ	xizmat	care
સંભાળતા	ishlash	taking care of
સંભાળવા	ishlov berish uchun	handle
સંભાળી	qo&#39;lda	heard
સંભાળે	tutqichlar	handles/ governs
સંભાળ્યો	egalladi	heard
સંભાવના	ehtimollik	possibility
સંમત	kelishilgan	agreed
સંમતિ	rozilik	consent
સંમેલન	konventsiya	conference
સંમેલનમાં	anjumanda	summit
સંયમ	cheklash	control
સંયુકત	birgalikda	union
સંયુક્ત	birgalikda	united
સંયોજન	kombinatsiya	fusion
સંરક્ષણ	mudofaa	defense
સંરક્ષિત	himoyalangan	safe
સંરચના	tuzilishi	organisation / composition/ fabric
સંલગ્ન	ishtirok eting	attached
સંવત	samvat	year of the vikrama era
સંવર્ધન	naslchilik	breeding
સંવાદ	dialog	conversation
સંવાદો	dialoglar	dialogues
સંવિધાન	konstitutsiya	constitution
સંવિધાનની	konstitutsiya haqida	of constitution
સંવેદનશીલ	ta&#39;sirchan	sensible
સંશોધક	tadqiqotchi	researcher
સંશોધકો	tadqiqotchilar	researchers
સંશોધકોએ	tadqiqotchilar	who discovers
સંશોધન	izlanishlar	invention
સંશોધનમાં	tadqiqotda	in inventions
